referrer,sub3,goal
,"['22279' '' '2764' '34349' '140237' '666' '149714' '1506' '48168' '16'
 '1430' '126905' '15' '1529' 'om' '18766' '43231' '140558' '2024' '8' '65'
 '45551' '9ed7f95f7e984c8fafb040558e04d968' '2149' '159977' '132919'
 '32057' '2250' '166809' '126' '175585' '2685' '55' '31445' '18511' '1160'
 '18836' '1209' '5159' '1501' '26266' '69023' '17' '26072' '2700' '7689'
 '174' '18' '3507' '174242' '8622' '25265' '2440' '1365439' '12758'
 '147888' '47386' '51461' '153541' 'fb4e4548-f279-4178-b87a-29e6b07c084a'
 '102da0e327f62aa8826f00bff65173' '7044' '2014' '31447'
 'b39a3cca208c4bc688727853ec6404d5' '4164' '134174' '3604' '27805' '173'
 '161149' '41444' '131473' '6847' '1914' '3445' '17180' '167491' '28948'
 'usbfan' '70740' '9602' '39725' '3563' '28915' '147712'
 'dc770ac9-d481-4027-9c05-e78cc0d4a211' '22364'
 '1025e7d730f8541455076ca267a004' '280' '150289'
 '1027ffc683999931b12a90932b05a3' '3169' '27131' '11119' '127244' '24724'
 '38' '178965' '1143' '10438' '154244' '169410' '2018' '173223' '28867'
 '161515' '70399' '5795' '1021b2aabbb17df12ca7b8851ed2a8'
 '102fc0862ac2a38436391af015e4e3' '28054' '129922'
 '1020a63c6f3b8982f0f9b5a523f2bc' '1804' '23041' '19934' '27930' '34319'
 '22601' '22199' '25473' '53258' '138840' '154904' '43093' '36692' '2240'
 '134536' '75492' '9' '156534' '27713' '8150' '796'
 '102862b817cf422a0036f92ed8b1a5' '57977' '29309' 'maximedia' '1642'
 '19678' '47325' '1024b425b69703c1165c62348b9ed2' '62883' '7343' '1633'
 '1651' '6754' '156562' '1540' '12797' '5659' '25634' '19209' '53274'
 '1025adcb099700a7a936a19caf8117' '20866' '166664'
 '102c954b4ca5e7a08ec58dd4501849' '843' '10259736f1a0985193a69f168a74f7'
 '146064' '1676608' '20865' '51010' '26335' '34331' '175071' '168512'
 '180478' '157005' '158824' '160453' '62' '144193' '181276' '12698'
 '175829' '140980' '20223' '3344' 'b3932e3a-e899-43f8-a3fd-4e3f94ad1b60'
 '1' '34879' '178' '654928' '3485' '65680' '75070' '162402' '129875'
 '3221' '23038' '1828250' '175962' '14332'
 '10210e17f3266693beb3a1eeaf04ed' '816' '567123' '5647'
 'c048c550-17b1-4c80-a3bc-247fbd2d539e' '13' '175489' '1718' '51180'
 '157580' '73146' '108' '28342' '305' '148674' '172171' '3253'
 '8440de08-9e9d-491c-8ebb-431974c06e54' '28864' '147054' '555678' 'Alex75'
 '48687' '144626' '165658' '9155' '171771' '27064' '37653' '3614' '25'
 '37867' '4755' '1543810' '23487' '1029d5d31b02b143388db020433039'
 '170634' '66247' '27104' '29306' '10198' '1028d82c2f9b9365bed711c5fd9e56'
 '102ced683517dc9107766642b690c4' '2204' '2254' '19464'
 '16c8e9e2aab543db836814750e3ea828' '75490'
 '10292945156541928316bf90e058b6' '134951' '18948' '161855' '17316'
 '134783' '51b4ef1695d049fa93c3e00e758931da' '178889' '329'
 '32d0452856d7474292b2a6b6d12e6704' 'cdadc1881b3143378bd6fd6490e7622c'
 '46787' '993' '163266' '46928' '23706' '47493' '166301'
 '1021781b1a758df343c92367556ccd' '3787' '102b53878d5f821632ebc975d59799'
 '8675' '20650' '18827' 'b067fa19f1a44eb6ab82eb92b9d51b03' '4559' '14205'
 '69300' '102dee6f53838b1f11d3152601b327' '102254f3dcb1c4ec28d6aa552a6d79'
 '20520' '1268814' '102' '102c8d51d28388eff3d3125be4ee77' '28969' '20997'
 '15500' '181150' '175808' '74207' '964036' '46914' '145808'
 '102844b35adaa1114cd4ee830e62ed' '171514' '130728' '24314' '61641' '121'
 '141099' '52356' '1586631' '24053' 'fuckyeah' '11880' '131255' '1392'
 '63717' '180639' '167155' '26768' '4825' '36989'
 'd2f0235bbab943e98b01dc6fda7ecab4' '102458d9ff192771807f87f2eba682'
 '180669' '172413' '88619' '29218' '1255776' '181140'
 'fd4320f1e29d409da86832030fdedb5c' '46818'
 '17ec675d8c4142a29f903483fee75760' '17662' '142218' '12336' '11554'
 '3123' '181273' '181270' '1452433' 'gogogo' '64005' '4372' '1142035'
 '173990' '40' '123946' '176081' '64416' '43483' '48024' '180324'
 '50296446201e402fbe42688d825849be' '050e8bcb8be74ace883b40f145159260'
 '102ead75b52c78312d24e88717d855' '23324' '156213' '10664'
 '4bace17dad2745939a8db8460cbe1507' '173244'
 'b6dffd5441d74ea7befdc104de76b622' '147' '105'
 '102a93ed7e1d428fff72472a9baf60' '7125' 'CrazyWolf' '4672' '181609'
 'd737e69413d347a0aa188cb98c4a3441' 'atamansan'
 '1022d7ed417b39136774cf17f9e104' '62788' '133864'
 '81a48b1ac8b344088d90e54312064171' '53216'
 '102bcecdacd7a59aa482931bafd8eb' '43790' '102b5242fb40e7b5091a35427cceb1'
 '10972' 'AFFID' '14943' '71801' '132010' '176246' 'xG4EYn' '28964'
 '07cc343f947241499384a6c06312849b' '60421'
 '102aca6d5eb528f1f63bd751a86b1f' '181639'
 '102648f2449ded781d113083b6df6e' '1022d57b140628301c9c992be21c7a' '11550'
 '2860' '39087' '2930' '4d1d364f279847be9e9b7783c0b5b09b' '18793' '14795'
 '102835d3d624cffb2d78fce808c8c7' '146599'
 '102e511e4ab1bdf42a379bab4d315b' '142813'
 '4edceaf445c14313ab2e2ba7dbbec151' '50889c06-409d-401f-ae53-9edf4a418d57'
 'cdcb76bf37f244988501df5e5c96c890' '21653' '2751' '12'
 '1028a55cb1639e139e00c69e256579' '1025d85bfb192a72bbbf38244c647e' '63099'
 'a31fad99e3fd454d83262955dc4c4974' '181542' '28829' '14'
 '102bc92692640e9199541aaaad18fb' '53116'
 'dbda82b831ba48178c1d01cc4acdcad6' '146651'
 '102b65388533ea903ef9003b2c547b' '176156'
 'c233bb2ca57c491c957ad2d759b26cf2' '1779'
 'c050f7df-de6b-4f71-8dee-d7880904310e' '10805'
 'fc5523b58e3644e2859eb26032091a51' '5f677d432c1d40e1a2a15e13e6fc60c3'
 'b7ea507efa9e45e0adae5fb0f69fc680' 'bb17fac946c54b4492969c0dc654461f'
 'ee7ce338ce28428a92d272e6baf58874' '6170' '172207' '45618'
 '1027b1f809bd112e0eea9a56653bf9' '5094'
 '3c80a21a1054458a91b1a140afad9123' '1588433' '9899' '3641'
 '1021644418437d0a309fd66994fe1c' '2629' '43145' '77740'
 '94950dff30b84a12ac59cab5a7c70521' '102b0c61bddc2f7b25ec9018d86d0c'
 '150965' '11166' '102954c178d695764cc85df1f17e28'
 'c1718ee9c63a469388bad0591e4df399' '12082'
 '102c88a13b751e9cc96e22ff953885' '2d774e618a49468e8a22dec02d337edb'
 'dzenfinance' '131584' '77578' '1024f0fadacced63ec32142b0e7d2e'
 '24deac8ce4104289b054ae10219dfdf3' '10277a2924b1896099732900fb6bef'
 '4077' '174017' 'c8eba80fa5c3418983750cd1058b35b1' '28697'
 'eed70ff342bf4112b2326c446cfef0f8' '26575'
 '8473e611f2cf408692f123b67610df4d' '9508cb2eedad4f2f9e2781d169a8b73b'
 '48657' '176304' 'b5a29aef9d284a33b4d00318587aa7ed' '1750' '74849'
 'a980715b92624b518a5e5c354b1b00d7' '8902d30aab9548c7b930410e2cef95cb'
 'f66e42adc8e241088ea4413c21edfd8f' '2a9f1e6a66d044c1894e0c0b043f08a3'
 '137191' '102b31aad0f4dff4aa18a8e0fe0992' '163193'
 '3f3f7ffba9d5419d9d3a540ff83e581b' '1992fb4b4b444fc1b770195bf9dccb99'
 '16337' 'b9ff79d73a48475aaafd1a8c6ec25b04']",29450
0procentov.website,['77181'],2
0zaym.ru,['9'],3
1-zaim.ru,['45551'],1030
1000bankov.ru,['6578' '7720'],5
100mfo.ru,['8'],20
1zmr.ru,['45551'],48
20zaimov.ru,['142813'],1
24-zaimi.ru,['45551'],10
24rf.su,['9'],8
