,ts,project,offer_id,goal,payouts,sub1,sub2,sub3,sub4,sub5,sub6,affiliate
0,2021-03-31 23:57:15,Lime,16,Займ хороший,3000,900aeaf94b112ed353ac93d5d5000544,,41476,,,,Unicom24
1,2021-03-31 23:57:10,Lime,16,Займ средний,1800,5d37a015f63ad16fb02efaee5c78a4a5,,41476,,,,Unicom24
2,2021-03-31 23:53:17,Lime,16,Займ хороший,3000,,173,1f26eda2b7ab4da28466011aef310901,l5kk9fdvo6znmzhp7oem04of4enhsrk4,,,Александр Карсаков
3,2021-03-31 23:41:17,Konga,17,Займ хороший,2400,979ea4f5defedc40827cb38597591eb1,1086490,26807,,,,Leads
4,2021-03-31 23:37:23,Lime,16,Займ хороший,3000,,173,8009f893e366403b93a08785f85ae9fe,x09wob194yubgubfk48d17xjrta9sjyi,,,Александр Карсаков
5,2021-03-31 23:37:16,Lime,16,Займ хороший,3000,05004e44851ca15e44f67e9c6f533d35,,2764,,,,Guruleads
6,2021-03-31 23:31:10,Lime,16,Займ средний,3000,,6,edf84f5dfcf8452798e4fd052726193e,S_31_03,,,Александр Карсаков
7,2021-03-31 23:19:23,Lime,16,Займ хороший,3000,,174,cb4bb7aeea3b4a9788ee2041744de474,vvdri0rre611n9pq0j5c9mkr861jtqsv,,,Александр Карсаков
8,2021-03-31 23:19:11,Lime,16,Повторный займ,500,,641,,,,,Rafinad
9,2021-03-31 23:17:23,Lime,7,Займ средний,1800,,,om,,,,Finpublic
10,2021-03-31 23:01:08,Lime,16,Займ средний,3000,,173,ce2205f2fbd64aa1b14d1a4b9eb45d2b,b75rjzgkxqjuqnberh0el2yq6ngmg1a8,,,Александр Карсаков
11,2021-03-31 23:01:08,Lime,16,Займ хороший,3000,15141d28510820ffc9e60c07a01c2e36,1144656,145787,,,,Leads
12,2021-03-31 23:01:08,Lime,16,Займ средний,3000,8c33e87a353c08a904561c4d9ad34035,,3091,,,,Guruleads
13,2021-03-31 23:01:08,Lime,16,Займ средний,1800,d0a682f2324b7c4d280a256f755c8fad,1118603,48168,,,,Leads
14,2021-03-31 23:01:08,Lime,7,Займ средний,1800,e7e002b0-924a-11eb-be03-4da49eca5206,,2e00ba30-6912-11ea-8235-d16b1ab9c875,,,,LeadCraft
15,2021-03-31 23:01:06,Lime,16,Займ отличный,3000,36aedec673795ea2cbd7c34f5b2a9ec4,,1563,,,,Guruleads
16,2021-03-31 23:01:04,Lime,16,Займ хороший,3000,1107598d9702e8fc0190fe85a8f4786e,1117611,126905,,,,Leads
17,2021-03-31 23:01:04,Lime,16,Займ средний,3000,,173,d9fed6a10d6049049ab753511aa40ada,mtw3xanmbgxz9vzvhs4sz3jiyei3w5iv,,,Александр Карсаков
18,2021-03-31 23:00:31,Konga,17,Займ отличный,2400,65952cb01f040faa48a3f461fca047a5,1118603,48168,,,,Leads
19,2021-03-31 22:49:08,Lime,16,Займ хороший,3000,6298856339106cecea6b1efd3154c519,1147464,141913,,,,Leads
20,2021-03-31 22:39:22,Lime,7,Займ хороший,3000,,,,,,bus,Finpublic
21,2021-03-31 22:37:12,Konga,17,Займ хороший,2400,865ae12a2f6f4e3ce2901e4de6b6e9d3,1086490,26807,,,,Leads
22,2021-03-31 22:31:17,Lime,7,Займ средний,1800,b7fc1730-9249-11eb-988d-65c7c8daa489,,da73bf20-e81c-11e8-a766-117681841a7a,,,,LeadCraft
23,2021-03-31 22:31:15,Lime,16,Займ отличный,3000,,173,0071e0c234a24a2489fe9af3d5da557a,kelfj7zjiwo8lq1k6rcs8t8yktmvthj5,,,Александр Карсаков
24,2021-03-31 22:27:11,Lime,16,Займ средний,1800,65c6d34907ef4ad2948a3cb8266a5cc4,1159086,154244,,,,Leads
25,2021-03-31 22:19:14,Lime,16,Займ отличный,4500,26963e13ca033934bfe495bc8532647d,,3824,,,,Guruleads
26,2021-03-31 22:07:20,Lime,16,Займ хороший,3000,e03f2e7a36d5c74bf39a71731191bf8c,,2149,,,,Guruleads
27,2021-03-31 22:07:15,Lime,16,Займ хороший,3000,b7c72d83962aed31d59cb2c2cc2d5dc7,1117611,126905,,,,Leads
28,2021-03-31 22:05:08,Konga,17,Повторный займ,300,1024a77e504e50a82310e142ce8438,,34553,,,,LeadGid
29,2021-03-31 22:01:17,Lime,16,Займ хороший,3000,3PFZ1TMR37ZebyM,,4QCp,,,,CityAds
30,2021-03-31 22:01:16,Lime,16,Займ хороший,3000,,174,c2865b712f23496ab3e32fd7a1bd7b31,u8owl37dfebat90jse8qrofm0v60tigd,,,Александр Карсаков
31,2021-03-31 22:01:16,Lime,16,Займ средний,3000,,173,6b5928045dd8458787abd9b357c30668,gucdkjmw2ru77xg3p5cfjhwhtz5ym77y,,,Александр Карсаков
32,2021-03-31 22:01:16,Lime,16,Займ средний,3000,df9dec00094cb00a02c37a569abd4540,,1563,,,,Guruleads
33,2021-03-31 22:01:16,Lime,16,Займ хороший,3000,,leads_tech_givemoney-credit_13,1c8f921e09ec4d1593578ecca1b39e40,fid_givemoney_credit_new,,,Александр Карсаков
34,2021-03-31 22:01:15,Lime,16,Повторный займ,500,eebb168fce4b6463b8cbed39f5271f29,1086490,26807,,,,Leads
35,2021-03-31 22:01:14,Lime,16,Займ средний,3000,,devtek_leads_api_imoneys_55,691743df5e4945858c0a37ee516fea01,fid_imoneys_credit,,,Александр Карсаков
36,2021-03-31 22:00:34,Konga,8,Займ хороший,1600,102f2730b4977062386a6d6f85a5f2,,,,,,banki.ru
37,2021-03-31 21:59:07,Lime,16,Повторный займ,500,72a350640c71fe6a88ecd185cade14b0,1147981,148076,,,,Leads
38,2021-03-31 21:55:14,Lime,16,Займ хороший,3000,,174,19a023657d4643b6a6fdfcbde20d0fbc,trrti7hjdtu1bwj9je3uwut5tyvtpst1,,,Александр Карсаков
39,2021-03-31 21:53:19,Lime,16,Повторный займ,500,,672,,,,,Rafinad
40,2021-03-31 21:53:14,Lime,16,Займ хороший,3000,,173,9cfbbecd991b4cdbbef95b46f09250e3,5gift84v2s2et2ysaua2v79zbytlovej,,,Александр Карсаков
41,2021-03-31 21:51:13,Lime,16,Займ хороший,3000,b5fa6a707dcd164bffafdc0bb4ad72c2,1126853,134174,,,,Leads
42,2021-03-31 21:43:16,Lime,16,Повторный займ,500,da17ea26bc54cca1c9910837b574a33f,1146208,140237,,,,Leads
43,2021-03-31 21:25:16,Lime,16,Повторный займ,500,3PFZ1TMSe2ZvNYu,,5eDh,,,,CityAds
44,2021-03-31 21:23:19,Lime,16,Повторный займ,500,,174,f78f7fef39304f9e972d28d5017b58f2,58ezur2n3x1wd7zdl5wmz2v0l73yiuiz,,,Александр Карсаков
45,2021-03-31 21:17:10,Lime,16,Займ средний,1800,102b5c841931e2569c4ad7aea5d2f2,,29873,,,,LeadGid
46,2021-03-31 21:17:09,Lime,16,Займ средний,1800,d524df9d895a3f019a699f0c4bc2877b,1117611,126905,,,,Leads
47,2021-03-31 21:13:15,Lime,16,Займ средний,1800,8156ada223b9a9b4ec61ec78aa85ad19,1103405,47386,,,,Leads
48,2021-03-31 21:13:13,Lime,16,Займ хороший,3000,6e1b716ce3f052543632007b3790caf9,,1563,,,,Guruleads
49,2021-03-31 21:01:16,Lime,16,Повторный займ,500,51a2af9e5f3febcdb7b446129dfe17b4,1125124,132630,,,,Leads
50,2021-03-31 21:01:15,Lime,16,Займ отличный,4500,10204f599fb1aff14bd4f2c02ee7e0,,25799,,,,LeadGid
51,2021-03-31 21:01:15,Lime,16,Повторный займ,500,f254dce943da0c5d2dc3cb3465a93487,,14943,,,,Unicom24
52,2021-03-31 21:01:15,Lime,7,Займ средний,1800,17a2ad90-923f-11eb-aee5-078694820d68,,dab2c280-e81c-11e8-b783-29d716ecf4e7,,,,LeadCraft
53,2021-03-31 21:01:15,Lime,16,Займ хороший,3000,,173,240ce66ccb964e8c972e294cb40e5bd1,o3ks5x0zyp44fbmzrhzcyahe21lxldbd,,,Александр Карсаков
54,2021-03-31 21:01:15,Lime,16,Займ средний,3000,,84190901,ad35cef78cd14008b5bc1cfb0e9b6e4c,Stena-Lime,,,Александр Карсаков
55,2021-03-31 21:01:14,Lime,16,Займ отличный,4500,255a41e229270f3120d1b495e475c927,,1501,,,,Guruleads
56,2021-03-31 21:01:14,Lime,16,Займ отличный,4500,b650c897f5df2f06ec20734b4bbfbf70,1143732,145563,,,,Leads
57,2021-03-31 20:53:10,Lime,16,Займ отличный,3000,fb1d2c51e3de1613324046fa69b01490,,2018,,,,Guruleads
58,2021-03-31 20:51:16,Lime,16,Займ хороший,3000,6d1e3a2d2e547497673df1cc1aa8251c,1102217,47493,,,,Leads
59,2021-03-31 20:49:20,Lime,16,Займ хороший,3000,46251dc8dd2397a2a5d6252467e2063f,,1563,,,,Guruleads
60,2021-03-31 20:49:15,Lime,16,Займ отличный,4500,49ecf2241293e9f4cd4f83df38a88e60,1147463,141913,,,,Leads
61,2021-03-31 20:47:30,Konga,17,Займ хороший,1600,99XZ1TMRIyZ9H3W,,sp3,,,,CityAds
62,2021-03-31 20:43:20,Lime,16,Повторный займ,500,102790c502e5165cd4d2cd8488ae8e,,33203,,,,LeadGid
63,2021-03-31 20:33:18,Lime,16,Займ средний,3000,,173,0f89edd2addc4fdea358cdda9330bd97,zuics250babzu90oh1jb1vnz7h6uv041,,,Александр Карсаков
64,2021-03-31 20:23:10,Lime,16,Займ хороший,3000,,173,c7e9aacc023d4950b2ea54db52fa8bb5,1foc9epfkhe69o5hxyds7j2qcsk24qlx,,,Александр Карсаков
65,2021-03-31 20:19:16,Lime,16,Займ отличный,3000,c39e83b67bf8d1c48378242ff6f3268e,,3091,,,,Guruleads
66,2021-03-31 20:19:16,Lime,16,Займ средний,1800,17db2dac0cd73bee8a2bb85683ba9f33,1123045,46928,,,,Leads
67,2021-03-31 20:13:13,Lime,16,Повторный займ,500,,676,,,,,Rafinad
68,2021-03-31 20:11:10,Lime,16,Займ отличный,3000,3ef220661985197d2f53d72685617063,,1563,,,,Guruleads
69,2021-03-31 20:11:10,Lime,16,Займ средний,1800,26733f8e2f442115b7bf10dd9f237dc0,,121,,,,Guruleads
70,2021-03-31 20:07:11,Lime,16,Займ средний,3000,,173,e7960b71d5cf4d319b36b6f69cfe5b51,73hdyshg73u28voqj6oxi1zymxkp7sgx,,,Александр Карсаков
71,2021-03-31 20:07:09,Konga,17,Повторный займ,300,c0dfa9ed7f9f1cd0469aad3386aa1579,1109435,62466,,,,Leads
72,2021-03-31 20:05:12,Lime,16,Займ хороший,3000,77d5835109f95aada380f3f9ef850624,1103405,47386,,,,Leads
73,2021-03-31 20:01:37,Lime,16,Займ хороший,3000,42fcee110f0d5fdca4437da2f9f0031a,,1484,,,,Guruleads
74,2021-03-31 20:01:37,Lime,16,Займ средний,3000,,,fba99b01e6614ae1ad699d9d6df7ed3e,MFO_NEW,,,Александр Карсаков
75,2021-03-31 20:01:35,Lime,16,Повторный займ,500,,640,,,,,Rafinad
