,partner,sub3,goal
45,CLICK2MONEY,174,1982
226,LEADS,126905,1363
26,BANKI,,1178
118,KOSMOS,,808
335,LEADS,45551,519
75,GURU,16,434
373,LEADSTECH,8,364
48,CLICK2MONEY,2700,349
71,GURU,1430,332
74,GURU,1529,320
161,LEADGID,34349,296
158,LEADGID,31445,243
112,GURU,666,238
231,LEADS,129922,237
90,GURU,2764,226
83,GURU,2149,224
152,LEADGID,27805,216
61,FINPUBLIC,,205
117,KIPNET,,193
183,LEADGID,64005,192
356,LEADSTECH,13,188
244,LEADS,140237,184
27,BANKI,AFFID,177
100,GURU,3614,174
263,LEADS,149714,173
65,GOODAFF,,171
358,LEADSTECH,15,145
85,GURU,2250,140
44,CLICK2MONEY,15,126
186,LEADGID,66247,104
340,LEADS,48168,100
82,GURU,2024,96
64,GENERIQ,,96
360,LEADSTECH,17,96
41,CLICK2MONEY,1160,94
31,CITYADS,4QCp,94
232,LEADS,130967,92
0,ADMITAD,1055604,90
301,LEADS,166809,85
133,LEADGID,19934,83
52,CLICK2MONEY,55,81
273,LEADS,154244,80
53,CLICK2MONEY,5647,79
28,BANKIROS,,76
159,LEADGID,31447,72
346,LEADS,53258,71
401,LEADTARGET,843,64
146,LEADGID,25473,63
245,LEADS,140558,62
1243,UNICOM24,41476,61
338,LEADS,47386,59
211,LEADGID,75490,58
19,ADMITAD,539733,54
238,LEADS,134174,53
97,GURU,3485,52
267,LEADS,150965,50
