,month,partner,web,conv
136,12,LEADS,126905,919
10,12,GURU,16,264
80,12,LEADGID,34349,233
17,12,GURU,2149,233
75,12,LEADGID,31445,225
23,12,GURU,2764,211
9,12,GURU,1529,204
247,12,LEADS,45551,189
33,12,GURU,3614,185
142,12,LEADS,129922,183
196,12,LEADS,156562,169
71,12,LEADGID,27805,164
7,12,GURU,1430,154
42,12,GURU,666,147
179,12,LEADS,149714,139
159,12,LEADS,140237,121
64,12,LEADGID,25473,101
191,12,LEADS,154244,92
51,12,LEADGID,19934,91
251,12,LEADS,47493,72
250,12,LEADS,47386,70
104,12,LEADGID,64005,70
220,12,LEADS,166809,63
252,12,LEADS,48168,61
73,12,LEADGID,28789,59
258,12,LEADS,53258,55
19,12,GURU,2250,53
150,12,LEADS,134174,53
16,12,GURU,2024,50
