,partner,sub3,reg,new,rep,total,ARn,RLS
134,LEADGID,28789,29,16,30,46,0.55,0.6521739130434783
85,GURU,3614,59,32,3,35,0.54,0.08571428571428572
60,GURU,16,182,13,14,27,0.07,0.5185185185185185
95,GURU,666,55,24,3,27,0.44,0.1111111111111111
8,ARHIP,,0,10,6,16,inf,0.375
196,LEADS,134174,19,5,10,15,0.26,0.6666666666666666
13,CITYADS,5eDh,0,8,7,15,inf,0.4666666666666667
172,LEADGID,75490,8,2,9,11,0.25,0.8181818181818182
58,GURU,1501,22,5,6,11,0.23,0.5454545454545454
230,LEADS,154244,17,8,3,11,0.47,0.2727272727272727
22,CITYADS,sp3,1,3,7,10,3.0,0.7
