,partner,sub3,reg,new,rep,total,ARn,RLS
509,LEADS,130978,5,2,21,23,0.4,0.9130434782608695
63,ADMITAD,960004,4,17,55,72,4.25,0.7638888888888888
347,LEADGID,28789,143,59,183,242,0.41,0.756198347107438
530,LEADS,138336,22,8,24,32,0.36,0.75
116,CLICK2MONEY,108,5,22,58,80,4.4,0.725
112,CITYADS,sp3,2,17,41,58,8.5,0.7068965517241379
466,LEADGID,75490,143,87,207,294,0.61,0.7040816326530612
88,CITYADS,5eDh,0,10,21,31,inf,0.6774193548387096
53,ADMITAD,539733,5,86,174,260,17.2,0.6692307692307692
506,LEADS,130391,9,7,14,21,0.78,0.6666666666666666
77,BANKIROS,,438,120,187,307,0.27,0.6091205211726385
182,GURU,1501,351,53,66,119,0.15,0.5546218487394958
517,LEADS,134174,235,102,107,209,0.43,0.5119617224880383
