,month,partner,web,conv
5,1,CLICK2MONEY,174,2009
167,1,LEADS,126905,1375
276,1,LEADS,45551,528
29,1,GURU,16,441
8,1,CLICK2MONEY,2700,349
25,1,GURU,1430,344
28,1,GURU,1529,324
102,1,LEADGID,34349,297
99,1,LEADGID,31445,243
66,1,GURU,666,239
172,1,LEADS,129922,238
44,1,GURU,2764,230
37,1,GURU,2149,228
93,1,LEADGID,27805,216
124,1,LEADGID,64005,193
185,1,LEADS,140237,188
204,1,LEADS,149714,174
54,1,GURU,3614,174
39,1,GURU,2250,140
4,1,CLICK2MONEY,15,128
127,1,LEADGID,66247,105
281,1,LEADS,48168,101
36,1,GURU,2024,99
1,1,CLICK2MONEY,1160,94
173,1,LEADS,130967,92
74,1,LEADGID,19934,87
242,1,LEADS,166809,85
12,1,CLICK2MONEY,55,81
214,1,LEADS,154244,80
13,1,CLICK2MONEY,5647,79
100,1,LEADGID,31447,72
287,1,LEADS,53258,72
186,1,LEADS,140558,64
87,1,LEADGID,25473,63
152,1,LEADGID,75490,61
279,1,LEADS,47386,61
179,1,LEADS,134174,54
51,1,GURU,3485,52
208,1,LEADS,150965,50
