,partner,sub3,goal
41,CLICK2MONEY,174,2239
129,KOSMOS,,1252
244,LEADS,126905,730
19,BANKI,,613
45,CLICK2MONEY,2700,503
360,LEADSTECH,13,474
20,BANKI,AFFID,375
78,GURU,1529,287
181,LEADGID,31445,266
76,GURU,1430,250
185,LEADGID,34349,220
362,LEADSTECH,15,203
67,FINPUBLIC,,200
81,GURU,16,182
374,LEADSTECH,8,181
23,CITYADS,4QCp,176
119,GURU,666,174
99,GURU,2764,169
342,LEADS,47493,159
18,ARHIP,,146
175,LEADGID,25473,145
369,LEADSTECH,40,140
212,LEADGID,64005,140
128,KIPNET,,130
285,LEADS,149714,129
294,LEADS,154244,120
262,LEADS,140237,115
107,GURU,3614,107
101,GURU,3091,105
90,GURU,2149,102
21,BANKIROS,,92
53,CLICK2MONEY,55,91
249,LEADS,129922,90
254,LEADS,134174,80
209,LEADGID,62883,76
352,LEADS,53258,75
305,LEADS,159977,72
389,LEADTARGET,843,63
38,CLICK2MONEY,15,62
364,LEADSTECH,17,62
163,LEADGID,19934,62
343,LEADS,48168,59
358,LEADSTECH,102,57
321,LEADS,166809,52
59,CLICK2MONEY,5971,51
