,ts,project,offer_title,goal_id,payouts,sub1,sub2,sub3,affiliate
0,2021-12-09 11:20:22,Lime,Lime // Hybrid (new+repeat loans),4171956,4500,fd7db013981fcfa81121dcfe0faea5e5,,539733,ADMITAD
1,2021-12-09 05:46:13,Lime,Lime // Hybrid (new+repeat loans),3801981,500,e13724ac9eaf50005dbdf86cc9f9f798,,960004,ADMITAD
2,2021-12-08 19:44:44,Lime,Lime // Hybrid (new+repeat loans),4751517,500,9b07399503beffa5bff16448c783bc9e,,539733,ADMITAD
3,2021-12-08 19:08:13,Lime,Lime // Hybrid (new+repeat loans),5845686,3000,1c597347e3649f4207f8c5eea6596cbc,,960004,ADMITAD
4,2021-12-08 17:33:28,Lime,Lime // Hybrid (new+repeat loans),5759527,4500,1a33dd5fc97d5011be652875ae5cef1c,,960004,ADMITAD
5,2021-12-08 08:26:57,Lime,Lime // Hybrid (new+repeat loans),5762251,500,4742dabc49c40c10d5e88aa271b0c49a,,539733,ADMITAD
6,2021-12-08 08:11:08,Lime,Lime // Hybrid (new+repeat loans),5685016,500,86811933cf66a8e1debdf36fe765c15a,,539733,ADMITAD
7,2021-12-08 06:51:49,Lime,Lime // Hybrid (new+repeat loans),5689756,500,c2169f4a58a63d890afddf3febe71a74,,960004,ADMITAD
8,2021-12-08 04:55:37,Lime,Lime // Hybrid (new+repeat loans),5591878,500,a6b4b7d183aa734d8df5006c83f160d9,,539733,ADMITAD
9,2021-12-07 21:56:53,Lime,Lime // Hybrid (new+repeat loans),4860117,500,b776cd666bf9f99192a87fe5e961c8f1,,539733,ADMITAD
10,2021-12-07 21:10:31,Konga,Konga CPA,1728129,2400,d2c5817b75a727c11c9d85e3d432cb36,,1512587,ADMITAD
11,2021-12-07 19:42:46,Lime,Lime // Hybrid (new+repeat loans),5704308,500,aff14bfcfa73e4fb302b523b8f660a7a,,960004,ADMITAD
12,2021-12-07 18:06:37,Lime,Lime // Hybrid (new+repeat loans),5029875,500,d726f717b4be33eb44ef4c801b28549c,,539733,ADMITAD
13,2021-12-07 09:25:00,Lime,Lime // Hybrid (new+repeat loans),5607227,500,46a59a2e0742c3b43f90f6976f990a83,,960004,ADMITAD
14,2021-12-06 10:04:55,Lime,Lime // Hybrid (new+repeat loans),5834136,3000,61f6f7080be279a801d97c5e77a29d0a,,889145,ADMITAD
15,2021-12-06 07:58:35,Lime,Lime // Hybrid (new+repeat loans),5298891,500,45da7371b7adca3203de31a32ed6e5e0,,960004,ADMITAD
16,2021-12-05 17:10:43,Lime,Lime // Hybrid (new+repeat loans),5775348,500,f1e4ad436ce84cbc841a8627d382598e,,960004,ADMITAD
17,2021-12-05 17:00:26,Lime,Lime // Hybrid (new+repeat loans),5358223,500,f8cfaf132819588457406a2dfe7b030e,,74746,ADMITAD
18,2021-12-05 12:02:25,Lime,Lime // Hybrid (new+repeat loans),5711634,500,b89e10cb15b0220f2105935f63ffe93b,,960004,ADMITAD
19,2021-12-04 11:34:01,Lime,Lime // Hybrid (new+repeat loans),5825575,3000,3e76b460e4d6a3c4b9b1c01c7ba21ecf,,1543810,ADMITAD
20,2021-12-04 06:35:21,Lime,Lime // Hybrid (new+repeat loans),4794831,500,bbc2eb2b6b5bae1c1e72000817f670ba,,960004,ADMITAD
21,2021-12-03 17:49:29,Lime,Lime // Hybrid (new+repeat loans),5662162,500,03b6ea7f49c14c5772c663bd8d58ba42,,960004,ADMITAD
22,2021-12-03 15:00:52,Konga,Konga CPA,1943221,2400,fea88180d3de2b1cfe959b3f3484fd2b,,1807718,ADMITAD
23,2021-12-03 14:54:52,Lime,Lime // Hybrid (new+repeat loans),5765792,500,8ba4dcc0e7999cbbdf86c8cb9fa73b0c,,960004,ADMITAD
24,2021-12-01 16:36:03,Lime,Lime // Hybrid (new+repeat loans),5812961,4500,3930fe631b54baebbe272a789f6d5ec7,,1055604,ADMITAD
25,2021-12-01 14:54:57,Lime,Lime // Hybrid (new+repeat loans),5222115,500,b675346b54667fb3391647e78d23a1b0,,960004,ADMITAD
26,2021-12-01 11:25:08,Lime,Lime // Hybrid (new+repeat loans),5715722,500,390ca98d11cb65b6b5be2f6c53a6efb9,,960004,ADMITAD
