,ts,project,offer_title,goal_id,payouts,sub1,sub2,sub3,affiliate
0,2021-12-09 12:05:22,Lime,Lime // Hybrid (new+repeat loans),5717801,1800,d31,q1,,ARHIP
1,2021-12-09 08:00:36,Lime,Lime // Hybrid (new+repeat loans),5509038,500,,,,ARHIP
2,2021-12-08 17:10:56,Lime,Lime // Hybrid (new+repeat loans),5589280,3000,d31,q1,,ARHIP
3,2021-12-08 16:29:29,Lime,Lime // Hybrid (new+repeat loans),3507866,500,d31,q1,,ARHIP
4,2021-12-07 17:13:47,Lime,Lime // Hybrid (new+repeat loans),5597724,3000,d31,q1,,ARHIP
5,2021-12-07 13:23:23,Lime,Lime // Hybrid (new+repeat loans),5173996,3000,d31,q1,,ARHIP
6,2021-12-05 15:54:02,Lime,Lime // Hybrid (new+repeat loans),5540716,4500,,,,ARHIP
7,2021-12-05 13:24:54,Lime,Lime // Hybrid (new+repeat loans),5645926,3000,d31,q1,,ARHIP
8,2021-12-05 12:36:30,Lime,Lime // Hybrid (new+repeat loans),5242189,3000,d31,q1,,ARHIP
9,2021-12-05 12:26:20,Lime,Lime // Hybrid (new+repeat loans),4960909,500,d31,q1,,ARHIP
10,2021-12-05 12:23:03,Lime,Lime // Hybrid (new+repeat loans),5514954,500,d31,q1,,ARHIP
11,2021-12-05 11:26:26,Lime,Lime // Hybrid (new+repeat loans),1469908,500,d32,q1,,ARHIP
12,2021-12-05 10:44:10,Lime,Lime // Hybrid (new+repeat loans),5697807,3000,d31,q1,,ARHIP
13,2021-12-04 17:47:36,Lime,Lime // Hybrid (new+repeat loans),5697549,3000,d31,q1,,ARHIP
14,2021-12-04 15:29:33,Lime,Lime // Hybrid (new+repeat loans),5148076,500,d31,q1,,ARHIP
15,2021-12-04 15:07:17,Lime,Lime // Hybrid (new+repeat loans),5587754,3000,d31,q1,,ARHIP
16,2021-12-04 14:22:48,Lime,Lime // Hybrid (new+repeat loans),5697814,4500,d31,q1,,ARHIP
17,2021-12-04 12:14:47,Lime,Lime // Hybrid (new+repeat loans),2167639,3000,d31,q1,,ARHIP
18,2021-12-04 10:35:34,Lime,Lime // Hybrid (new+repeat loans),5534253,500,d32,q1,,ARHIP
19,2021-12-04 06:19:21,Lime,Lime // Hybrid (new+repeat loans),3370961,500,d31,q1,,ARHIP
20,2021-12-03 18:10:03,Lime,Lime // Hybrid (new+repeat loans),5692946,1800,d31,q1,,ARHIP
21,2021-12-03 16:29:11,Lime,Lime // Hybrid (new+repeat loans),5685425,4500,d31,q1,,ARHIP
22,2021-12-03 16:06:03,Lime,Lime // Hybrid (new+repeat loans),5686623,4500,d31,q1,,ARHIP
23,2021-12-03 13:44:39,Lime,Lime // Hybrid (new+repeat loans),5589976,4500,d31,q1,,ARHIP
24,2021-12-03 12:12:28,Lime,Lime // Hybrid (new+repeat loans),5267693,500,d31,q1,,ARHIP
25,2021-12-03 05:57:17,Lime,Lime // Hybrid (new+repeat loans),4972126,500,d31,q1,,ARHIP
26,2021-12-02 20:04:26,Lime,Lime // Hybrid (new+repeat loans),5689651,4500,d31,q1,,ARHIP
27,2021-12-02 14:41:22,Lime,Lime // Hybrid (new+repeat loans),5483991,4500,d31,q1,,ARHIP
28,2021-12-02 08:27:06,Lime,Lime // Hybrid (new+repeat loans),5641805,500,d31,q1,,ARHIP
29,2021-12-02 00:18:40,Lime,Lime // Hybrid (new+repeat loans),5570319,3000,d31,q1,,ARHIP
30,2021-12-01 18:54:07,Lime,Lime // Hybrid (new+repeat loans),5162639,500,d31,q2,,ARHIP
31,2021-12-01 18:44:09,Lime,Lime // Hybrid (new+repeat loans),5370404,4500,d31,q1,,ARHIP
32,2021-12-01 12:16:15,Lime,Lime // Hybrid (new+repeat loans),3993453,500,d31,q1,,ARHIP
33,2021-12-01 12:14:26,Lime,Lime // Hybrid (new+repeat loans),5686001,3000,d31,q1,,ARHIP
34,2021-12-01 12:03:24,Lime,Lime // Hybrid (new+repeat loans),5665721,3000,d31,q1,,ARHIP
35,2021-12-01 11:55:31,Lime,Lime // Hybrid (new+repeat loans),4122376,4500,d31,q1,,ARHIP
