,ts,project,offer_title,goal_id,payouts,sub1,sub2,sub3,affiliate
0,2021-12-31 17:22:56,Konga,Konga // Hybrid (new+repeat loans),1989156,2400,61cf0e67e565300001b2e152,,,BANKIROS
1,2021-12-31 14:21:17,Lime,Lime // Hybrid (new+repeat loans),4213985,500,61cee701e565300001b2b510,,,BANKIROS
2,2021-12-31 13:27:23,Lime,Lime // Hybrid (new+repeat loans),3812421,3000,61cedaa2e565300001b2a2de,,,BANKIROS
3,2021-12-31 11:17:15,Konga,Konga // Hybrid (new+repeat loans),1607685,300,61ceba7de565300001b27afa,,,BANKIROS
4,2021-12-31 10:31:00,Konga,Konga // Hybrid (new+repeat loans),1894227,300,61ceb0e9e565300001b26dd3,,,BANKIROS
5,2021-12-31 05:19:06,Lime,Lime // Hybrid (new+repeat loans),5826390,500,61cdc859e565300001b15541,,,BANKIROS
6,2021-12-31 05:01:52,Konga,Konga // Hybrid (new+repeat loans),1975621,300,61cd9375e565300001b0c312,,,BANKIROS
7,2021-12-31 00:32:29,Lime,Lime // Hybrid (new+repeat loans),5206981,500,61ce21dae565300001b1e1ed,,,BANKIROS
8,2021-12-31 00:15:46,Lime,Lime // Hybrid (new+repeat loans),5446240,500,61cde3c4e565300001b18354,,,BANKIROS
9,2021-12-31 00:12:53,Konga,Konga // Hybrid (new+repeat loans),1784707,300,61ce1f28e565300001b1df6c,,,BANKIROS
10,2021-12-30 19:26:04,Lime,Lime // Hybrid (new+repeat loans),5156087,500,61cb3f9ee565300001a96e68,,,BANKIROS
11,2021-12-30 15:12:46,Lime,Lime // Hybrid (new+repeat loans),5717533,500,61c8c1bfe565300001a04643,,,BANKIROS
12,2021-12-30 14:29:03,Lime,Lime // Hybrid (new+repeat loans),5649539,500,61c31074f230f400013e661c,,,BANKIROS
13,2021-12-30 12:02:01,Lime,Lime // Hybrid (new+repeat loans),5850149,500,61cd5065e565300001affed6,,,BANKIROS
14,2021-12-30 12:01:10,Konga,Konga // Hybrid (new+repeat loans),1835010,300,61cd7347e565300001b0668c,,,BANKIROS
15,2021-12-30 11:20:56,Lime,Lime // Hybrid (new+repeat loans),5849900,500,61cd6b65e565300001b04dbd,,,BANKIROS
16,2021-12-30 08:27:30,Konga,Konga // Hybrid (new+repeat loans),1986801,2400,61cd4041e565300001afd9b7,,,BANKIROS
