,ts,project,offer_title,goal_id,payouts,sub1,sub2,sub3,affiliate
0,2021-12-31 15:14:09,Lime,Lime // Hybrid (new+repeat loans),4976980,500,3PFZ1VvsHtZ5iCk,,4QCp,CITYADS
1,2021-12-31 07:02:07,Konga,Konga CPA,1946482,2400,7WWZ1VskgvZiBbl,,5eDh,CITYADS
2,2021-12-31 05:32:50,Konga,Konga // Hybrid (new+repeat loans),1497179,300,99XZ1VuXGrZAabP,,oY1RQk,CITYADS
3,2021-12-31 04:45:23,Konga,Konga // Hybrid (new+repeat loans),1538370,300,99XZ1Vub4dZED8z,,5Fpi,CITYADS
4,2021-12-31 00:13:48,Konga,Konga // Hybrid (new+repeat loans),1349381,300,99XZ1VuXGrZAabP,,oY1RQk,CITYADS
5,2021-12-30 18:14:13,Lime,Lime // Hybrid (new+repeat loans),5935168,4500,3PFZ1VrGF3Ze6k8,,MjvkvA,CITYADS
6,2021-12-30 15:21:23,Lime,Lime // Hybrid (new+repeat loans),5660763,500,3PFZ1VrIlXZAdXw,,76KGrr,CITYADS
7,2021-12-30 13:33:58,Lime,Lime // Hybrid (new+repeat loans),5707087,500,3PFZ1Vv3UDZiCyY,,4QCp,CITYADS
8,2021-12-30 13:01:06,Konga,Konga CPA,1306184,2400,7WWZ1Vv3lhZmW3j,,5eDh,CITYADS
9,2021-12-30 11:55:53,Lime,Lime // Hybrid (new+repeat loans),5933270,4500,3PFZ1Vv2c6ZAfEP,,4QCp,CITYADS
10,2021-12-30 11:21:21,Konga,Konga // Hybrid (new+repeat loans),1733355,300,99XZ1VrVN9ZECWq,,qjBwwR,CITYADS
11,2021-12-30 10:49:35,Lime,Lime // Hybrid (new+repeat loans),5301895,500,3PFZ1VrytLZivGY,,4QCp,CITYADS
12,2021-12-30 01:28:59,Lime,Lime // Hybrid (new+repeat loans),5877408,500,3PFZ1VpNLjZ5mRE,,4QCp,CITYADS
13,2021-12-30 00:16:56,Lime,Lime // Hybrid (new+repeat loans),5801543,500,3PFZ1VuQ34ZAd93,,4QCp,CITYADS
14,2021-12-29 23:51:22,Lime,Lime // Hybrid (new+repeat loans),2675008,4500,3PFZ1VqgujZiuPj,,4QCp,CITYADS
15,2021-12-29 21:04:46,Lime,Lime // Hybrid (new+repeat loans),5787915,500,3PFZ1VuMVVZn0vo,,4QCp,CITYADS
16,2021-12-29 10:02:05,Lime,Lime // Hybrid (new+repeat loans),4826013,500,3PFZ1VuC4vZn01N,,4QCp,CITYADS
17,2021-12-29 09:26:28,Konga,Konga // Hybrid (new+repeat loans),1985044,2400,99XZ1VuAKDZEDM2,,sp3,CITYADS
18,2021-12-29 00:46:17,Lime,Lime // Hybrid (new+repeat loans),5860617,500,3PFZ1VusWwZe8oI,,76KGrr,CITYADS
19,2021-12-29 00:32:44,Lime,Lime // Hybrid (new+repeat loans),5890073,500,3PFZ1Vr6dXZvNt2,,4QCp,CITYADS
20,2021-12-28 22:59:28,Lime,Lime // Hybrid (new+repeat loans),5488291,500,3PFZ1VuloeZiwuB,,76KGrr,CITYADS
21,2021-12-28 20:13:07,Lime,Lime // Hybrid (new+repeat loans),5607988,500,3PFZ1VtzybZix28,,MjvkvA,CITYADS
22,2021-12-28 20:00:26,Lime,Lime // Hybrid (new+repeat loans),5860963,500,3PFZ1VogO8ZmUwx,,4QCp,CITYADS
23,2021-12-28 18:37:24,Lime,Lime // Hybrid (new+repeat loans),5726087,500,3PFZ1VnOKxZAef1,,4QCp,CITYADS
24,2021-12-28 17:11:20,Lime,Lime // Hybrid (new+repeat loans),5925343,3000,3PFZ1Vukw5ZAab5,,3xlW,CITYADS
25,2021-12-28 14:35:14,Lime,Lime // Hybrid (new+repeat loans),5371263,3000,3PFZ1VujucZecvE,,4QCp,CITYADS
26,2021-12-28 09:32:37,Lime,Lime // Hybrid (new+repeat loans),5280714,500,3PFZ1Vt264ZEE5m,,GZq19K,CITYADS
27,2021-12-28 08:41:43,Lime,Lime // Hybrid (new+repeat loans),5907237,500,3PFZ1VudzWZivnw,,4QCp,CITYADS
28,2021-12-28 01:25:40,Lime,Lime // Hybrid (new+repeat loans),5922607,3000,3PFZ1Vu638ZECGN,,9L5,CITYADS
29,2021-12-27 22:27:50,Konga,Konga CPA,1982727,2400,7WWZ1Vu1QAZ9Nas,,5eDh,CITYADS
30,2021-12-27 20:24:08,Lime,Lime // Hybrid (new+repeat loans),4850039,500,3PFZ1Vu1OMZrjz7,,4QCp,CITYADS
31,2021-12-27 19:22:00,Lime,Lime // Hybrid (new+repeat loans),5921518,4500,3PFZ1Vu0RtZEwWN,,4QCp,CITYADS
32,2021-12-27 14:23:54,Lime,Lime // Hybrid (new+repeat loans),5874229,500,3PFZ1VptoRZvNH3,,4QCp,CITYADS
33,2021-12-27 14:05:45,Lime,Lime // Hybrid (new+repeat loans),2045473,500,3PFZ1VsqydZ9Hfu,,4QCp,CITYADS
34,2021-12-27 13:50:59,Lime,Lime // Hybrid (new+repeat loans),5391974,500,3PFZ1VtmPtZvOxM,,4QCp,CITYADS
35,2021-12-27 12:03:51,Konga,Konga CPA,1917533,2400,7WWZ1VpEElZe63o,,5ohl,CITYADS
36,2021-12-27 10:24:35,Lime,Lime // Hybrid (new+repeat loans),5918955,4500,3PFZ1VtQSPZn0DB,,9L5,CITYADS
37,2021-12-27 06:37:00,Lime,Lime // Hybrid (new+repeat loans),5590859,500,3PFZ1VtDG2ZiCoH,,GZq19K,CITYADS
38,2021-12-26 23:08:19,Lime,Lime // Hybrid (new+repeat loans),5827700,500,3PFZ1VtmxWZExiT,,4QCp,CITYADS
39,2021-12-26 22:47:17,Konga,Konga // Hybrid (new+repeat loans),1981139,2400,99XZ1VtFPSZEDBf,,5c61,CITYADS
40,2021-12-26 22:21:01,Lime,Lime // Hybrid (new+repeat loans),5499679,3000,3PFZ1VtEX8ZAexm,,9L5,CITYADS
41,2021-12-26 20:56:50,Konga,Konga CPA,1925322,2400,7WWZ1VtzvrZvNBs,,qjBwwR,CITYADS
42,2021-12-26 16:44:52,Lime,Lime // Hybrid (new+repeat loans),5778313,3000,3PFZ1VtzXVZvIf4,,4QCp,CITYADS
43,2021-12-26 14:08:42,Lime,Lime // Hybrid (new+repeat loans),5832151,500,3PFZ1VlCrNZe8si,,5eDh,CITYADS
44,2021-12-26 09:40:21,Konga,Konga // Hybrid (new+repeat loans),828002,300,99XZ1VrVN9ZECWq,,qjBwwR,CITYADS
45,2021-12-26 05:21:22,Konga,Konga // Hybrid (new+repeat loans),1535344,300,99XZ1VkF7aZ5p55,,sp3,CITYADS
46,2021-12-25 23:15:57,Lime,Lime // Hybrid (new+repeat loans),5538258,3000,3PFZ1Vtj61Ze7v0,,4QCp,CITYADS
47,2021-12-25 22:27:27,Lime,Lime // Hybrid (new+repeat loans),5809464,3000,3PFZ1VtfnTZvJSs,,4QCp,CITYADS
48,2021-12-25 19:57:22,Lime,Lime // Hybrid (new+repeat loans),4502338,3000,3PFZ1VtfXAZEyun,,4QCp,CITYADS
49,2021-12-25 15:43:56,Lime,Lime // Hybrid (new+repeat loans),4840912,500,3PFZ1Vl94kZ9M5P,,76KGrr,CITYADS
50,2021-12-25 06:17:45,Lime,Lime // Hybrid (new+repeat loans),5692032,4500,3PFZ1Vt2MSZvOVv,,4QCp,CITYADS
51,2021-12-25 05:32:26,Lime,Lime // Hybrid (new+repeat loans),5892851,4500,3PFZ1Vt224Z5jcA,,4QCp,CITYADS
52,2021-12-25 04:20:10,Lime,Lime // Hybrid (new+repeat loans),5764974,500,3PFZ1Vt0LdZrkaG,,4QCp,CITYADS
53,2021-12-24 23:43:56,Lime,Lime // Hybrid (new+repeat loans),4976980,3000,3PFZ1VsVl7Z5iYR,,4QCp,CITYADS
54,2021-12-24 23:10:05,Lime,Lime // Hybrid (new+repeat loans),5794969,3000,3PFZ1VsU4NZrplH,,4QCp,CITYADS
55,2021-12-24 22:49:17,Lime,Lime // Hybrid (new+repeat loans),5889618,500,3PFZ1Vr4HtZvNuh,,4QCp,CITYADS
56,2021-12-24 21:15:03,Lime,Lime // Hybrid (new+repeat loans),5856220,500,3PFZ1VnNDPZ5if2,,sp3,CITYADS
57,2021-12-24 13:56:20,Lime,Lime // Hybrid (new+repeat loans),5907902,4500,3PFZ1VsLPaZvIoO,,pg55B2,CITYADS
58,2021-12-24 11:49:50,Konga,Konga // Hybrid (new+repeat loans),1703907,300,99XZ1VsJSFZvPaU,,sp3,CITYADS
59,2021-12-24 11:38:55,Lime,Lime // Hybrid (new+repeat loans),5907237,4500,3PFZ1VsJFrZe7nM,,4QCp,CITYADS
60,2021-12-24 11:00:07,Konga,Konga CPA,1976713,2400,7WWZ1VsJ0LZAeJO,,VmGXZz,CITYADS
61,2021-12-24 09:11:57,Lime,Lime // Hybrid (new+repeat loans),5842578,500,3PFZ1VqnILZ5oUM,,MjvkvA,CITYADS
62,2021-12-23 20:04:02,Lime,Lime // Hybrid (new+repeat loans),5790117,500,3PFZ1VsubFZe6Wo,,4QCp,CITYADS
63,2021-12-23 17:05:26,Lime,Lime // Hybrid (new+repeat loans),2333639,1800,3PFZ1Vsrp5ZEyvL,,4QCp,CITYADS
64,2021-12-23 17:00:30,Lime,Lime // Hybrid (new+repeat loans),5668053,500,3PFZ1VsrDAZ9Mzd,,4QCp,CITYADS
65,2021-12-23 15:52:07,Lime,Lime // Hybrid (new+repeat loans),2045473,3000,3PFZ1VsqydZ9Hfu,,4QCp,CITYADS
66,2021-12-23 13:47:36,Konga,Konga // Hybrid (new+repeat loans),1874892,300,99XZ1VrVN9ZECWq,,qjBwwR,CITYADS
67,2021-12-23 13:15:10,Konga,Konga // Hybrid (new+repeat loans),1709786,300,99XZ1VrVN9ZECWq,,qjBwwR,CITYADS
68,2021-12-23 12:49:00,Konga,Konga // Hybrid (new+repeat loans),1966870,300,99XZ1VrVN9ZECWq,,qjBwwR,CITYADS
69,2021-12-23 11:11:40,Lime,Lime // Hybrid (new+repeat loans),5902989,3000,3PFZ1VslS4Ze7e0,,4QCp,CITYADS
70,2021-12-23 10:31:22,Lime,Lime // Hybrid (new+repeat loans),5853670,500,3PFZ1VsloeZmUN5,,4QCp,CITYADS
71,2021-12-23 09:43:09,Lime,Lime // Hybrid (new+repeat loans),5171576,500,3PFZ1VskGhZAdhD,,4QCp,CITYADS
72,2021-12-23 05:54:07,Lime,Lime // Hybrid (new+repeat loans),5902074,3000,3PFZ1VsgNuZivtd,,4QCp,CITYADS
73,2021-12-23 00:22:04,Lime,Lime // Hybrid (new+repeat loans),3463802,4500,3PFZ1VsbDxZ9N5m,,4QCp,CITYADS
74,2021-12-22 20:31:31,Konga,Konga // Hybrid (new+repeat loans),1864168,300,99XZ1VnKaVZvKo1,,0gZ435,CITYADS
75,2021-12-22 19:14:18,Lime,Lime // Hybrid (new+repeat loans),5057733,3000,3PFZ1Vs6FxZe8z1,,GZq19K,CITYADS
76,2021-12-22 19:03:49,Lime,Lime // Hybrid (new+repeat loans),5728997,3000,3PFZ1Vs6q7Zrjqb,,4QCp,CITYADS
77,2021-12-22 14:23:03,Lime,Lime // Hybrid (new+repeat loans),5899838,1800,3PFZ1Vs1VyZ9MzP,,76KGrr,CITYADS
78,2021-12-22 13:30:20,Konga,Konga // Hybrid (new+repeat loans),1973256,2400,99XZ1VrVN9ZECWq,,qjBwwR,CITYADS
79,2021-12-22 13:20:30,Konga,Konga // Hybrid (new+repeat loans),1973282,2400,99XZ1VrVN9ZECWq,,qjBwwR,CITYADS
80,2021-12-22 12:46:56,Konga,Konga // Hybrid (new+repeat loans),1746625,300,99XZ1VrVN9ZECWq,,qjBwwR,CITYADS
81,2021-12-22 12:45:19,Konga,Konga // Hybrid (new+repeat loans),1927585,300,99XZ1ViqvNZe86e,,5Fpi,CITYADS
82,2021-12-22 12:18:55,Konga,Konga // Hybrid (new+repeat loans),1973156,2400,99XZ1VrVN9ZECWq,,qjBwwR,CITYADS
83,2021-12-22 11:51:51,Konga,Konga // Hybrid (new+repeat loans),1973096,2400,99XZ1VrVN9ZECWq,,qjBwwR,CITYADS
84,2021-12-22 11:19:59,Konga,Konga // Hybrid (new+repeat loans),1941359,300,99XZ1VrXNXZ9Nnk,,EloLQk,CITYADS
85,2021-12-22 08:06:19,Lime,Lime // Hybrid (new+repeat loans),5799876,1800,3PFZ1VrUQAZmTOq,,4QCp,CITYADS
86,2021-12-22 06:12:45,Konga,Konga // Hybrid (new+repeat loans),1688072,300,99XZ1VrSYgZmVSS,,EloLQk,CITYADS
87,2021-12-22 04:15:06,Lime,Lime // Hybrid (new+repeat loans),5898116,3000,3PFZ1VrQxAZA9hX,,4QCp,CITYADS
88,2021-12-22 01:01:14,Lime,Lime // Hybrid (new+repeat loans),5767308,500,3PFZ1VrKC6ZvOtS,,4QCp,CITYADS
89,2021-12-22 00:11:48,Lime,Lime // Hybrid (new+repeat loans),5447746,3000,3PFZ1VrNbOZiBU2,,4QCp,CITYADS
90,2021-12-21 23:56:09,Lime,Lime // Hybrid (new+repeat loans),2899964,3000,3PFZ1VrDSFZA9Tm,,4QCp,CITYADS
91,2021-12-21 17:51:58,Lime,Lime // Hybrid (new+repeat loans),5317752,500,3PFZ1VrH3RZvJg3,,JZw3o9,CITYADS
92,2021-12-21 17:51:09,Lime,Lime // Hybrid (new+repeat loans),5772410,3000,3PFZ1VrGSBZmVYa,,4QCp,CITYADS
93,2021-12-21 16:44:45,Lime,Lime // Hybrid (new+repeat loans),5896218,3000,3PFZ1VrFxEZvIVt,,4QCp,CITYADS
94,2021-12-21 15:31:23,Konga,Konga // Hybrid (new+repeat loans),1966930,2400,99XZ1VqBXHZrpdm,,sp3,CITYADS
95,2021-12-21 15:18:30,Lime,Lime // Hybrid (new+repeat loans),5480796,3000,3PFZ1VrEu7ZAfuC,,4QCp,CITYADS
96,2021-12-21 14:57:11,Lime,Lime // Hybrid (new+repeat loans),5810268,500,3PFZ1VjRecZvPAz,,sp3,CITYADS
97,2021-12-21 12:38:54,Lime,Lime // Hybrid (new+repeat loans),5895284,4500,3PFZ1VrBOLZvJCB,,4QCp,CITYADS
98,2021-12-21 12:32:18,Konga,Konga // Hybrid (new+repeat loans),1916424,300,99XZ1VrBBRZ9IHx,,EloLQk,CITYADS
99,2021-12-21 11:43:53,Konga,Konga CPA,1967511,2400,7WWZ1VpEElZe63o,,5ohl,CITYADS
100,2021-12-21 10:29:25,Konga,Konga CPA,1970768,2400,7WWZ1VrrIeZEwEi,,5eDh,CITYADS
101,2021-12-21 08:55:27,Lime,Lime // Hybrid (new+repeat loans),5301895,1800,3PFZ1VrytLZivGY,,4QCp,CITYADS
102,2021-12-21 08:54:00,Lime,Lime // Hybrid (new+repeat loans),5419641,500,3PFZ1VqdUeZEDlN,,mw4Jgp,CITYADS
103,2021-12-21 08:35:00,Lime,Lime // Hybrid (new+repeat loans),5885375,500,3PFZ1VqzEQZ9LWR,,4QCp,CITYADS
104,2021-12-21 07:10:22,Lime,Lime // Hybrid (new+repeat loans),5230750,500,3PFZ1VlI2xZmVYc,,9L5,CITYADS
105,2021-12-21 04:40:44,Lime,Lime // Hybrid (new+repeat loans),5464893,3000,3PFZ1Vrl1oZn2km,,4QCp,CITYADS
106,2021-12-21 03:51:07,Lime,Lime // Hybrid (new+repeat loans),5894080,3000,3PFZ1VrtpPZrl0y,,4QCp,CITYADS
107,2021-12-20 22:39:25,Lime,Lime // Hybrid (new+repeat loans),5673145,500,3PFZ1VroveZEC42,,4QCp,CITYADS
108,2021-12-20 22:05:01,Lime,Lime // Hybrid (new+repeat loans),5893501,4500,3PFZ1VrnfcZrjDD,,4QCp,CITYADS
109,2021-12-20 20:46:48,Lime,Lime // Hybrid (new+repeat loans),5154406,3000,3PFZ1VrmgcZroXe,,sp3,CITYADS
110,2021-12-20 20:28:33,Lime,Lime // Hybrid (new+repeat loans),5600187,1800,3PFZ1VrmpMZvJws,,4QCp,CITYADS
111,2021-12-20 20:01:03,Lime,Lime // Hybrid (new+repeat loans),5893162,1800,3PFZ1VrlE8ZrlH5,,4QCp,CITYADS
112,2021-12-20 15:47:14,Lime,Lime // Hybrid (new+repeat loans),5892065,4500,3PFZ1Vrh8OZ9Mvv,,4QCp,CITYADS
113,2021-12-20 14:28:28,Lime,Lime // Hybrid (new+repeat loans),1248805,500,3PFZ1VrguRZExtP,,4QCp,CITYADS
114,2021-12-20 14:03:20,Lime,Lime // Hybrid (new+repeat loans),5891631,4500,3PFZ1VrfXQZedwB,,4QCp,CITYADS
115,2021-12-20 13:37:39,Lime,Lime // Hybrid (new+repeat loans),5627386,4500,3PFZ1VrfKPZmUm7,,4QCp,CITYADS
116,2021-12-20 12:31:06,Lime,Lime // Hybrid (new+repeat loans),5312389,4500,3PFZ1VreB5ZmUz6,,58ZYo8,CITYADS
117,2021-12-20 12:24:51,Lime,Lime // Hybrid (new+repeat loans),5797089,500,3PFZ1VksIcZ9MVR,,4QCp,CITYADS
118,2021-12-20 09:41:15,Lime,Lime // Hybrid (new+repeat loans),5295405,500,3PFZ1VrbTKZe8wN,,58GopX,CITYADS
119,2021-12-20 09:16:04,Lime,Lime // Hybrid (new+repeat loans),3007641,500,3PFZ1VoYSAZA8oB,,mw4Jgp,CITYADS
120,2021-12-20 07:37:02,Lime,Lime // Hybrid (new+repeat loans),5709853,500,3PFZ1Vr9QbZ9Nz5,,4QCp,CITYADS
121,2021-12-20 05:08:24,Lime,Lime // Hybrid (new+repeat loans),5890073,1800,3PFZ1Vr6dXZvNt2,,4QCp,CITYADS
122,2021-12-20 04:27:34,Lime,Lime // Hybrid (new+repeat loans),5886619,3000,3PFZ1VqOKBZ5nV1,,sp3,CITYADS
123,2021-12-20 04:21:21,Lime,Lime // Hybrid (new+repeat loans),5362751,4500,3PFZ1Vr6F0ZvPNd,,4QCp,CITYADS
124,2021-12-20 02:53:41,Lime,Lime // Hybrid (new+repeat loans),5799700,500,3PFZ1VqUQBZ9O6Q,,4QCp,CITYADS
125,2021-12-20 02:22:54,Lime,Lime // Hybrid (new+repeat loans),5889618,4500,3PFZ1Vr4HtZvNuh,,4QCp,CITYADS
126,2021-12-20 00:51:48,Lime,Lime // Hybrid (new+repeat loans),5510796,500,3PFZ1Vr3acZEy4g,,mw4Jgp,CITYADS
127,2021-12-20 00:17:03,Lime,Lime // Hybrid (new+repeat loans),5730126,500,3PFZ1Vr2PHZixcJ,,sp3,CITYADS
128,2021-12-19 20:07:09,Konga,Konga CPA,1965106,2400,7WWZ1VqcjjZivh7,,5eDh,CITYADS
129,2021-12-19 20:00:34,Lime,Lime // Hybrid (new+repeat loans),5889213,4500,3PFZ1VqXoTZExeB,,4QCp,CITYADS
130,2021-12-19 16:53:11,Konga,Konga // Hybrid (new+repeat loans),1776334,300,99XZ1VnKaVZvKo1,,0gZ435,CITYADS
131,2021-12-19 16:21:55,Lime,Lime // Hybrid (new+repeat loans),5710458,500,3PFZ1VqU8LZiAlL,,4QCp,CITYADS
