,ts,project,offer_title,goal_id,payouts,sub1,sub2,sub3,affiliate
0,2021-12-09 09:45:35,Lime,Lime // Hybrid (new+repeat loans),5848219,4500,,bus,,FINPUBLIC
1,2021-12-09 05:59:08,Lime,Lime // Hybrid (new+repeat loans),5419500,500,,bus,,FINPUBLIC
2,2021-12-09 00:18:56,Lime,Lime // Hybrid (new+repeat loans),5813929,500,zs,,,FINPUBLIC
3,2021-12-08 13:58:16,Lime,Lime // Hybrid (new+repeat loans),5839126,4500,,bus,,FINPUBLIC
4,2021-12-08 13:28:07,Lime,Lime // Hybrid (new+repeat loans),5844571,1800,zs,,,FINPUBLIC
5,2021-12-08 11:13:44,Lime,Lime // Hybrid (new+repeat loans),5844295,3000,zs,,,FINPUBLIC
6,2021-12-08 11:13:30,Lime,Lime // Hybrid (new+repeat loans),5777128,500,,bus,,FINPUBLIC
7,2021-12-08 09:55:52,Lime,Lime // Hybrid (new+repeat loans),5843803,4500,,bus,,FINPUBLIC
8,2021-12-08 08:44:04,Lime,Lime // Hybrid (new+repeat loans),5545778,500,,bus,,FINPUBLIC
9,2021-12-08 00:23:41,Lime,Lime // Hybrid (new+repeat loans),5707462,3000,,bus,,FINPUBLIC
10,2021-12-07 16:13:11,Lime,Lime // Hybrid (new+repeat loans),5840656,4500,,bus,,FINPUBLIC
11,2021-12-07 13:38:21,Lime,Lime // Hybrid (new+repeat loans),5840329,1800,,bus,,FINPUBLIC
12,2021-12-07 13:23:04,Lime,Lime // Hybrid (new+repeat loans),5212030,3000,,bus,,FINPUBLIC
13,2021-12-07 11:01:04,Lime,Lime // Hybrid (new+repeat loans),4565456,4500,,bus,,FINPUBLIC
14,2021-12-07 03:12:57,Lime,Lime // Hybrid (new+repeat loans),5437060,500,zs,,,FINPUBLIC
15,2021-12-07 01:36:47,Lime,Lime // Hybrid (new+repeat loans),5838200,4500,,bus,,FINPUBLIC
16,2021-12-07 00:49:59,Lime,Lime // Hybrid (new+repeat loans),5526138,500,zs,,,FINPUBLIC
17,2021-12-06 23:27:30,Lime,Lime // Hybrid (new+repeat loans),5467321,1800,zs,,,FINPUBLIC
18,2021-12-06 23:23:24,Lime,Lime // Hybrid (new+repeat loans),5526138,3000,zs,,,FINPUBLIC
19,2021-12-06 20:19:21,Lime,Lime // Hybrid (new+repeat loans),5837385,4500,zs,,,FINPUBLIC
20,2021-12-06 17:33:51,Lime,Lime // Hybrid (new+repeat loans),5784478,500,,bus,,FINPUBLIC
21,2021-12-06 15:12:12,Lime,Lime // Hybrid (new+repeat loans),5835838,4500,,bus,,FINPUBLIC
22,2021-12-06 14:27:09,Lime,Lime // Hybrid (new+repeat loans),5835478,4500,,bus,,FINPUBLIC
23,2021-12-06 08:02:45,Lime,Lime // Hybrid (new+repeat loans),5833678,3000,,bus,,FINPUBLIC
24,2021-12-06 07:14:20,Lime,Lime // Hybrid (new+repeat loans),5833634,4500,,bus,,FINPUBLIC
25,2021-12-06 03:52:07,Lime,Lime // Hybrid (new+repeat loans),5833344,3000,,bus,,FINPUBLIC
26,2021-12-05 22:57:35,Lime,Lime // Hybrid (new+repeat loans),5832909,3000,,bus,,FINPUBLIC
27,2021-12-05 19:01:59,Lime,Lime // Hybrid (new+repeat loans),5744820,500,zs,,,FINPUBLIC
28,2021-12-05 17:57:02,Lime,Lime // Hybrid (new+repeat loans),5609680,4500,,bus,,FINPUBLIC
29,2021-12-05 16:14:35,Lime,Lime // Hybrid (new+repeat loans),4411343,500,,bus,,FINPUBLIC
30,2021-12-05 15:21:16,Lime,Lime // Hybrid (new+repeat loans),5831129,4500,,bus,,FINPUBLIC
31,2021-12-05 15:01:27,Lime,Lime // Hybrid (new+repeat loans),5759441,500,,bus,,FINPUBLIC
32,2021-12-05 14:37:50,Lime,Lime // Hybrid (new+repeat loans),5830614,4500,,bus,,FINPUBLIC
33,2021-12-05 13:29:37,Lime,Lime // Hybrid (new+repeat loans),5830586,4500,,bus,,FINPUBLIC
34,2021-12-05 10:16:56,Lime,Lime // Hybrid (new+repeat loans),5411349,3000,zs,,,FINPUBLIC
35,2021-12-05 09:19:33,Lime,Lime // Hybrid (new+repeat loans),5828612,3000,,bus,,FINPUBLIC
36,2021-12-05 01:02:24,Lime,Lime // Hybrid (new+repeat loans),5129246,500,zs,,,FINPUBLIC
37,2021-12-04 23:57:28,Lime,Lime // Hybrid (new+repeat loans),3613960,500,,bus,,FINPUBLIC
