,ts,project,offer_title,goal_id,payouts,sub1,sub2,sub3,affiliate
0,2021-12-08 22:38:49,Lime,Lime // Hybrid (new+repeat loans),5486409,500,2,,,GOODAFF
1,2021-12-08 21:24:16,Lime,Lime // Hybrid (new+repeat loans),5819138,500,2,,,GOODAFF
2,2021-12-08 19:16:15,Lime,Lime // Hybrid (new+repeat loans),5846504,3000,2,,,GOODAFF
3,2021-12-08 18:15:28,Lime,Lime // Hybrid (new+repeat loans),5846157,1800,2,,,GOODAFF
4,2021-12-08 18:00:34,Lime,Lime // Hybrid (new+repeat loans),5423123,500,2,,,GOODAFF
5,2021-12-08 17:27:50,Lime,Lime // Hybrid (new+repeat loans),5799947,3000,2,,,GOODAFF
6,2021-12-08 16:24:13,Lime,Lime // Hybrid (new+repeat loans),5783461,500,2,,,GOODAFF
7,2021-12-08 07:19:29,Lime,Lime // Hybrid (new+repeat loans),5843389,4500,2,,,GOODAFF
8,2021-12-08 04:40:30,Lime,Lime // Hybrid (new+repeat loans),4626607,4500,2,,,GOODAFF
9,2021-12-07 18:31:21,Lime,Lime // Hybrid (new+repeat loans),5841798,3000,2,,,GOODAFF
10,2021-12-07 15:09:07,Lime,Lime // Hybrid (new+repeat loans),5840790,3000,2,,,GOODAFF
