,ts,project,offer_title,goal_id,payouts,sub1,sub2,sub3,affiliate
0,2021-12-09 12:58:01,Lime,Lime // Hybrid (new+repeat loans),5848792,3000,0f2f1fa7743dc1cdf00cfb8005fcb38d,,666,GURU
1,2021-12-09 12:25:08,Lime,Lime // Hybrid (new+repeat loans),3816409,3000,481972a4572599b3aebcdd06846965eb,,666,GURU
2,2021-12-09 11:56:51,Konga,Konga // Hybrid (new+repeat loans),1953662,2400,695fedcadbbb5b282a61881a983818a0,,1529,GURU
3,2021-12-09 11:46:33,Konga,Konga // Hybrid (new+repeat loans),1953660,2400,3b736eff939fbecea4ac2f4eb5c50500,,1529,GURU
4,2021-12-09 10:44:15,Lime,Lime // Hybrid (new+repeat loans),5825263,500,1a062f4149f0a7360958c60785824888,,280,GURU
5,2021-12-09 10:27:45,Lime,Lime // Hybrid (new+repeat loans),4436380,3000,01ac852ac0b9dae04c2ef97b5698bdb3,,3614,GURU
6,2021-12-09 10:23:33,Lime,Lime // Hybrid (new+repeat loans),5734985,4500,427de20450e991b058f3abf5cba000fe,,1529,GURU
7,2021-12-09 10:15:51,Konga,Konga // Hybrid (new+repeat loans),1855508,2400,489668c479fd17e7a7364c9fbaa53857,,4887,GURU
8,2021-12-09 09:36:30,Lime,Lime // Hybrid (new+repeat loans),5848201,3000,eb06b43472cbd3c1b2a7573705e674f3,,9063,GURU
9,2021-12-09 09:35:40,Lime,Lime // Hybrid (new+repeat loans),5848165,3000,c0c5f4bf2993205a90bc4b7d15f1d2a2,,3614,GURU
10,2021-12-09 09:30:56,Lime,Lime // Hybrid (new+repeat loans),2262890,3000,b17217126c1d496109fa66d92fa9306a,,2250,GURU
11,2021-12-09 09:23:00,Lime,Lime // Hybrid (new+repeat loans),5386291,500,a51050f9a78995ea5f206ac10a2282c1,,2024,GURU
12,2021-12-09 09:15:58,Lime,Lime // Hybrid (new+repeat loans),3005090,500,47c1681bfe7d77001739531522167b4c,,16,GURU
13,2021-12-09 08:51:55,Lime,Lime // Hybrid (new+repeat loans),5701780,500,f6990d792d3047ee91f966dfc08e58c2,,2149,GURU
14,2021-12-09 07:40:30,Konga,Konga // Hybrid (new+repeat loans),1953302,2400,0012bff6235e4f72b8ee9b6db7fdddae,,1529,GURU
15,2021-12-09 07:35:23,Lime,Lime // Hybrid (new+repeat loans),5622618,3000,c2907735dfeb351769af20db91286fe7,,2149,GURU
16,2021-12-09 07:32:40,Lime,Lime // Hybrid (new+repeat loans),5809811,500,e6163fb589b8c2559fe472f33ca68678,,9063,GURU
17,2021-12-09 07:06:09,Lime,Lime // Hybrid (new+repeat loans),5498826,3000,12b783fa475f1a6d04557a62860c91aa,,1430,GURU
18,2021-12-09 06:54:06,Lime,Lime // Hybrid (new+repeat loans),2980065,3000,28cfdbe3c4445b140f4f8733ba08e98f,,1529,GURU
19,2021-12-09 06:45:57,Lime,Lime // Hybrid (new+repeat loans),5723599,500,3b408b0c7ae0d2edd540291c61e7b50c,,16,GURU
20,2021-12-09 03:28:25,Lime,Lime // Hybrid (new+repeat loans),3973743,500,93f199e7106dd160c13ce978e98fff68,,1430,GURU
21,2021-12-09 01:59:36,Lime,Lime // Hybrid (new+repeat loans),5802615,4500,f295e3e3671ba0c0ea0223123309f273,,2250,GURU
22,2021-12-09 01:40:48,Konga,Konga // Hybrid (new+repeat loans),1832889,300,f3ae34d0ab132df9173e9234c0ee6d45,,1529,GURU
23,2021-12-09 00:59:47,Lime,Lime // Hybrid (new+repeat loans),5681942,500,ffd94fad9b7abf0c1f398be68909ec61,,1501,GURU
24,2021-12-09 00:11:49,Lime,Lime // Hybrid (new+repeat loans),5847333,3000,718b776821868d6ce33c67db0228f563,,9063,GURU
25,2021-12-08 23:17:45,Lime,Lime // Hybrid (new+repeat loans),4888871,3000,79e44b1b1f688fe30f51a08d87ebb85e,,2764,GURU
26,2021-12-08 22:31:55,Lime,Lime // Hybrid (new+repeat loans),5106828,3000,2704cbf87924d92f71e232aec8e2e890,,2149,GURU
27,2021-12-08 22:28:32,Lime,Lime // Hybrid (new+repeat loans),5152019,3000,6bf8027fd396c42143de5436c6e8f429,,2149,GURU
28,2021-12-08 21:42:02,Lime,Lime // Hybrid (new+repeat loans),5760025,500,e1df139323606168f2c4f4a06a50c184,,3091,GURU
29,2021-12-08 21:32:36,Lime,Lime // Hybrid (new+repeat loans),5768508,3000,304cfd6fe29236f3ede8b16c35664a45,,9063,GURU
30,2021-12-08 21:30:21,Lime,Lime // Hybrid (new+repeat loans),5847032,1800,42377a8dd404d68144c8692da1b505b8,,2764,GURU
31,2021-12-08 21:19:59,Lime,Lime // Hybrid (new+repeat loans),5846994,4500,f66e09d6994770eea33c60a6e5d82d47,,16,GURU
32,2021-12-08 19:28:57,Lime,Lime // Hybrid (new+repeat loans),5846610,4500,e3e1ac7e2fc70f98c1368226ace0be22,,3614,GURU
33,2021-12-08 19:23:37,Lime,Lime // Hybrid (new+repeat loans),5464643,500,f0bb3f19adb7542b465b200bbbe87a6c,,2149,GURU
34,2021-12-08 19:16:53,Lime,Lime // Hybrid (new+repeat loans),5780011,500,847929aaa60819e5a1cfa3dc6d9a63a3,,280,GURU
35,2021-12-08 19:09:13,Lime,Lime // Hybrid (new+repeat loans),5673351,500,b330887e901bf557f0dabeec2ba1eb96,,3614,GURU
36,2021-12-08 18:20:55,Lime,Lime // Hybrid (new+repeat loans),5846343,3000,d0ab98956f65dc3d212edd86cd11f5d5,,2149,GURU
