,ts,project,offer_title,goal_id,payouts,sub1,sub2,sub3,affiliate
0,2021-12-31 21:50:21,Lime,Lime // Hybrid (new+repeat loans),3470339,3000,ec5ebb,,,KIPNET
1,2021-12-31 20:37:39,Lime,Lime // Hybrid (new+repeat loans),5761739,3000,of0ebb,,,KIPNET
2,2021-12-31 15:44:45,Lime,Lime // Hybrid (new+repeat loans),5864010,4500,277ebb,,,KIPNET
3,2021-12-31 13:11:13,Lime,Lime // Hybrid (new+repeat loans),5868345,3000,uc6ebb,,,KIPNET
4,2021-12-31 12:55:02,Lime,Lime // Hybrid (new+repeat loans),5690161,500,uN7ebb,,,KIPNET
5,2021-12-31 12:03:30,Lime,Lime // Hybrid (new+repeat loans),5855190,3000,I1Hebb,,,KIPNET
6,2021-12-31 11:50:34,Lime,Lime // Hybrid (new+repeat loans),5839724,3000,m4Debb,,,KIPNET
7,2021-12-31 11:47:53,Lime,Lime // Hybrid (new+repeat loans),5729169,3000,qjWebb,,,KIPNET
8,2021-12-31 10:54:27,Lime,Lime // Hybrid (new+repeat loans),5689911,3000,H40ebb,,,KIPNET
9,2021-12-31 10:40:49,Lime,Lime // Hybrid (new+repeat loans),5480494,3000,d16ebb,,,KIPNET
10,2021-12-31 10:14:15,Lime,Lime // Hybrid (new+repeat loans),5526127,3000,BHSebb,,,KIPNET
11,2021-12-31 09:27:04,Konga,Konga // Hybrid (new+repeat loans),1885035,300,UkV9ab,,,KIPNET
12,2021-12-31 09:19:57,Lime,Lime // Hybrid (new+repeat loans),2903292,3000,YIEebb,,,KIPNET
13,2021-12-31 09:01:38,Lime,Lime // Hybrid (new+repeat loans),5936941,4500,AKXebb,,,KIPNET
14,2021-12-31 08:41:16,Lime,Lime // Hybrid (new+repeat loans),5911563,500,DhPdbb,,,KIPNET
15,2021-12-31 05:57:33,Lime,Lime // Hybrid (new+repeat loans),5472841,3000,yIZebb,,,KIPNET
16,2021-12-31 05:02:45,Lime,Lime // Hybrid (new+repeat loans),5162503,500,fR7Xab,,,KIPNET
17,2021-12-30 23:15:34,Lime,Lime // Hybrid (new+repeat loans),5824631,500,bXVebb,,,KIPNET
18,2021-12-30 22:24:17,Lime,Lime // Hybrid (new+repeat loans),5906183,4500,i1Sdbb,,,KIPNET
19,2021-12-30 19:22:06,Lime,Lime // Hybrid (new+repeat loans),5868137,3000,JFMebb,,,KIPNET
20,2021-12-30 16:13:40,Lime,Lime // Hybrid (new+repeat loans),5882315,500,LKNdbb,,,KIPNET
21,2021-12-30 13:55:33,Lime,Lime // Hybrid (new+repeat loans),5508769,500,4zLebb,,,KIPNET
22,2021-12-30 13:54:41,Lime,Lime // Hybrid (new+repeat loans),5933905,3000,S7Yebb,,,KIPNET
23,2021-12-30 11:00:36,Lime,Lime // Hybrid (new+repeat loans),3484428,4500,zTOdbb,,,KIPNET
24,2021-12-29 22:26:49,Lime,Lime // Hybrid (new+repeat loans),5788149,500,szsSab,,,KIPNET
25,2021-12-29 17:01:07,Lime,Lime // Hybrid (new+repeat loans),5664735,500,tcRdbb,,,KIPNET
26,2021-12-29 15:35:03,Lime,Lime // Hybrid (new+repeat loans),5929793,4500,FbGfbb,,,KIPNET
27,2021-12-29 13:08:54,Lime,Lime // Hybrid (new+repeat loans),3616862,3000,Acoebb,,,KIPNET
28,2021-12-29 07:11:31,Lime,Lime // Hybrid (new+repeat loans),5916059,3000,LBTdbb,,,KIPNET
29,2021-12-29 06:57:13,Lime,Lime // Hybrid (new+repeat loans),5520732,500,5NKdbb,,,KIPNET
30,2021-12-29 00:51:26,Lime,Lime // Hybrid (new+repeat loans),5672356,500,l2Ndbb,,,KIPNET
31,2021-12-29 00:34:48,Lime,Lime // Hybrid (new+repeat loans),5521840,500,Z6sbbb,,,KIPNET
32,2021-12-29 00:11:31,Lime,Lime // Hybrid (new+repeat loans),4467571,500,AELdbb,,,KIPNET
33,2021-12-28 21:20:19,Konga,Konga // Hybrid (new+repeat loans),1896816,300,O7Rabb,,,KIPNET
34,2021-12-28 19:57:29,Lime,Lime // Hybrid (new+repeat loans),5766346,4500,ywB5ab,,,KIPNET
35,2021-12-28 19:23:14,Lime,Lime // Hybrid (new+repeat loans),3851045,3000,6eGfbb,,,KIPNET
36,2021-12-28 18:07:09,Konga,Konga // Hybrid (new+repeat loans),1984327,2400,4glfbb,,,KIPNET
37,2021-12-28 18:02:36,Lime,Lime // Hybrid (new+repeat loans),5581502,4500,0wNdbb,,,KIPNET
38,2021-12-28 17:41:18,Lime,Lime // Hybrid (new+repeat loans),5480350,4500,2Ccfbb,,,KIPNET
39,2021-12-28 15:59:00,Lime,Lime // Hybrid (new+repeat loans),5752643,4500,rjTdbb,,,KIPNET
40,2021-12-28 13:07:53,Lime,Lime // Hybrid (new+repeat loans),5902566,500,9VJdbb,,,KIPNET
41,2021-12-28 12:12:54,Lime,Lime // Hybrid (new+repeat loans),4128558,500,otHWab,,,KIPNET
42,2021-12-28 10:38:24,Lime,Lime // Hybrid (new+repeat loans),5545323,3000,WGQdbb,,,KIPNET
43,2021-12-28 10:05:11,Lime,Lime // Hybrid (new+repeat loans),5915719,3000,kBLdbb,,,KIPNET
44,2021-12-28 09:45:21,Lime,Lime // Hybrid (new+repeat loans),5790420,3000,OJNdbb,,,KIPNET
45,2021-12-28 09:03:11,Lime,Lime // Hybrid (new+repeat loans),5730048,500,62Qdbb,,,KIPNET
46,2021-12-28 06:42:25,Konga,Konga // Hybrid (new+repeat loans),1963266,2400,gQbebb,,,KIPNET
47,2021-12-28 06:41:38,Konga,Konga // Hybrid (new+repeat loans),1885035,2400,UkV9ab,,,KIPNET
48,2021-12-28 06:16:59,Lime,Lime // Hybrid (new+repeat loans),4228598,4500,AFKdbb,,,KIPNET
49,2021-12-28 02:30:04,Lime,Lime // Hybrid (new+repeat loans),5814232,500,dlPdbb,,,KIPNET
50,2021-12-28 01:46:37,Lime,Lime // Hybrid (new+repeat loans),5112536,500,W31Vab,,,KIPNET
