,ts,project,offer_title,goal_id,payouts,sub1,sub2,sub3,affiliate
0,2021-12-09 12:46:15,Lime,Lime // Hybrid (new+repeat loans),5848912,4500,dm223acdop2,,,KOSMOS
1,2021-12-09 12:38:16,Lime,Lime // Hybrid (new+repeat loans),5848831,3000,21pfpbicdnob,,,KOSMOS
2,2021-12-09 11:24:25,Lime,Lime // Hybrid (new+repeat loans),5848570,4500,lv4n9pcdlm1,,,KOSMOS
3,2021-12-09 11:19:33,Lime,Lime // Hybrid (new+repeat loans),5357868,1800,1ris03jcdlo9,,,KOSMOS
4,2021-12-09 10:57:05,Lime,Lime // Hybrid (new+repeat loans),5464239,500,1m2aeqkc6ag4,,,KOSMOS
5,2021-12-09 10:52:18,Lime,Lime // Hybrid (new+repeat loans),5848407,4500,15mt8iscdjcn,,,KOSMOS
6,2021-12-09 10:42:56,Lime,Lime // Hybrid (new+repeat loans),5848405,3000,3davftfcdjcj,,,KOSMOS
7,2021-12-09 10:20:06,Lime,Lime // Hybrid (new+repeat loans),5848274,1800,s5apfacd8nh,,,KOSMOS
8,2021-12-09 09:56:13,Lime,Lime // Hybrid (new+repeat loans),5848227,4500,31bs714ccvpt,,,KOSMOS
9,2021-12-09 09:47:11,Lime,Lime // Hybrid (new+repeat loans),5848242,1800,2mbjdu1cd2kc,,,KOSMOS
10,2021-12-09 08:23:42,Lime,Lime // Hybrid (new+repeat loans),5192426,500,ejc512brufn,,,KOSMOS
11,2021-12-09 08:21:31,Lime,Lime // Hybrid (new+repeat loans),5841790,3000,2q0s0elc6bm6,,,KOSMOS
12,2021-12-09 01:14:32,Lime,Lime // Hybrid (new+repeat loans),5847172,3000,3iu07n5cblpc,,,KOSMOS
13,2021-12-08 22:51:51,Lime,Lime // Hybrid (new+repeat loans),5712055,500,2o4640abfr74,,,KOSMOS
14,2021-12-08 20:23:30,Lime,Lime // Hybrid (new+repeat loans),5846705,4500,13p3cmhcbetm,,,KOSMOS
15,2021-12-08 20:21:39,Lime,Lime // Hybrid (new+repeat loans),5480797,3000,3t9s296cbght,,,KOSMOS
16,2021-12-08 20:17:35,Lime,Lime // Hybrid (new+repeat loans),5590154,500,1frjf3oalrlp,,,KOSMOS
17,2021-12-08 19:22:02,Lime,Lime // Hybrid (new+repeat loans),5323727,4500,3cp6f4bcbciq,,,KOSMOS
18,2021-12-08 18:41:40,Lime,Lime // Hybrid (new+repeat loans),5846433,4500,32tnb9tcao5h,,,KOSMOS
19,2021-12-08 18:41:04,Lime,Lime // Hybrid (new+repeat loans),5846413,4500,1ob3vsucamjm,,,KOSMOS
20,2021-12-08 18:06:23,Lime,Lime // Hybrid (new+repeat loans),5676428,3000,199fjnaca870,,,KOSMOS
21,2021-12-08 17:28:38,Lime,Lime // Hybrid (new+repeat loans),5828928,3000,151alrnca97a,,,KOSMOS
22,2021-12-08 17:04:20,Lime,Lime // Hybrid (new+repeat loans),5846024,1800,3khant9ca8kf,,,KOSMOS
23,2021-12-08 17:02:25,Lime,Lime // Hybrid (new+repeat loans),5845981,3000,48s7fdca872,,,KOSMOS
24,2021-12-08 16:47:15,Lime,Lime // Hybrid (new+repeat loans),5665754,500,3rd8scbc08bu,,,KOSMOS
25,2021-12-08 16:25:53,Lime,Lime // Hybrid (new+repeat loans),5686940,3000,1b6dmh3blcbi,,,KOSMOS
26,2021-12-08 16:04:19,Lime,Lime // Hybrid (new+repeat loans),5845602,3000,1hvhl55ca48f,,,KOSMOS
27,2021-12-08 16:00:15,Lime,Lime // Hybrid (new+repeat loans),5845725,4500,2b8kh67ca5nq,,,KOSMOS
28,2021-12-08 15:41:30,Lime,Lime // Hybrid (new+repeat loans),5837687,1800,1qmmmuca4lm,,,KOSMOS
29,2021-12-08 15:27:22,Lime,Lime // Hybrid (new+repeat loans),5845548,3000,2mqqhd6ca3p3,,,KOSMOS
30,2021-12-08 15:24:43,Lime,Lime // Hybrid (new+repeat loans),5845486,4500,3ssd0imca3qb,,,KOSMOS
31,2021-12-08 15:15:47,Lime,Lime // Hybrid (new+repeat loans),5722929,3000,35idvdiaau8i,,,KOSMOS
32,2021-12-08 15:06:38,Lime,Lime // Hybrid (new+repeat loans),5811109,500,2filbkqbnutp,,,KOSMOS
33,2021-12-08 14:51:48,Lime,Lime // Hybrid (new+repeat loans),5839584,3000,18h95dvc5meh,,,KOSMOS
34,2021-12-08 14:44:11,Lime,Lime // Hybrid (new+repeat loans),5174855,3000,2gpo0chc9sbg,,,KOSMOS
35,2021-12-08 14:43:31,Lime,Lime // Hybrid (new+repeat loans),5845203,4500,13rbd84c9rjd,,,KOSMOS
36,2021-12-08 13:41:34,Lime,Lime // Hybrid (new+repeat loans),5802504,500,la7pm6bkr8m,,,KOSMOS
37,2021-12-08 13:15:47,Lime,Lime // Hybrid (new+repeat loans),5333396,3000,3f0gjqjc9ot3,,,KOSMOS
38,2021-12-08 13:03:14,Lime,Lime // Hybrid (new+repeat loans),3487101,3000,16f948tc9gov,,,KOSMOS
39,2021-12-08 12:43:13,Lime,Lime // Hybrid (new+repeat loans),5570373,500,3qj574gc7acr,,,KOSMOS
40,2021-12-08 12:36:10,Lime,Lime // Hybrid (new+repeat loans),5843934,4500,nnkcjtc9d7o,,,KOSMOS
41,2021-12-08 12:28:32,Lime,Lime // Hybrid (new+repeat loans),5844688,3000,3sis52jc9n2n,,,KOSMOS
42,2021-12-08 12:25:14,Lime,Lime // Hybrid (new+repeat loans),5844099,4500,v8uakbc9fvf,,,KOSMOS
43,2021-12-08 12:13:39,Lime,Lime // Hybrid (new+repeat loans),5161844,3000,18cfitvc9mpp,,,KOSMOS
44,2021-12-08 11:41:46,Lime,Lime // Hybrid (new+repeat loans),4825592,3000,mqgp4mc9kng,,,KOSMOS
45,2021-12-08 11:36:58,Lime,Lime // Hybrid (new+repeat loans),5483303,500,1c92v8ibjbrs,,,KOSMOS
46,2021-12-08 11:31:11,Lime,Lime // Hybrid (new+repeat loans),5844381,3000,3oiorcuc9jrc,,,KOSMOS
47,2021-12-08 11:18:10,Lime,Lime // Hybrid (new+repeat loans),5842311,4500,3pt06knc6emh,,,KOSMOS
48,2021-12-08 11:04:50,Lime,Lime // Hybrid (new+repeat loans),5275360,1800,9d1rgbc9j2v,,,KOSMOS
49,2021-12-08 10:57:25,Lime,Lime // Hybrid (new+repeat loans),5666345,1800,uifjlcc9isu,,,KOSMOS
