,ts,project,offer_title,goal_id,payouts,sub1,sub2,sub3,affiliate
0,2021-12-09 12:19:45,Konga,Konga // Hybrid (new+repeat loans),1953705,2400,1b09acae-f9b1-4634-bb08-4e4ada6bb2f3,,bf59dbdc-dee9-4c0f-be71-a91aad1beabf,LEADCRAFT
1,2021-12-09 10:47:08,Lime,Lime // Hybrid (new+repeat loans),5717303,500,6a7b1b60-87f3-41c8-a16a-54a817ab4b55,,b3932e3a-e899-43f8-a3fd-4e3f94ad1b60,LEADCRAFT
2,2021-12-09 08:46:36,Lime,Lime // Hybrid (new+repeat loans),5817902,500,dc1489df-a957-4cc3-8921-4ee34373cf8d,,c050f7df-de6b-4f71-8dee-d7880904310e,LEADCRAFT
3,2021-12-09 08:15:58,Lime,Lime // Hybrid (new+repeat loans),5512026,500,582c9766-96e6-4fa1-816f-faeb85474b3a,,82793b98-ccc8-4121-ac9b-7637bb112ccc,LEADCRAFT
4,2021-12-09 03:47:18,Konga,Konga // Hybrid (new+repeat loans),1919908,300,1243a5f3-894f-459e-a862-efe9af3a8829,,02ba28ba-4f65-4e27-9f60-f063a18da0d1,LEADCRAFT
5,2021-12-09 00:46:33,Lime,Lime // Hybrid (new+repeat loans),5515199,500,0c8b80b1-6bed-40f0-a65a-95d5da63b543,,c050f7df-de6b-4f71-8dee-d7880904310e,LEADCRAFT
6,2021-12-08 20:48:11,Konga,Konga // Hybrid (new+repeat loans),1952929,2400,b21d1ba9-d4c9-4ec2-a68b-208fecc9a9f0,,02ba28ba-4f65-4e27-9f60-f063a18da0d1,LEADCRAFT
7,2021-12-08 20:34:33,Lime,Lime // Hybrid (new+repeat loans),5773011,1800,54623d47-7283-4e80-9edb-39fb73e87e19,,ccdf701f-d562-4213-b079-137e8ef36e7c,LEADCRAFT
8,2021-12-08 19:26:37,Konga,Konga // Hybrid (new+repeat loans),1952743,2400,4e4d41cc-5f0b-41bd-a784-a451365f0fd7,,02ba28ba-4f65-4e27-9f60-f063a18da0d1,LEADCRAFT
9,2021-12-08 19:17:26,Konga,Konga // Hybrid (new+repeat loans),1952784,2400,311e3f0a-d7e7-465f-a00b-0218f9fc7288,,001f9461-8bed-4e55-9fc9-f37c655dd2d9,LEADCRAFT
10,2021-12-08 17:00:02,Konga,Konga // Hybrid (new+repeat loans),1940800,2400,a8458b7c-fd52-4f68-87bf-9f27a11d68e4,,99367c88-076d-407d-8752-ebfddf227ec2,LEADCRAFT
11,2021-12-08 15:20:13,Lime,Lime // Hybrid (new+repeat loans),4456834,500,62a53938-1bf4-4962-a272-639f63fe2ed0,,13b594cf-e351-441e-adfb-1e49a1fd70ac,LEADCRAFT
12,2021-12-08 13:41:18,Konga,Konga // Hybrid (new+repeat loans),1952175,2400,6e04a8e9-791b-40a3-a7c6-1bdcc02a2c8d,,fa498b4c-240e-4bda-b4c4-021e55cac0b8,LEADCRAFT
13,2021-12-08 13:29:36,Konga,Konga // Hybrid (new+repeat loans),1821597,300,63d0a401-65d3-41de-af8d-c97d5effac28,,7109b0b2-c8a0-428e-b495-0716aa11fdaf,LEADCRAFT
14,2021-12-08 11:06:46,Konga,Konga // Hybrid (new+repeat loans),1880484,300,dff73b16-2a7f-4337-8181-652f25eeb378,,001f9461-8bed-4e55-9fc9-f37c655dd2d9,LEADCRAFT
15,2021-12-08 10:34:06,Konga,Konga // Hybrid (new+repeat loans),1745020,2400,0232e82e-a328-475b-9e83-44c1c51f8741,,001f9461-8bed-4e55-9fc9-f37c655dd2d9,LEADCRAFT
16,2021-12-08 10:33:04,Lime,Lime // Hybrid (new+repeat loans),5461606,1800,ea7e2915-d257-456e-843b-f0e7898362e2,,13b594cf-e351-441e-adfb-1e49a1fd70ac,LEADCRAFT
17,2021-12-08 10:21:25,Konga,Konga // Hybrid (new+repeat loans),1906698,300,dbe4e7cd-6608-4d8f-88d1-11beeefebf0a,,02ba28ba-4f65-4e27-9f60-f063a18da0d1,LEADCRAFT
18,2021-12-08 10:20:08,Lime,Lime // Hybrid (new+repeat loans),3063574,500,18615d0e-f14a-49ca-9022-340a3499bd55,,fb4e4548-f279-4178-b87a-29e6b07c084a,LEADCRAFT
19,2021-12-08 09:36:08,Konga,Konga // Hybrid (new+repeat loans),1912245,2400,650f4632-7c1c-46d9-8ef4-deff938a8737,,fa498b4c-240e-4bda-b4c4-021e55cac0b8,LEADCRAFT
20,2021-12-08 09:26:17,Konga,Konga // Hybrid (new+repeat loans),1951705,2400,48c7a39a-b4aa-4710-b5c0-b6e80051dc15,,94ea5d5d-8cba-4aa6-9d46-7703ab5d1e87,LEADCRAFT
21,2021-12-08 08:25:19,Konga,Konga // Hybrid (new+repeat loans),1723853,300,9eed0cc1-6632-427d-b0f2-68dfc8c8711e,,fa498b4c-240e-4bda-b4c4-021e55cac0b8,LEADCRAFT
22,2021-12-08 07:55:13,Konga,Konga // Hybrid (new+repeat loans),1918309,300,92bf439f-7a03-4a34-ade0-7e881a66c97b,,02ba28ba-4f65-4e27-9f60-f063a18da0d1,LEADCRAFT
23,2021-12-07 23:04:25,Konga,Konga // Hybrid (new+repeat loans),1951315,2400,1d23b279-eb8a-4286-b4a9-1ef038e39ffd,,001f9461-8bed-4e55-9fc9-f37c655dd2d9,LEADCRAFT
24,2021-12-07 21:07:37,Konga,Konga // Hybrid (new+repeat loans),1901690,300,a2defe4a-ca68-4474-9618-cede74754102,,7bf0a509-de6f-4019-a550-6e92c991773c,LEADCRAFT
25,2021-12-07 19:18:35,Lime,Lime // Hybrid (new+repeat loans),5542144,3000,7ea92eed-fc8b-4571-85ca-422d681a44cc,,15c496f5-bcdd-4fe3-8ccb-fc972059ad34,LEADCRAFT
26,2021-12-07 18:24:57,Konga,Konga // Hybrid (new+repeat loans),1939247,2400,0aa2081c-0d78-4ffa-bf95-36ba8b030e1d,,02ba28ba-4f65-4e27-9f60-f063a18da0d1,LEADCRAFT
27,2021-12-07 15:59:34,Lime,Lime // Hybrid (new+repeat loans),5818865,3000,ed13f3f1-b3d2-4e5b-99d3-3cf79496d419,,c050f7df-de6b-4f71-8dee-d7880904310e,LEADCRAFT
28,2021-12-07 11:47:37,Konga,Konga // Hybrid (new+repeat loans),1827039,2400,d43afef2-0906-49b9-b393-761c7b831a7c,,001f9461-8bed-4e55-9fc9-f37c655dd2d9,LEADCRAFT
29,2021-12-07 06:57:33,Konga,Konga // Hybrid (new+repeat loans),1949218,2400,f116257d-110e-484c-b514-f66218da0b78,,fa498b4c-240e-4bda-b4c4-021e55cac0b8,LEADCRAFT
30,2021-12-07 05:40:57,Konga,Konga // Hybrid (new+repeat loans),1919389,300,58cd5b70-1d41-4b07-be77-1d46b45d99f5,,02ba28ba-4f65-4e27-9f60-f063a18da0d1,LEADCRAFT
31,2021-12-07 00:07:28,Konga,Konga // Hybrid (new+repeat loans),1448992,300,47e2cb00-64d7-43b7-b765-00046434fa93,,001f9461-8bed-4e55-9fc9-f37c655dd2d9,LEADCRAFT
32,2021-12-06 23:48:46,Lime,Lime // Hybrid (new+repeat loans),5837998,4500,8536754f-a558-4475-915a-200c43356a7b,,dab2c280-e81c-11e8-b783-29d716ecf4e7,LEADCRAFT
33,2021-12-06 22:12:49,Konga,Konga // Hybrid (new+repeat loans),1853961,2400,970d6a1f-1759-4dce-a595-5e85fec4bc7d,,001f9461-8bed-4e55-9fc9-f37c655dd2d9,LEADCRAFT
34,2021-12-06 18:25:14,Konga,Konga // Hybrid (new+repeat loans),1938910,2400,44a69661-b443-4e80-8b0b-556ba384a8b4,,7bf0a509-de6f-4019-a550-6e92c991773c,LEADCRAFT
35,2021-12-06 17:30:02,Konga,Konga // Hybrid (new+repeat loans),1942378,300,5ae78f46-0985-461f-9121-aafd13a7f36c,,02ba28ba-4f65-4e27-9f60-f063a18da0d1,LEADCRAFT
36,2021-12-06 17:05:30,Konga,Konga // Hybrid (new+repeat loans),1949113,2400,c3498675-b769-4c56-a56b-640ed84c7be1,,fa498b4c-240e-4bda-b4c4-021e55cac0b8,LEADCRAFT
37,2021-12-06 15:59:30,Konga,Konga // Hybrid (new+repeat loans),1913885,300,748b23fe-8b3a-4ec8-8519-1711369c9d1d,,02ba28ba-4f65-4e27-9f60-f063a18da0d1,LEADCRAFT
38,2021-12-06 15:50:15,Lime,Lime // Hybrid (new+repeat loans),5755249,500,22e24473-2c74-4e8b-97be-f1600a5ac771,,fb4e4548-f279-4178-b87a-29e6b07c084a,LEADCRAFT
39,2021-12-06 15:25:37,Lime,Lime // Hybrid (new+repeat loans),5800345,3000,f0e973a5-2803-4c9e-af89-640dc0ee8645,,dab2c280-e81c-11e8-b783-29d716ecf4e7,LEADCRAFT
