,ts,project,offer_title,goal_id,payouts,sub1,sub2,sub3,affiliate
0,2021-12-09 12:49:42,Lime,Lime // Hybrid (new+repeat loans),5848951,3000,1028ce95899a1ee7a15afed9320c90,,19934,LEADGID
1,2021-12-09 12:45:13,Lime,Lime // Hybrid (new+repeat loans),5662126,3000,10285ab691a0da36d817df0fa05d14,,62883,LEADGID
2,2021-12-09 12:37:52,Lime,Lime // Hybrid (new+repeat loans),5848917,1800,102a5d60a1d71661a17bc763862291,,70399,LEADGID
3,2021-12-09 12:37:17,Lime,Lime // Hybrid (new+repeat loans),5672635,4500,10219728af680159891087f75bddd9,,25473,LEADGID
4,2021-12-09 12:13:44,Lime,Lime // Hybrid (new+repeat loans),5663081,500,1022a98b8b3dce49884c7099340a6c,,28789,LEADGID
5,2021-12-09 11:59:29,Konga,Konga // Hybrid (new+repeat loans),1714862,300,102fd41625d01b6eaee06fe6b066d1,,24711,LEADGID
6,2021-12-09 11:55:43,Lime,Lime // Hybrid (new+repeat loans),877959,500,102baed40effe66ced15c349e64385,,75490,LEADGID
7,2021-12-09 11:34:48,Lime,Lime // Hybrid (new+repeat loans),4981037,500,1025eb066f4b80f549d8c190837b91,,8622,LEADGID
8,2021-12-09 11:01:32,Konga,Konga // Hybrid (new+repeat loans),1644778,300,10291b89bad102bb5cbb48974bf9cf,,75490,LEADGID
9,2021-12-09 10:54:08,Lime,Lime // Hybrid (new+repeat loans),5848400,3000,102685c88ac58d4c7aadaeafbb9858,,31445,LEADGID
10,2021-12-09 10:39:15,Lime,Lime // Hybrid (new+repeat loans),5844676,500,1024d322dfa3a64d3c1789c9a99e9a,,31445,LEADGID
11,2021-12-09 10:37:56,Lime,Lime // Hybrid (new+repeat loans),5848315,4500,10271e469da2fc72abd9e3d4293d4b,,34349,LEADGID
12,2021-12-09 10:08:47,Lime,Lime // Hybrid (new+repeat loans),5295513,1800,10205d2c7875701d61c3656fc4c279,,31445,LEADGID
13,2021-12-09 10:00:59,Lime,Lime // Hybrid (new+repeat loans),5848254,4500,1021a471f2a196cb5e8e1f04e4f2e5,,53460,LEADGID
14,2021-12-09 09:57:42,Konga,Konga // Hybrid (new+repeat loans),1897497,2400,102cbeeb4406d7eca9fdb3bca154a8,,43231,LEADGID
15,2021-12-09 09:43:33,Lime,Lime // Hybrid (new+repeat loans),5848197,1800,1029164207685a53d3aa1d73b5221b,,41433,LEADGID
16,2021-12-09 09:09:48,Lime,Lime // Hybrid (new+repeat loans),5845444,1800,102f4e7b651ddceb49c1f30c85c549,,75490,LEADGID
17,2021-12-09 09:01:15,Lime,Lime // Hybrid (new+repeat loans),5848066,3000,1020ba401acd45250a57d40b14cb06,,31445,LEADGID
18,2021-12-09 08:18:29,Lime,Lime // Hybrid (new+repeat loans),5584975,500,10266f6adc43ba908da2fe1bd2e47b,,75490,LEADGID
19,2021-12-09 07:28:15,Lime,Lime // Hybrid (new+repeat loans),5847886,3000,102aa3271961c56ae46e076f70c5b2,,25473,LEADGID
20,2021-12-09 06:51:55,Lime,Lime // Hybrid (new+repeat loans),5847808,3000,102d2f489e80b66655d2c1fbd412a3,,31445,LEADGID
21,2021-12-09 06:23:49,Lime,Lime // Hybrid (new+repeat loans),5201291,500,102d5f572864d449478c45ce744f48,,31445,LEADGID
22,2021-12-09 06:20:06,Konga,Konga // Hybrid (new+repeat loans),1922612,300,10287e924e7867d28a724d11d82800,,75490,LEADGID
23,2021-12-09 04:31:46,Lime,Lime // Hybrid (new+repeat loans),5844057,3000,102aa4b9280f6d937d7e8b2ca4f963,,34349,LEADGID
24,2021-12-09 03:59:18,Lime,Lime // Hybrid (new+repeat loans),5344191,3000,102a8a4bdea98f1e9e2f2ef33658aa,,25879,LEADGID
25,2021-12-09 03:05:07,Lime,Lime // Hybrid (new+repeat loans),5626409,500,10229322b6ba1a6c62879b9ecfe60f,,19934,LEADGID
26,2021-12-09 03:02:22,Lime,Lime // Hybrid (new+repeat loans),5798387,1800,1026f537148ef96a715f61d7252dd5,,31445,LEADGID
27,2021-12-09 02:46:14,Lime,Lime // Hybrid (new+repeat loans),5448687,500,1024e549a27b475742b5c564a983c0,,34349,LEADGID
28,2021-12-09 00:53:31,Lime,Lime // Hybrid (new+repeat loans),4571143,500,10299dac926a1dbffc75ebb0ebc97b,,25473,LEADGID
29,2021-12-09 00:43:32,Konga,Konga // Hybrid (new+repeat loans),1881014,300,102ee2862d98a5f7791c5d3a91a712,,75490,LEADGID
30,2021-12-09 00:38:52,Lime,Lime // Hybrid (new+repeat loans),5847382,3000,1029b74d78d964b38fa8dba5bc0a8a,,43231,LEADGID
31,2021-12-09 00:37:49,Lime,Lime // Hybrid (new+repeat loans),5643507,500,102b5c796ac033ea62f2c9920f4eac,,19934,LEADGID
32,2021-12-08 23:31:10,Lime,Lime // Hybrid (new+repeat loans),5585780,3000,10277eac97dccec08968d1f912b053,,34349,LEADGID
33,2021-12-08 21:36:58,Lime,Lime // Hybrid (new+repeat loans),5846477,3000,1029df477badb75107b8afd4765c39,,21140,LEADGID
34,2021-12-08 21:20:37,Lime,Lime // Hybrid (new+repeat loans),4708572,500,102118f4ccf7cfb79c1fa03f9bd4d1,,75490,LEADGID
35,2021-12-08 20:59:34,Lime,Lime // Hybrid (new+repeat loans),5748413,500,102778968a03ee5e3d3715df3077f1,,34349,LEADGID
36,2021-12-08 20:56:47,Lime,Lime // Hybrid (new+repeat loans),5762781,500,1025f6d2b2548a1e56ebe5ff3cc98a,,25473,LEADGID
37,2021-12-08 20:47:36,Konga,Konga // Hybrid (new+repeat loans),1943237,2400,1020ca2bdab22431731ba1a2815b36,,64416,LEADGID
38,2021-12-08 20:08:10,Lime,Lime // Hybrid (new+repeat loans),4948993,500,1028a1535d044cba1b4d8c95c94a84,,75490,LEADGID
39,2021-12-08 19:24:25,Lime,Lime // Hybrid (new+repeat loans),4874437,500,102b8fa5e471ec55960dc1a3b25e11,,19934,LEADGID
40,2021-12-08 19:23:46,Konga,Konga // Hybrid (new+repeat loans),1535098,300,102c82570dfb7340b9b1ff7d228a23,,43547,LEADGID
41,2021-12-08 19:22:22,Lime,Lime // Hybrid (new+repeat loans),5522756,500,1029e8c9489824b0c01aa51e29f9b8,,62883,LEADGID
42,2021-12-08 19:20:14,Lime,Lime // Hybrid (new+repeat loans),5846549,4500,1029a24b9ebf2e7dba6e5bfdda9b01,,31445,LEADGID
43,2021-12-08 19:16:31,Lime,Lime // Hybrid (new+repeat loans),5846513,4500,1020e7b99f24fdab621ef66f0526fe,,29013,LEADGID
44,2021-12-08 18:51:07,Lime,Lime // Hybrid (new+repeat loans),5845056,3000,1028655470bce90a4459c573a91deb,,34349,LEADGID
45,2021-12-08 18:36:37,Lime,Lime // Hybrid (new+repeat loans),5846434,3000,10288319809590f02b947505aff063,,31447,LEADGID
46,2021-12-08 18:36:03,Konga,Konga // Hybrid (new+repeat loans),1947892,300,10244c34ba72c23077fd9e99323188,,75490,LEADGID
47,2021-12-08 18:16:48,Lime,Lime // Hybrid (new+repeat loans),5846333,3000,102eb6025f480b5363684b57221c27,,34349,LEADGID
48,2021-12-08 17:47:39,Lime,Lime // Hybrid (new+repeat loans),5846191,3000,1026ebdf8b973371a64a9716dfe049,,18504,LEADGID
49,2021-12-08 17:45:25,Lime,Lime // Hybrid (new+repeat loans),5845821,3000,10223816ed5658f0ac0d89a7c09ef6,,53460,LEADGID
50,2021-12-08 17:40:30,Lime,Lime // Hybrid (new+repeat loans),5846079,3000,10253d5247b1450bf98f0949143038,,34349,LEADGID
51,2021-12-08 17:30:38,Lime,Lime // Hybrid (new+repeat loans),5028961,500,10254b41dd27b4cae64be96837eb48,,31445,LEADGID
52,2021-12-08 17:05:23,Konga,Konga // Hybrid (new+repeat loans),1902308,300,102bd517553d93b11fe89a94295656,,61474,LEADGID
53,2021-12-08 16:58:55,Lime,Lime // Hybrid (new+repeat loans),5845951,4500,102ba07ea6ed2efaac4dc151a1286f,,25879,LEADGID
54,2021-12-08 16:44:04,Lime,Lime // Hybrid (new+repeat loans),5845772,3000,102e106f745d910fd6d728b370e6f3,,46914,LEADGID
55,2021-12-08 16:43:49,Lime,Lime // Hybrid (new+repeat loans),5813585,500,102e259b5b1837b10aa196c0e2a4ba,,41433,LEADGID
56,2021-12-08 16:40:51,Konga,Konga // Hybrid (new+repeat loans),1695064,300,102a0c3cc87a054290d1b8798384b4,,24489,LEADGID
57,2021-12-08 16:25:12,Lime,Lime // Hybrid (new+repeat loans),5845860,4500,102c47e9c5f9b2b0a3ec8133e6c3dd,,34349,LEADGID
58,2021-12-08 15:28:59,Lime,Lime // Hybrid (new+repeat loans),5845448,3000,1021c0962e557f3e138175547c07c0,,34349,LEADGID
59,2021-12-08 15:28:59,Lime,Lime // Hybrid (new+repeat loans),5845530,4500,10298947105d6a002cf75cc1b8ab64,,34349,LEADGID
60,2021-12-08 15:27:22,Lime,Lime // Hybrid (new+repeat loans),5845564,3000,1021edf86a8e3ea5c084ff11dc0e2c,,31445,LEADGID
61,2021-12-08 14:37:35,Lime,Lime // Hybrid (new+repeat loans),5803945,3000,102fd3f1fd3ea7ff4b142498e60700,,19934,LEADGID
62,2021-12-08 14:36:56,Lime,Lime // Hybrid (new+repeat loans),5845225,4500,102efe7a0e0a14c0fd441824077bb2,,18504,LEADGID
63,2021-12-08 14:23:59,Lime,Lime // Hybrid (new+repeat loans),5767665,500,102855abf3d06369ae14688c3cad7b,,25473,LEADGID
