,ts,project,offer_title,goal_id,payouts,sub1,sub2,sub3,affiliate
0,2021-12-31 23:14:12,Lime,Lime // Hybrid (new+repeat loans),5919137,4500,aa94b9dc4811432384ee9369b90c1280,,15,LEADSTECH
1,2021-12-31 21:16:54,Konga,Konga CPA,1989332,2400,,,c3e399c045f84ceca9f3de3bb87c6589,LEADSTECH
2,2021-12-31 19:37:34,Lime,Lime // Hybrid (new+repeat loans),5937054,4500,72b60b43192f4bbb9cad8447e82df4d9,,8,LEADSTECH
3,2021-12-31 19:25:54,Lime,Lime // Hybrid (new+repeat loans),5488798,3000,2240b17721c6489b9590b999e8a5fe21,,9,LEADSTECH
4,2021-12-31 19:18:50,Lime,Lime // Hybrid (new+repeat loans),5603613,500,22701fbcd5c54cd5b4e23ad6c8aeacb9,,13,LEADSTECH
5,2021-12-31 18:13:35,Konga,Konga CPA,1646676,2400,,,0fa5e1cbf8d245d18ca443a47daa494a,LEADSTECH
6,2021-12-31 17:44:26,Konga,Konga CPA,1989177,2400,,231,9d9186fe300b4f899e298833e1d8e9a9,LEADSTECH
7,2021-12-31 16:59:27,Lime,Lime // Hybrid (new+repeat loans),5444420,3000,78942ade9d73403bac66d53763293667,,110,LEADSTECH
8,2021-12-31 16:25:30,Lime,Lime // Hybrid (new+repeat loans),5310800,4500,4fb5414a63d641d492647c8709887276,,9,LEADSTECH
9,2021-12-31 15:32:25,Lime,Lime // Hybrid (new+repeat loans),5938461,3000,dcfa7b09defb4f6f94bf1a3e1f4a8e8e,,8,LEADSTECH
10,2021-12-31 15:29:22,Lime,Lime // Hybrid (new+repeat loans),5937525,3000,91fec2fbe08948818276d73f46c015f8,,8,LEADSTECH
11,2021-12-31 15:03:42,Konga,Konga CPA,1961941,2400,,231,429c1686fa9b4ede9bb0ba7b51eac331,LEADSTECH
12,2021-12-31 15:02:13,Lime,Lime // Hybrid (new+repeat loans),5908815,4500,cfad1497624245029f5a20085be6af06,,17,LEADSTECH
13,2021-12-31 14:46:25,Lime,Lime // Hybrid (new+repeat loans),5938350,3000,2be443204aa74a3a82e61c1a9c2ab061,,8,LEADSTECH
14,2021-12-31 14:37:50,Lime,Lime // Hybrid (new+repeat loans),5938315,3000,ef4f0afa1261425785f7ec94f103a696,,8,LEADSTECH
15,2021-12-31 14:31:24,Lime,Lime // Hybrid (new+repeat loans),4750216,4500,9cc6d4fb8df446ffa6410759bb65e73d,,8,LEADSTECH
16,2021-12-31 14:12:17,Lime,Lime // Hybrid (new+repeat loans),5937879,3000,945e29e4429d441abbaa456bda90be8a,,8,LEADSTECH
17,2021-12-31 14:10:54,Lime,Lime // Hybrid (new+repeat loans),5819444,500,8d07041ad6184a4ab6078c4f8edaaa23,,15,LEADSTECH
18,2021-12-31 13:54:31,Lime,Lime // Hybrid (new+repeat loans),5937345,4500,6b6855574d0c453ab1b5dbd7cd3d36cc,,15,LEADSTECH
19,2021-12-31 13:39:44,Lime,Lime // Hybrid (new+repeat loans),5938033,3000,c2535295f2344130bea1a9df770f52ca,,15,LEADSTECH
20,2021-12-31 13:27:58,Lime,Lime // Hybrid (new+repeat loans),5645454,3000,2b68724817b149dc8896f7190ee22957,,13,LEADSTECH
21,2021-12-31 13:21:31,Lime,Lime // Hybrid (new+repeat loans),5937844,1800,742ed45f63964587b195890e2a522fb1,,8,LEADSTECH
22,2021-12-31 13:06:56,Lime,Lime // Hybrid (new+repeat loans),5937870,3000,5c9e63d4a2ee4fd9a8252c935bcda1dd,,15,LEADSTECH
23,2021-12-31 12:39:40,Konga,Konga CPA,1988114,2400,,12573011,ab60e0f1b89245cabeffbafae2ab9ad7,LEADSTECH
24,2021-12-31 12:18:17,Lime,Lime // Hybrid (new+repeat loans),5803580,3000,5c92c6784eb74f8ca4334ed3ae9ab61a,,8,LEADSTECH
25,2021-12-31 12:11:01,Konga,Konga CPA,1814339,2400,,231,ad27cca0486e4e30aefa5e85cf5fa943,LEADSTECH
26,2021-12-31 12:07:02,Lime,Lime // Hybrid (new+repeat loans),5915502,3000,07650ac42bb14f7bb12e53a47eef83f0,,17,LEADSTECH
27,2021-12-31 11:52:29,Lime,Lime // Hybrid (new+repeat loans),5937616,4500,85db21013c464d9ea1072b47421be50d,,17,LEADSTECH
28,2021-12-31 11:52:02,Lime,Lime // Hybrid (new+repeat loans),5112972,4500,a69380b78c314fbdb21db0d98817ce83,,13,LEADSTECH
29,2021-12-31 11:44:11,Lime,Lime // Hybrid (new+repeat loans),1944798,3000,ed47791ea8fc4a0584c75e9d4cb21fc4,,15,LEADSTECH
30,2021-12-31 11:20:08,Lime,Lime // Hybrid (new+repeat loans),5937384,4500,15106806fcba495393283cf801fc5879,,15,LEADSTECH
31,2021-12-31 10:59:54,Lime,Lime // Hybrid (new+repeat loans),5937417,3000,cfd50ee1db554c8ea49ad5f05da9b67e,,17,LEADSTECH
32,2021-12-31 10:47:34,Konga,Konga CPA,1853488,2400,,,12735dc3ac684108ac14c65709450835,LEADSTECH
33,2021-12-31 10:10:15,Lime,Lime // Hybrid (new+repeat loans),5789767,4500,0b23620c3d5f42e28a39a6cf98500a36,,15,LEADSTECH
34,2021-12-31 10:06:46,Konga,Konga CPA,1988523,2400,,12578596,121693ebc9094aa48abd3367a97dde3b,LEADSTECH
35,2021-12-31 09:50:48,Lime,Lime // Hybrid (new+repeat loans),5515595,3000,e4e87a09d7814c0da0e727d75da97cad,,8,LEADSTECH
36,2021-12-31 09:20:14,Lime,Lime // Hybrid (new+repeat loans),1485451,500,fbc138258bc641de86704f9dcf58e136,,13,LEADSTECH
37,2021-12-31 08:34:10,Lime,Lime // Hybrid (new+repeat loans),5604332,500,ec0232a4824f44cab659bb452885f981,,13,LEADSTECH
38,2021-12-31 08:19:10,Lime,Lime // Hybrid (new+repeat loans),5170710,4500,342ceb4e9dbf4d3ca1bfee8f085bfb90,,13,LEADSTECH
39,2021-12-31 06:38:49,Konga,Konga CPA,1865821,2400,,qGmi4,5b9c148f333d4d42b213cc4b72da007b,LEADSTECH
40,2021-12-31 06:32:57,Lime,Lime // Hybrid (new+repeat loans),4193928,3000,44dde663458043fca00cf5b4b80c9ed1,,17,LEADSTECH
41,2021-12-31 04:55:00,Lime,Lime // Hybrid (new+repeat loans),3966364,4500,106835deae4c4d1285b6beb2fdf1266c,,17,LEADSTECH
42,2021-12-31 03:16:04,Lime,Lime // Hybrid (new+repeat loans),5936489,4500,4eea9e1403db47aea84892d41c5029e7,,15,LEADSTECH
43,2021-12-31 02:58:51,Konga,Konga CPA,1988324,2400,,SQwBS,2f963eef58c74140bdc8c0ff4bac643f,LEADSTECH
44,2021-12-31 02:22:04,Lime,Lime // Hybrid (new+repeat loans),5691281,4500,373ad37c51004db0bdbcedebab4bb42b,,17,LEADSTECH
45,2021-12-31 01:21:33,Lime,Lime // Hybrid (new+repeat loans),5721217,500,c78e5f3c11e94659ab7457ff19209041,,15,LEADSTECH
46,2021-12-30 23:52:47,Lime,Lime // Hybrid (new+repeat loans),5762514,3000,6080ca69753c441b811a368399823336,,15,LEADSTECH
47,2021-12-30 23:25:36,Lime,Lime // Hybrid (new+repeat loans),5364594,3000,bf02adba50064f0f98f5fbc39e5d94b3,,17,LEADSTECH
48,2021-12-30 20:52:52,Lime,Lime CPA,5411979,4500,,18,a99e485b7ad64c70a0587e7594af3074,LEADSTECH
49,2021-12-30 20:48:09,Lime,Lime // Hybrid (new+repeat loans),5935705,3000,516074081a6d441284961cb845d3e932,,13,LEADSTECH
50,2021-12-30 20:41:14,Lime,Lime // Hybrid (new+repeat loans),4885752,3000,c410344e53b4429797992ac7fead3cef,,17,LEADSTECH
51,2021-12-30 20:18:35,Lime,Lime // Hybrid (new+repeat loans),5794782,500,a104bc27031a491db1aa774a54fc2e7e,,8,LEADSTECH
52,2021-12-30 20:12:05,Lime,Lime // Hybrid (new+repeat loans),5712718,3000,8fdb9e377380464495a30f84b903c9f8,,15,LEADSTECH
53,2021-12-30 20:00:15,Lime,Lime // Hybrid (new+repeat loans),5935547,4500,ac5df35a0d0f4572bab273dbd721dd89,,8,LEADSTECH
54,2021-12-30 19:41:43,Lime,Lime // Hybrid (new+repeat loans),5103694,4500,482713cbb44c4c20b74e2e58eaabfee7,,15,LEADSTECH
55,2021-12-30 19:32:46,Lime,Lime // Hybrid (new+repeat loans),5794031,3000,8bd215cd00cd4bae8e8c09f9bfb70528,,8,LEADSTECH
56,2021-12-30 19:26:06,Lime,Lime // Hybrid (new+repeat loans),5935306,3000,f8913e865e124d2489f876bfac0b09c8,,17,LEADSTECH
57,2021-12-30 19:18:14,Lime,Lime // Hybrid (new+repeat loans),5181483,4500,6b383e691bdb47638a6e9acec24608eb,,17,LEADSTECH
58,2021-12-30 18:36:43,Lime,Lime // Hybrid (new+repeat loans),5906612,500,4ab05d8a81ba4240aed7a81b4c4861e0,,8,LEADSTECH
59,2021-12-30 18:16:29,Lime,Lime // Hybrid (new+repeat loans),5745153,500,58a3f40c886843b78b76383c360edb44,,13,LEADSTECH
60,2021-12-30 17:25:05,Lime,Lime // Hybrid (new+repeat loans),5799227,3000,831325845396447fb68cea6858465d32,,110,LEADSTECH
61,2021-12-30 17:19:54,Lime,Lime // Hybrid (new+repeat loans),5501086,3000,41ae4d4194314cc7ba2acc9e5f605982,,13,LEADSTECH
62,2021-12-30 17:17:38,Lime,Lime // Hybrid (new+repeat loans),5744186,3000,5ab622b770de460ea25db11f69fdc579,,17,LEADSTECH
63,2021-12-30 17:02:24,Lime,Lime // Hybrid (new+repeat loans),5851918,4500,950f30c5800a41ac9f920b21a28128d6,,17,LEADSTECH
64,2021-12-30 16:23:44,Lime,Lime // Hybrid (new+repeat loans),4188008,3000,78749b023f494ce7b4872dee32d70dec,,15,LEADSTECH
