,ts,project,offer_title,goal_id,payouts,sub1,sub2,sub3,affiliate
0,2021-12-09 09:08:45,Konga,Konga // Hybrid (new+repeat loans),1702739,300,dd0bf69b-b209-4346-a41f-4f490f33dcbf,,992,LEADTARGET
1,2021-12-08 18:30:01,Konga,Konga // Hybrid (new+repeat loans),1952708,2400,8146b1b3-f783-4014-aa61-274ce9b9687b,,1380,LEADTARGET
2,2021-12-08 17:44:16,Konga,Konga // Hybrid (new+repeat loans),1952642,2400,4adb4f36-4256-42ae-a993-af50c2b9acd2,,992,LEADTARGET
3,2021-12-08 17:10:54,Lime,Lime // Hybrid (new+repeat loans),5507369,500,cfe4d8fe-afa6-4386-bd4c-44b65a0230fe,,843,LEADTARGET
4,2021-12-08 16:51:36,Konga,Konga // Hybrid (new+repeat loans),1841745,2400,097994b9-182c-43c9-ac9a-6eafc6d8e9d9,,795,LEADTARGET
5,2021-12-08 15:30:57,Lime,Lime // Hybrid (new+repeat loans),5715268,3000,01d436f9-9bb3-4d7b-8871-a1232b718155,,843,LEADTARGET
6,2021-12-08 14:12:26,Konga,Konga // Hybrid (new+repeat loans),1952248,2400,bfd78a72-fa2e-48e6-a2ac-1757f6c16f9b,,795,LEADTARGET
7,2021-12-08 11:49:09,Lime,Lime // Hybrid (new+repeat loans),5696661,3000,855b74ab-e399-48ed-8548-ecf7b0dcf68e,,1396,LEADTARGET
8,2021-12-08 11:16:30,Konga,Konga // Hybrid (new+repeat loans),1951929,2400,3736d4ca-229e-40c0-b202-59f42f9df49c,,1380,LEADTARGET
9,2021-12-08 10:57:49,Lime,Lime // Hybrid (new+repeat loans),5446354,4500,60a02fe0-a80b-43b5-83ac-91f066764462,,248,LEADTARGET
10,2021-12-08 10:11:40,Lime,Lime // Hybrid (new+repeat loans),4854593,500,ef7649df-06e3-4cdd-89db-902de11e9f3e,,1379,LEADTARGET
11,2021-12-08 01:29:47,Konga,Konga // Hybrid (new+repeat loans),1951465,2400,e54cf2c3-724f-4b06-af82-3ea10395da5d,,789,LEADTARGET
12,2021-12-08 01:27:08,Konga,Konga // Hybrid (new+repeat loans),1800761,2400,3fb87b79-3e2f-457b-8c3b-6a6b06d8b214,,992,LEADTARGET
13,2021-12-07 20:20:56,Lime,Lime // Hybrid (new+repeat loans),5842246,3000,081af5fc-a9ab-407e-97c9-f629b0857f7f,,1396,LEADTARGET
14,2021-12-07 19:38:05,Konga,Konga // Hybrid (new+repeat loans),1947688,2400,57bc2d90-aa3e-4e41-98d4-2ad939989764,,795,LEADTARGET
15,2021-12-07 14:55:55,Konga,Konga // Hybrid (new+repeat loans),1950569,2400,ad1da0d2-8318-49f9-8ef3-ad478c2f3381,,1380,LEADTARGET
16,2021-12-07 12:24:53,Lime,Lime // Hybrid (new+repeat loans),5146913,500,2aa1cd0f-a01f-4cf4-a924-d3cdaf4296c6,,968,LEADTARGET
17,2021-12-07 11:44:37,Lime,Lime // Hybrid (new+repeat loans),5339803,500,1fe22d37-32a6-404a-9de1-4df13a5ed6a7,,843,LEADTARGET
18,2021-12-07 10:54:04,Konga,Konga // Hybrid (new+repeat loans),1937029,2400,1de6c19e-f2d6-4bfa-94cf-6effdc30a93c,,992,LEADTARGET
19,2021-12-07 08:15:08,Konga,Konga // Hybrid (new+repeat loans),1505566,2400,fef42549-485c-4f9f-a32f-c83619bfcc34,,1380,LEADTARGET
20,2021-12-07 07:36:50,Konga,Konga // Hybrid (new+repeat loans),1949905,2400,71d91d67-fb37-4609-88c1-18429f99f6ab,,789,LEADTARGET
21,2021-12-07 00:30:38,Lime,Lime // Hybrid (new+repeat loans),5802995,500,b1ddca10-0c86-4637-a725-0d4f98f19126,,1284,LEADTARGET
22,2021-12-07 00:26:22,Konga,Konga // Hybrid (new+repeat loans),1949358,2400,4430f00d-1842-447f-ba6c-13717ef80e0e,,1380,LEADTARGET
23,2021-12-06 19:24:01,Lime,Lime // Hybrid (new+repeat loans),5836940,4500,475f4d61-b8ef-4194-8526-1709aa642fad,,1396,LEADTARGET
24,2021-12-06 19:07:28,Lime,Lime // Hybrid (new+repeat loans),5837064,3000,e23455fd-7c7f-4164-9562-ca8e3500beaf,,244,LEADTARGET
