,ts,project,offer_title,goal_id,payouts,sub1,sub2,sub3,affiliate
0,2021-12-29 11:42:28,Lime,Lime CPA,5928654,4500,7d1c2c9d5fd6acfcbd59e0bf90417K70,,555678,MASTERTARGET
1,2021-12-29 09:42:32,Lime,Lime CPA,5924918,4500,3ae243b974b02b914725898c8d0aeecE,,usbfan,MASTERTARGET
2,2021-12-29 09:06:01,Lime,Lime CPA,5927987,4500,eb41fb4d2fe6cb39be4ec909d07S46x7,,Alex75,MASTERTARGET
3,2021-12-27 14:55:50,Konga,Konga CPA,1927573,2400,6b9bb4a20d38e699ceajySRb0VL0w7sM,,allroslove881,MASTERTARGET
4,2021-12-24 12:11:04,Lime,Lime CPA,5907429,3000,13872bb3a4f76efd155e782904ahztB0,,gogogo,MASTERTARGET
5,2021-12-21 19:23:13,Lime,Lime CPA,5895404,4500,034e8f5580f165ec0b9ab88athn7I30i,,gogogo,MASTERTARGET
6,2021-12-21 17:25:32,Lime,Lime CPA,5896549,3000,f52dbde5ec2825c80e08b8dfOrcRbAKW,,maximedia,MASTERTARGET
7,2021-12-21 12:57:26,Lime,Lime CPA,5895280,4500,b32839238ac88f59d007902ab7cKKui9,,maximedia,MASTERTARGET
8,2021-12-09 04:31:22,Lime,Lime CPA,5502338,1800,01aee2a68fe02db1dd74692786e2H9jz,,gogogo,MASTERTARGET
9,2021-12-07 05:00:49,Lime,Lime CPA,5838420,4500,a0c13cb1c30b19ffc638bemyrfLvX3hj,,CrazyWolf,MASTERTARGET
