,ts,project,offer_title,goal_id,payouts,sub1,sub2,sub3,affiliate
0,2021-12-31 17:49:28,Konga,Konga // Hybrid (new+repeat loans),1745138,2400,,23324,,PDL-PROFIT
1,2021-12-31 10:58:48,Lime,Lime // Hybrid (new+repeat loans),5937340,4500,6c94a3182af708a9561f228ef0a2e0b36548bdee,,23864,PDL-PROFIT
2,2021-12-30 21:32:08,Lime,Lime // Hybrid (new+repeat loans),5716414,3000,dc99535027f86484a267709b9cd2d695f646b643,,25634,PDL-PROFIT
3,2021-12-30 17:47:48,Lime,Lime // Hybrid (new+repeat loans),5934949,4500,14d2a9aa5433e05ac8ca3cc40fa54490c1e7fa36,,24727,PDL-PROFIT
4,2021-12-30 14:23:59,Lime,Lime // Hybrid (new+repeat loans),5934032,3000,465fcd535fd72858d73ebc465bbb9927f37ba1d1,,22279,PDL-PROFIT
5,2021-12-30 07:40:49,Lime,Lime // Hybrid (new+repeat loans),5557445,500,24fa9b5cb5d51dbce45461d383d08259fcfc5026,,22279,PDL-PROFIT
6,2021-12-30 01:37:50,Konga,Konga // Hybrid (new+repeat loans),1883217,300,,23324,,PDL-PROFIT
7,2021-12-30 00:43:42,Lime,Lime // Hybrid (new+repeat loans),4490848,500,f20a6948a5d901bb3acb5f4d730cda1a69acd2b3,,22279,PDL-PROFIT
8,2021-12-30 00:22:36,Lime,Lime // Hybrid (new+repeat loans),5847488,3000,392477dcfa9fc8c4c1e2955ab66891bfb4eefb92,,23041,PDL-PROFIT
9,2021-12-29 10:06:22,Lime,Lime // Hybrid (new+repeat loans),5928211,4500,d16cca7770cfdf5c488e0985ecd7457e7cfa16fd,,23324,PDL-PROFIT
10,2021-12-29 09:26:18,Lime,Lime // Hybrid (new+repeat loans),5631206,3000,1b98256c41c9c356071189d77022fb0fcc97a7dd,,26695,PDL-PROFIT
11,2021-12-29 01:07:06,Lime,Lime // Hybrid (new+repeat loans),5927306,4500,48ea088b6950a634b656b2a961b471f0b43cfa24,,22279,PDL-PROFIT
12,2021-12-28 22:16:29,Lime,Lime // Hybrid (new+repeat loans),5887485,4500,6eb2255964944844fd2acffc45385be956877738,,27131,PDL-PROFIT
13,2021-12-28 14:04:51,Lime,Lime // Hybrid (new+repeat loans),5924790,4500,619b12b42d82d57cd666e20cc682b890bcec3e93,,26096,PDL-PROFIT
