,ts,project,offer_title,goal_id,payouts,sub1,sub2,sub3,affiliate
0,2021-12-09 09:54:05,Lime,Lime // Hybrid (new+repeat loans),5740208,500,3ef33915-0a1d-4704-9a06-f8c011e248f0,,2629,RAFINAD
1,2021-12-09 09:44:31,Lime,Lime // Hybrid (new+repeat loans),5848006,3000,c40ada6e-f76a-4131-a16d-3f22b4455aa9,,645,RAFINAD
2,2021-12-09 02:05:56,Lime,Lime // Hybrid (new+repeat loans),5474616,3000,6fbb6fb0-994b-4241-94a2-3f651604c576,,645,RAFINAD
3,2021-12-08 19:01:37,Lime,Lime // Hybrid (new+repeat loans),5846359,3000,9df5eed3-be5f-49c9-a679-f07344956810,,779,RAFINAD
4,2021-12-08 17:55:20,Lime,Lime // Hybrid (new+repeat loans),5846267,3000,dcc0c5f9-2e89-4b01-8c3d-e47591756aab,,645,RAFINAD
5,2021-12-08 13:50:28,Lime,Lime // Hybrid (new+repeat loans),5844950,3000,d372d065-6b42-466c-92c3-44ac40244a53,,2629,RAFINAD
6,2021-12-08 09:31:55,Lime,Lime // Hybrid (new+repeat loans),5152414,500,3c0a978c-dde3-4c93-a3dc-76918478140d,,1096,RAFINAD
7,2021-12-08 09:27:29,Konga,Konga // Hybrid (new+repeat loans),1951750,2400,94a9cf90-8450-4750-94dd-412a183a35fe,,1143,RAFINAD
8,2021-12-08 09:20:01,Lime,Lime // Hybrid (new+repeat loans),5547035,4500,62b6f89f-6f66-4d6f-9032-1a1b99eeb5e1,,2629,RAFINAD
9,2021-12-08 00:35:00,Lime,Lime // Hybrid (new+repeat loans),5838232,1800,360bd10c-21e1-4f67-a72e-6d11f619e5f6,,12,RAFINAD
10,2021-12-07 20:00:56,Lime,Lime // Hybrid (new+repeat loans),5183753,3000,082f2810-aa80-48e1-8556-6acf71447b14,,816,RAFINAD
11,2021-12-07 14:27:38,Lime,Lime // Hybrid (new+repeat loans),5840563,3000,25081383-0c1e-40de-a0b0-27b73179c9e3,,2629,RAFINAD
12,2021-12-07 12:19:29,Lime,Lime // Hybrid (new+repeat loans),5839811,4500,26876a28-fb28-4c7c-833d-a1f62c757ec8,,645,RAFINAD
13,2021-12-07 11:50:27,Lime,Lime // Hybrid (new+repeat loans),5839746,4500,24a0d73f-78ec-4d52-b0ff-655c2451b6b1,,645,RAFINAD
14,2021-12-07 11:50:23,Lime,Lime // Hybrid (new+repeat loans),5839341,4500,6f8f5961-4b0b-48b0-9ca0-2526da408769,,1392,RAFINAD
15,2021-12-07 10:40:46,Lime,Lime // Hybrid (new+repeat loans),5838685,3000,181195c7-a250-407f-85c7-464840ebbc4d,,816,RAFINAD
16,2021-12-07 07:16:49,Lime,Lime // Hybrid (new+repeat loans),3717714,3000,02cbc2c7-e5e2-47c7-aeb0-44230a6ca867,,645,RAFINAD
17,2021-12-06 20:01:10,Lime,Lime // Hybrid (new+repeat loans),3059954,4500,ec2d72aa-ff83-4038-9b9a-6b723417e146,,645,RAFINAD
18,2021-12-06 18:51:32,Lime,Lime // Hybrid (new+repeat loans),5836985,3000,325b651c-95e9-4f2d-81d5-ac206e26a4ba,,645,RAFINAD
19,2021-12-06 13:22:55,Lime,Lime // Hybrid (new+repeat loans),3280083,3000,70bc1d22-8fa1-42b5-93bf-90567692f7b9,,645,RAFINAD
20,2021-12-06 11:59:13,Lime,Lime // Hybrid (new+repeat loans),5834714,4500,dda4cd26-d7bc-4310-807c-e7125533d3e8,,645,RAFINAD
21,2021-12-06 11:53:13,Lime,Lime // Hybrid (new+repeat loans),5834697,4500,f85be6c7-9dd2-4328-8e80-6fa36ce2c846,,2629,RAFINAD
22,2021-12-06 10:29:51,Lime,Lime // Hybrid (new+repeat loans),5333438,3000,748bf2d4-b70f-460a-9558-1e9f0a24da85,,645,RAFINAD
23,2021-12-06 08:47:40,Lime,Lime // Hybrid (new+repeat loans),5641737,500,b5c5278f-5a6f-41a9-9baa-00f934a8c0fb,,2629,RAFINAD
24,2021-12-06 03:00:08,Lime,Lime // Hybrid (new+repeat loans),5795354,3000,15ad8efa-91a9-49df-8d17-4fdc20e5df45,,12,RAFINAD
25,2021-12-05 20:32:54,Lime,Lime // Hybrid (new+repeat loans),5832273,4500,c09fd269-283d-412a-b2e0-dcfb32a727d7,,2408,RAFINAD
26,2021-12-05 18:00:32,Lime,Lime // Hybrid (new+repeat loans),5140725,500,09d299bb-9fc4-4982-8575-53721e197f5a,,645,RAFINAD
27,2021-12-05 13:32:41,Lime,Lime // Hybrid (new+repeat loans),5421327,3000,ffe59125-cc26-414e-8081-eadaa64306af,,645,RAFINAD
28,2021-12-05 11:24:08,Lime,Lime // Hybrid (new+repeat loans),5829950,4500,dd8c789f-4209-4b65-a896-e0bcb633b2e9,,2629,RAFINAD
29,2021-12-05 10:52:35,Lime,Lime // Hybrid (new+repeat loans),5528152,4500,bff7d0f0-b68d-43b5-b8d0-61c07e935461,,2629,RAFINAD
30,2021-12-05 10:48:59,Lime,Lime // Hybrid (new+repeat loans),5829768,4500,fdc8da0e-6430-43fb-83c1-540ab9bd78c3,,2527,RAFINAD
31,2021-12-05 06:48:08,Lime,Lime // Hybrid (new+repeat loans),5786096,3000,22e50b21-f9ad-441b-895d-88c180f3db2a,,816,RAFINAD
32,2021-12-05 00:29:48,Lime,Lime // Hybrid (new+repeat loans),5199447,4500,ed850523-6ef2-49ba-a105-8c1d1ce23e43,,645,RAFINAD
33,2021-12-04 16:06:37,Lime,Lime // Hybrid (new+repeat loans),5826984,4500,b0303971-3f0f-4fe7-824c-7a35d854f22c,,645,RAFINAD
34,2021-12-04 12:44:26,Lime,Lime // Hybrid (new+repeat loans),4978673,4500,5177120e-42e8-4c5f-acfa-d2a99f3d345a,,12,RAFINAD
35,2021-12-04 10:03:24,Lime,Lime // Hybrid (new+repeat loans),5825169,4500,3510bcea-3e23-421c-9896-6dfc12bfdc20,,645,RAFINAD
36,2021-12-04 05:26:33,Lime,Lime // Hybrid (new+repeat loans),5515028,500,b43e5681-a0d0-4f3a-9955-a3f4bd90db11,,645,RAFINAD
37,2021-12-04 03:29:41,Lime,Lime // Hybrid (new+repeat loans),5466535,500,40f9829e-ad82-4034-9378-600517d0377f,,12,RAFINAD
38,2021-12-03 19:10:16,Lime,Lime // Hybrid (new+repeat loans),5823411,4500,99c50cc1-6cf3-4305-b676-67bf3f88c239,,645,RAFINAD
39,2021-12-03 14:25:45,Lime,Lime // Hybrid (new+repeat loans),5822098,4500,5611e1fe-ee66-4dd1-a497-920be659efdb,,645,RAFINAD
40,2021-12-03 12:30:55,Lime,Lime // Hybrid (new+repeat loans),5821343,4500,498ad9e2-b243-446e-af34-84e2dbe25462,,2629,RAFINAD
41,2021-12-03 10:03:02,Lime,Lime // Hybrid (new+repeat loans),5525288,500,29ed8d3c-ff56-4649-b0b6-394396fe35e8,,2629,RAFINAD
42,2021-12-03 09:07:13,Lime,Lime // Hybrid (new+repeat loans),5820344,3000,82073244-cb0e-4fc1-98eb-8df30341e956,,645,RAFINAD
43,2021-12-02 12:37:42,Lime,Lime // Hybrid (new+repeat loans),4705494,4500,7b54e5fd-e609-41ba-846c-a73e73a28095,,2343,RAFINAD
44,2021-12-02 11:57:04,Lime,Lime // Hybrid (new+repeat loans),5816258,4500,1e60251a-4d07-4714-9869-ac76ba1309d2,,2629,RAFINAD
45,2021-12-02 03:24:16,Lime,Lime // Hybrid (new+repeat loans),3647244,500,c1553f4b-ac46-4750-a4c0-5e2dd8750582,,816,RAFINAD
46,2021-12-01 15:14:22,Lime,Lime // Hybrid (new+repeat loans),5784565,500,dc5b9027-a18e-4494-8879-ce677e8aeddc,,816,RAFINAD
47,2021-12-01 09:41:54,Lime,Lime // Hybrid (new+repeat loans),5810839,4500,c6b5b737-ff9f-47fc-94c3-b501c9bfed22,,2629,RAFINAD
