,ts,project,offer_title,goal_id,payouts,sub1,sub2,sub3,affiliate
0,2021-12-09 05:17:50,Konga,Konga // Hybrid (new+repeat loans),1944580,300,26cd2f97-5cc5-59d9-8ca1-c4bd132e4e2a,,2660,REGBET
1,2021-12-09 01:31:59,Konga,Konga // Hybrid (new+repeat loans),1869800,2400,df1ece30-d72e-515c-a277-ec008816a0ca,,2660,REGBET
2,2021-12-08 17:37:21,Lime,Lime // Hybrid (new+repeat loans),5247291,500,26ef793d-880f-5551-b382-6085aba99869,,1738,REGBET
3,2021-12-07 18:37:26,Lime,Lime // Hybrid (new+repeat loans),5646892,500,1bb6c61f-ee4b-504c-8935-5d252c535ce4,,1738,REGBET
4,2021-12-06 22:01:15,Lime,Lime // Hybrid (new+repeat loans),4591717,500,7f788bdc-e6b3-5214-8fb5-4516e648d8ac,,2660,REGBET
5,2021-12-06 20:52:23,Konga,Konga // Hybrid (new+repeat loans),1432130,300,c0abaeb2-be2e-509e-ad64-696e62fd0375,,2660,REGBET
6,2021-12-05 17:54:22,Lime,Lime // Hybrid (new+repeat loans),5714441,4500,f6c79816-6e28-57fb-8828-4c65fdf4c90e,,2660,REGBET
7,2021-12-04 07:31:37,Konga,Konga // Hybrid (new+repeat loans),1944580,2400,b47e4bbc-8e68-52d2-9d1e-2373181aa583,,2660,REGBET
8,2021-12-03 12:45:51,Lime,Lime // Hybrid (new+repeat loans),5821525,3000,fb9f8b3d-56a5-59be-8e59-123973103f08,,2660,REGBET
9,2021-12-03 11:16:33,Lime,Lime // Hybrid (new+repeat loans),5800985,500,73f41a13-9d8b-522d-9413-3b5a1322e86a,,2660,REGBET
