,ts,project,offer_title,goal_id,payouts,sub1,sub2,sub3,affiliate
0,2021-12-29 14:06:56,Lime,Lime CPA,5923921,3000,b9eda3a0-67b6-11ec-be7b-3d5617b0ff01,,dbc9ade0-8ee8-11e7-9d9e-dd7d8ba42923,SALEADS
1,2021-12-27 16:14:18,Lime,Lime CPA,5920773,3000,75548540-6712-11ec-bde7-5bf6885e85cc,,fe0e0830-5f5c-11ec-8f02-55d2bf56c6b0,SALEADS
2,2021-12-27 09:32:48,Lime,Lime CPA,5918784,3000,1ae11750-66dd-11ec-a5fa-9747dbfa904c,,ab202250-f547-11eb-aabe-d5c9084d8e13,SALEADS
3,2021-12-26 15:34:24,Lime,Lime CPA,5916227,4500,8009f480-6644-11ec-8df6-09410231653d,,dbc9ade0-8ee8-11e7-9d9e-dd7d8ba42923,SALEADS
4,2021-12-25 05:10:03,Konga,Konga CPA,1925031,2400,4285eaa0-64c2-11ec-917a-7966b3b451a5,,626e9a10-fce0-11eb-a54b-1d9d5fe93b32,SALEADS
5,2021-12-24 19:53:16,Konga,Konga CPA,1977674,2400,3b6bd080-64d5-11ec-b15e-a1ca86ec5521,,1c824560-55d4-11ec-bb98-97a663f21a93,SALEADS
6,2021-12-24 16:45:57,Lime,Lime CPA,5908706,4500,722540e0-64bc-11ec-bb37-6b869ddb23b7,,9bc3ebb0-448f-11eb-8394-497f0580e138,SALEADS
7,2021-12-24 13:19:49,Lime,Lime CPA,5907757,4500,bf04a270-629d-11ec-9108-f15d224a0ee9,,2c9dd710-b271-11eb-a12d-a92047fdb86c,SALEADS
8,2021-12-23 12:37:03,Lime,Lime CPA,4172561,3000,e909c340-63d2-11ec-ab17-e5c828fbe086,,dcbea340-ad1f-11e7-9b38-bb06f32df214,SALEADS
9,2021-12-22 15:45:29,Lime,Lime CPA,5318227,4500,a7325240-6324-11ec-99aa-fbd5e39403d6,,2c9dd710-b271-11eb-a12d-a92047fdb86c,SALEADS
10,2021-12-21 16:52:48,Lime,Lime CPA,5896400,1800,0a66d440-6262-11ec-9ebf-d7d66983ae7f,,2c9dd710-b271-11eb-a12d-a92047fdb86c,SALEADS
11,2021-12-21 14:01:50,Lime,Lime CPA,5609817,4500,df9fe270-624b-11ec-8593-cfecd2070f0b,,9b221ff0-1af5-11ec-9119-edfbd3ae1484,SALEADS
12,2021-12-20 21:52:10,Lime,Lime CPA,5891400,4500,de92d190-6174-11ec-9f08-8fef497de383,,9b221ff0-1af5-11ec-9119-edfbd3ae1484,SALEADS
13,2021-12-19 22:56:55,Konga,Konga CPA,1777529,2400,2c32ea50-6105-11ec-b493-27bc1aa93808,,ab202250-f547-11eb-aabe-d5c9084d8e13,SALEADS
14,2021-12-15 10:28:33,Lime,Lime CPA,5871459,4500,12358de0-5d77-11ec-b011-311ce282f85e,,b3c57360-c56a-11e7-a4a3-1733e4b87fa4,SALEADS
15,2021-12-13 14:28:24,Lime,Lime CPA,5863822,3000,070db650-5bf1-11ec-aedf-571fa7822370,,ad4b35e0-18fc-11eb-b530-2b6f7f3d3b86,SALEADS
16,2021-12-13 13:50:55,Lime,Lime CPA,5863909,4500,0cc1f860-5c00-11ec-b02c-e1e3e6cbcec0,,2c9dd710-b271-11eb-a12d-a92047fdb86c,SALEADS
17,2021-12-12 15:14:26,Konga,Konga CPA,1957713,2400,183b6350-5b42-11ec-9168-97190c2ae3d4,,55b742e0-18af-11ec-9c01-a1b70db0b6d8,SALEADS
18,2021-12-11 15:17:56,Lime,Lime CPA,5848335,3000,d3104680-58bd-11ec-b677-3b8b842bd97e,,2c9dd710-b271-11eb-a12d-a92047fdb86c,SALEADS
19,2021-12-11 12:44:49,Lime,Lime CPA,5856217,3000,826b1e50-5a64-11ec-b447-f39afe401af6,,5c828ee0-8841-11e8-9d8d-5943e594e8d8,SALEADS
20,2021-12-09 23:11:24,Lime,Lime CPA,5851186,1800,6657e270-5922-11ec-a8aa-a3d6a0c4cdc9,,5c828ee0-8841-11e8-9d8d-5943e594e8d8,SALEADS
21,2021-12-09 17:47:45,Lime,Lime CPA,5850323,4500,79360580-58fc-11ec-a227-1563a237ceb1,,b3c57360-c56a-11e7-a4a3-1733e4b87fa4,SALEADS
22,2021-12-09 14:59:43,Lime,Lime CPA,5849627,4500,8b68f420-58e5-11ec-bb50-810a5267bdaa,,ab202250-f547-11eb-aabe-d5c9084d8e13,SALEADS
23,2021-12-08 10:50:23,Lime,Lime CPA,5392821,3000,d990db90-57f9-11ec-85de-c7795147bb8b,,2c9dd710-b271-11eb-a12d-a92047fdb86c,SALEADS
24,2021-12-07 07:29:23,Lime,Lime CPA,2988697,3000,fdbd0810-37e5-11ec-b2e6-07d0a008cbd8,,e39156b0-0728-11eb-911f-4fb6fc46deed,SALEADS
25,2021-12-03 15:00:58,Konga,Konga CPA,1836015,2400,5fcff540-5420-11ec-8458-a7e18b1f6b74,,9b221ff0-1af5-11ec-9119-edfbd3ae1484,SALEADS
26,2021-12-01 22:28:02,Lime,Lime CPA,5814402,4500,d9e40ab0-52ce-11ec-ada0-f72fdee4f77c,,9b221ff0-1af5-11ec-9119-edfbd3ae1484,SALEADS
27,2021-12-01 08:21:21,Lime,Lime CPA,5810580,4500,c6b08910-5263-11ec-8034-29818fc877e8,,5c828ee0-8841-11e8-9d8d-5943e594e8d8,SALEADS
