,ts,project,offer_title,goal_id,payouts,sub1,sub2,sub3,affiliate
0,2021-12-09 12:03:51,Konga,Konga // Hybrid (new+repeat loans),1906619,2400,1569523159.1623784749,/zaimy/,1020712e007b2a22e02b2a4a451c38,SRAVNI.RU
1,2021-12-09 11:36:49,Lime,Lime // Hybrid (new+repeat loans),4486396,500,1234306093.1629220331,/zaimy/akcii/,102a7110797c64e0b54ac1ea098a1a,SRAVNI.RU
2,2021-12-09 11:32:37,Lime,Lime // Hybrid (new+repeat loans),5161976,3000,1205182665.1638953872,/zaimy/,1022f3ad7efc8c0b84c12ee643d899,SRAVNI.RU
3,2021-12-09 11:17:41,Lime,Lime // Hybrid (new+repeat loans),4804885,1800,1527942016.1631333652,/zaimy/,102bf576e70f07a07acc4a1331a8c5,SRAVNI.RU
4,2021-12-09 10:45:53,Lime,Lime // Hybrid (new+repeat loans),5830404,500,914247732.1638655786,/zaimy/lushie_zaimy_61_dney_i_bolee/,10210dba6f610cc46018f6ca4a344a,SRAVNI.RU
5,2021-12-09 10:45:20,Konga,Konga // Hybrid (new+repeat loans),1953573,2400,2079909110.1638983495,/zaimy/bez-proverok/,102432a5fb70a64efa6784cf481178,SRAVNI.RU
6,2021-12-09 09:44:57,Lime,Lime // Hybrid (new+repeat loans),2394839,1800,463571470.1638945195,/zaimy/mikro/moskva/,102e25e85f24783d2cb6a27d382594,SRAVNI.RU
7,2021-12-09 09:10:43,Lime,Lime // Hybrid (new+repeat loans),5683959,4500,804842119.1639029891,/zaimy/lushie_zaimy_61_dney_i_bolee/,102f075e5012e4d1f90b5c16dcc705,SRAVNI.RU
8,2021-12-09 08:59:09,Lime,Lime // Hybrid (new+repeat loans),5417885,500,1237690770.1638481821,/zaimy/,102666cfa973c2a5bbc5b14e2247bc,SRAVNI.RU
9,2021-12-09 07:23:15,Lime,Lime // Hybrid (new+repeat loans),5323173,4500,1314567103.1629284394,/zaimy/besplatno/,10207fabae4acf008028997d102bdb,SRAVNI.RU
10,2021-12-09 07:14:19,Lime,Lime // Hybrid (new+repeat loans),5190262,3000,200666632.1639008763,/zaimy/na-kartu/khabarovsk/,10234183cc4c98cbbd64193276b0cb,SRAVNI.RU
11,2021-12-09 06:54:49,Konga,Konga // Hybrid (new+repeat loans),1811074,300,1863349915.1639021439,/zaimy/,102a6ecd330997cea7024ef9a8603c,SRAVNI.RU
12,2021-12-09 04:37:21,Lime,Lime // Hybrid (new+repeat loans),5524964,500,623590148.1636969247,/zaimy/,102ecd0df68928d0b6e76d57a2483d,SRAVNI.RU
13,2021-12-09 04:30:10,Lime,Lime // Hybrid (new+repeat loans),5847695,1800,498259225.1638174776,/zaimy/na-kartu/,1024c4fcece129020d122c7ecc2846,SRAVNI.RU
14,2021-12-09 04:27:13,Konga,Konga // Hybrid (new+repeat loans),1904707,2400,1954446492.1621642481,/zaimy/,1022b4ca444105240e19abd0b20f60,SRAVNI.RU
15,2021-12-09 03:52:32,Lime,Lime // Hybrid (new+repeat loans),3515393,3000,1766141111.1639007986,/zaimy/lushie_zaimy_61_dney_i_bolee/,10223d4912a20eee922e1bae4f8ada,SRAVNI.RU
