,ts,project,offer_title,goal_id,payouts,sub1,sub2,sub3,affiliate
0,2021-12-31 14:30:11,Lime,Lime // Hybrid (new+repeat loans),5912036,500,,,,ОКБ
1,2021-12-31 00:08:28,Konga,Konga // Hybrid (new+repeat loans),1968050,300,,,,ОКБ
2,2021-12-30 23:50:47,Konga,Konga // Hybrid (new+repeat loans),1988217,2400,,,,ОКБ
3,2021-12-30 21:34:02,Lime,Lime // Hybrid (new+repeat loans),5935840,4500,,,,ОКБ
4,2021-12-30 18:30:54,Lime,Lime // Hybrid (new+repeat loans),5935240,3000,,,,ОКБ
5,2021-12-30 13:53:22,Lime,Lime // Hybrid (new+repeat loans),5675135,4500,,,,ОКБ
6,2021-12-30 11:06:00,Konga,Konga // Hybrid (new+repeat loans),1986982,2400,,,,ОКБ
7,2021-12-30 08:41:33,Konga,Konga // Hybrid (new+repeat loans),1986815,2400,,,,ОКБ
8,2021-12-29 12:25:34,Lime,Lime // Hybrid (new+repeat loans),5422375,3000,,,,ОКБ
9,2021-12-28 15:51:12,Konga,Konga // Hybrid (new+repeat loans),1984102,2400,,,,ОКБ
10,2021-12-28 14:29:09,Konga,Konga // Hybrid (new+repeat loans),1983887,2400,,,,ОКБ
11,2021-12-28 14:14:57,Konga,Konga // Hybrid (new+repeat loans),1737494,2400,,,,ОКБ
12,2021-12-27 16:37:47,Lime,Lime // Hybrid (new+repeat loans),5591667,500,,,,ОКБ
13,2021-12-26 21:25:57,Konga,Konga // Hybrid (new+repeat loans),1979204,2400,,,,ОКБ
14,2021-12-26 19:41:49,Konga,Konga // Hybrid (new+repeat loans),1904929,2400,,,,ОКБ
15,2021-12-26 16:06:49,Lime,Lime // Hybrid (new+repeat loans),5916329,1800,,,,ОКБ
16,2021-12-26 14:19:54,Lime,Lime // Hybrid (new+repeat loans),5912036,3000,,,,ОКБ
17,2021-12-26 14:12:19,Lime,Lime // Hybrid (new+repeat loans),5915891,4500,,,,ОКБ
18,2021-12-25 23:03:13,Konga,Konga // Hybrid (new+repeat loans),1979198,2400,,,,ОКБ
19,2021-12-25 11:00:38,Lime,Lime // Hybrid (new+repeat loans),5910879,4500,,,,ОКБ
20,2021-12-25 10:01:41,Konga,Konga // Hybrid (new+repeat loans),1978321,2400,,,,ОКБ
21,2021-12-25 08:30:26,Konga,Konga // Hybrid (new+repeat loans),1917899,2400,,,,ОКБ
22,2021-12-25 00:35:32,Lime,Lime // Hybrid (new+repeat loans),5910059,4500,,,,ОКБ
23,2021-12-24 22:22:02,Lime,Lime // Hybrid (new+repeat loans),5909766,3000,,,,ОКБ
24,2021-12-24 17:06:47,Lime,Lime // Hybrid (new+repeat loans),5908798,4500,,,,ОКБ
25,2021-12-24 12:22:27,Konga,Konga // Hybrid (new+repeat loans),1820616,2400,,,,ОКБ
26,2021-12-24 08:54:35,Lime,Lime // Hybrid (new+repeat loans),2504719,3000,,,,ОКБ
27,2021-12-23 17:17:26,Lime,Lime // Hybrid (new+repeat loans),5904018,4500,,,,ОКБ
28,2021-12-23 14:03:56,Lime,Lime // Hybrid (new+repeat loans),5874524,500,,,,ОКБ
29,2021-12-23 11:08:54,Lime,Lime // Hybrid (new+repeat loans),5902885,4500,,,,ОКБ
30,2021-12-22 12:29:45,Lime,Lime // Hybrid (new+repeat loans),5714648,500,,,,ОКБ
31,2021-12-21 21:30:42,Konga,Konga // Hybrid (new+repeat loans),1970420,2400,,,,ОКБ
32,2021-12-21 13:07:37,Konga,Konga // Hybrid (new+repeat loans),993812,300,,,,ОКБ
33,2021-12-21 12:38:37,Lime,Lime // Hybrid (new+repeat loans),5894994,3000,,,,ОКБ
34,2021-12-21 10:45:32,Konga,Konga // Hybrid (new+repeat loans),1959002,2400,,,,ОКБ
35,2021-12-21 10:17:12,Lime,Lime // Hybrid (new+repeat loans),5890603,3000,,,,ОКБ
36,2021-12-21 05:57:19,Konga,Konga // Hybrid (new+repeat loans),1970869,2400,,,,ОКБ
37,2021-12-20 07:30:26,Lime,Lime // Hybrid (new+repeat loans),5888947,3000,,,,ОКБ
38,2021-12-19 15:16:58,Konga,Konga // Hybrid (new+repeat loans),1968050,2400,,,,ОКБ
39,2021-12-19 10:11:43,Lime,Lime // Hybrid (new+repeat loans),5886775,4500,,,,ОКБ
40,2021-12-18 20:43:17,Konga,Konga // Hybrid (new+repeat loans),1635481,300,,,,ОКБ
41,2021-12-17 14:44:46,Lime,Lime // Hybrid (new+repeat loans),5672195,3000,,,,ОКБ
42,2021-12-17 03:43:11,Lime,Lime // Hybrid (new+repeat loans),5878600,4500,,,,ОКБ
43,2021-12-16 09:34:52,Lime,Lime // Hybrid (new+repeat loans),5835755,500,,,,ОКБ
44,2021-12-16 02:56:53,Lime,Lime // Hybrid (new+repeat loans),5874524,4500,,,,ОКБ
45,2021-12-15 21:20:06,Lime,Lime // Hybrid (new+repeat loans),5874126,3000,,,,ОКБ
46,2021-12-15 17:13:05,Lime,Lime // Hybrid (new+repeat loans),4754222,4500,,,,ОКБ
47,2021-12-15 16:17:11,Konga,Konga // Hybrid (new+repeat loans),1936233,2400,,,,ОКБ
48,2021-12-15 10:57:39,Lime,Lime // Hybrid (new+repeat loans),5581206,500,,,,ОКБ
49,2021-12-15 06:59:00,Konga,Konga // Hybrid (new+repeat loans),1960834,2400,,,,ОКБ
50,2021-12-14 21:07:59,Lime,Lime // Hybrid (new+repeat loans),5445353,500,,,,ОКБ
51,2021-12-13 18:00:33,Konga,Konga // Hybrid (new+repeat loans),1957130,2400,,,,ОКБ
52,2021-12-13 13:50:46,Lime,Lime // Hybrid (new+repeat loans),5859297,3000,,,,ОКБ
53,2021-12-13 08:54:46,Konga,Konga // Hybrid (new+repeat loans),1940278,300,,,,ОКБ
54,2021-12-12 22:21:46,Konga,Konga // Hybrid (new+repeat loans),1863488,2400,,,,ОКБ
55,2021-12-12 10:19:28,Konga,Konga // Hybrid (new+repeat loans),1956641,2400,,,,ОКБ
56,2021-12-12 08:17:23,Lime,Lime // Hybrid (new+repeat loans),5858914,3000,,,,ОКБ
57,2021-12-10 23:50:08,Lime,Lime // Hybrid (new+repeat loans),5797710,500,,,,ОКБ
58,2021-12-10 19:19:12,Konga,Konga // Hybrid (new+repeat loans),1676505,2400,,,,ОКБ
59,2021-12-10 18:50:54,Lime,Lime // Hybrid (new+repeat loans),5853858,3000,,,,ОКБ
60,2021-12-09 23:33:47,Lime,Lime // Hybrid (new+repeat loans),4719305,3000,,,,ОКБ
