,ts,project,offer_title,goal_id,payouts,sub1,sub2,sub3,affiliate
0,2021-11-30 17:06:44,Konga,Konga CPA,1936902,2400,6a891e5c172bbea4a87155381db00c66,,1711655,ADMITAD
1,2021-11-30 15:53:50,Lime,Lime // Hybrid (new+repeat loans),5808079,4500,399e37ce6160143ae5e655743c0e93dc,,1055604,ADMITAD
2,2021-11-30 13:14:22,Lime,Lime // Hybrid (new+repeat loans),4961700,500,b64e1033961a470391166bbb1a5d8894,,960004,ADMITAD
3,2021-11-30 08:51:57,Lime,Lime // Hybrid (new+repeat loans),5233306,500,d38cf6cc18e40540b2ca33294440eada,,1055604,ADMITAD
4,2021-11-30 05:39:14,Lime,Lime // Hybrid (new+repeat loans),5805519,4500,f6ec22d487ced2d3f7442a7c2b45d7df,,960004,ADMITAD
5,2021-11-30 03:22:43,Lime,Lime // Hybrid (new+repeat loans),5805359,4500,8d26fcd5e8e63cfcf3b098d3d3fb9f5e,,1101889,ADMITAD
6,2021-11-30 03:20:18,Lime,Lime // Hybrid (new+repeat loans),5566561,500,c865a2b39e2fdb66ffb98374b66e6f08,,960004,ADMITAD
7,2021-11-29 20:17:39,Lime,Lime // Hybrid (new+repeat loans),5585497,500,b0b990376b9ded278bda52360cefa061,,960004,ADMITAD
8,2021-11-29 00:25:24,Lime,Lime // Hybrid (new+repeat loans),5593721,500,7e19e166b189b047a4d2129354159364,,960004,ADMITAD
9,2021-11-28 11:58:34,Konga,Konga CPA,1931243,2400,7a827bbeb7aaaf3cae0294af296cb1a1,,72795,ADMITAD
10,2021-11-28 11:54:12,Lime,Lime // Hybrid (new+repeat loans),5796559,4500,148c2c3304127fc5f88a43c0eed4e1cd,,1055604,ADMITAD
11,2021-11-27 17:55:39,Lime,Lime // Hybrid (new+repeat loans),5793752,4500,1207d7494adcc3f95cd133d73111b132,,329662,ADMITAD
12,2021-11-27 13:03:27,Lime,Lime // Hybrid (new+repeat loans),4243215,500,9cda6aa277bf48084eebf1ab4746f85e,,960004,ADMITAD
13,2021-11-27 10:24:22,Lime,Lime // Hybrid (new+repeat loans),5679661,500,71f556fe014100367ae63646c2ffe0ea,,960004,ADMITAD
14,2021-11-27 08:24:15,Konga,Konga CPA,1870718,2400,115248e41bfb9114cbbed564710e776d,,150535,ADMITAD
15,2021-11-27 06:44:24,Konga,Konga CPA,1928559,2400,c4fd459db8b1114624d61a0a3bc3f90d,,1077557,ADMITAD
16,2021-11-27 05:01:01,Lime,Lime // Hybrid (new+repeat loans),5790697,4500,763080a5bd543bf158db9d6b3db35f3f,,960004,ADMITAD
17,2021-11-27 03:30:27,Lime,Lime // Hybrid (new+repeat loans),2846351,500,1ffbf8c6519ab7e483e8731993e94b1a,,960004,ADMITAD
18,2021-11-26 21:33:53,Lime,Lime // Hybrid (new+repeat loans),5689480,500,ee562712f4cb137e0696cff79d15ecec,,1055604,ADMITAD
19,2021-11-26 15:23:00,Lime,Lime // Hybrid (new+repeat loans),3190667,4500,1c8ca3d1401d3e462a4dbf069a87ec22,,960004,ADMITAD
20,2021-11-26 14:23:08,Lime,Lime // Hybrid (new+repeat loans),5353145,3000,3a2f6aefd79f1ea56924ae77f8205c6e,,960004,ADMITAD
21,2021-11-26 00:16:49,Lime,Lime // Hybrid (new+repeat loans),5469077,500,19ca35d78801ae7507fb773820e88201,,960004,ADMITAD
22,2021-11-25 23:49:58,Lime,Lime // Hybrid (new+repeat loans),5785739,4500,6e4e29b40ab35478dd4cacc060343c81,,1055604,ADMITAD
23,2021-11-25 20:50:22,Lime,Lime // Hybrid (new+repeat loans),5623125,500,065166c99b3fe6e2353862a5ac15bd61,,1059687,ADMITAD
24,2021-11-25 10:20:30,Konga,Konga CPA,1924264,2400,d34dac3773a50439b49b263fbdfe906b,,960004,ADMITAD
25,2021-11-25 07:01:09,Konga,Konga CPA,1922847,2400,2dfd8246f7b9b2e06819a9e4fb49c020,,58534,ADMITAD
26,2021-11-24 19:16:31,Lime,Lime // Hybrid (new+repeat loans),5532262,4500,75d74da2244eba5d9e187746927c54e0,,1543810,ADMITAD
27,2021-11-24 11:28:36,Lime,Lime // Hybrid (new+repeat loans),4748654,4500,b0e6d2f5b499f1bf405c099eb8181aa8,,1055604,ADMITAD
28,2021-11-23 20:20:22,Lime,Lime // Hybrid (new+repeat loans),5639541,500,5521cb718babe78d13526b65caa1cb39,,1416705,ADMITAD
29,2021-11-23 20:17:51,Konga,Konga CPA,1920893,2400,85bccdddf36a70a64a6d7dfaf19c4cd9,,1512587,ADMITAD
30,2021-11-23 18:10:24,Lime,Lime // Hybrid (new+repeat loans),761726,500,f99680ca788ab98c0fccb3c17b274573,,960004,ADMITAD
31,2021-11-23 17:30:22,Lime,Lime // Hybrid (new+repeat loans),5775426,3000,270762c9a5b0cbb2bf5e1dfa09f927e3,,1055604,ADMITAD
32,2021-11-23 16:38:47,Lime,Lime // Hybrid (new+repeat loans),5775348,4500,f1e4ad436ce84cbc841a8627d382598e,,960004,ADMITAD
33,2021-11-23 14:20:31,Lime,Lime // Hybrid (new+repeat loans),5774597,4500,2e40cb86a4c05fc84d5e6a9e8cd4fb14,,960004,ADMITAD
34,2021-11-22 22:11:09,Konga,Konga CPA,1916480,2400,8c00ebd95831b28a6f8e3dd76e1bd389,,960004,ADMITAD
35,2021-11-22 18:43:33,Lime,Lime // Hybrid (new+repeat loans),5768231,4500,31ab232841e4c4e6e53a114f0729861d,,1055604,ADMITAD
36,2021-11-22 11:05:52,Lime,Lime // Hybrid (new+repeat loans),5233306,4500,90f5366972e495d51c464a88463cb4e6,,1055604,ADMITAD
37,2021-11-21 20:52:43,Lime,Lime // Hybrid (new+repeat loans),5768066,4500,cc40eb35e558507839476c8f09f3f14d,,329662,ADMITAD
38,2021-11-21 17:02:08,Lime,Lime // Hybrid (new+repeat loans),5767287,4500,7508dfed965da5421524576d7d140f90,,960004,ADMITAD
39,2021-11-21 16:09:23,Lime,Lime // Hybrid (new+repeat loans),5767059,4500,a5e6d84d439bb11e1e457ae440a2fe1d,,1055604,ADMITAD
40,2021-11-21 12:08:34,Konga,Konga CPA,1442810,2400,5ab716b1002b81072435afac071c75f1,,960004,ADMITAD
41,2021-11-21 10:36:01,Lime,Lime // Hybrid (new+repeat loans),5765372,3000,0f605524a0d6712aefa7488b01a23f70,,50007,ADMITAD
42,2021-11-20 22:07:12,Lime,Lime // Hybrid (new+repeat loans),5759519,3000,6c0a0ee4170c97cb62938d6c9009ed8f,,960004,ADMITAD
43,2021-11-20 19:21:23,Lime,Lime // Hybrid (new+repeat loans),5441959,500,46efa6d88c27c26919d8d82aa6863c77,,960004,ADMITAD
44,2021-11-20 16:42:02,Lime,Lime // Hybrid (new+repeat loans),5763271,4500,538c72fa02cc8d29c0bd4ffbe6856eab,,1055604,ADMITAD
45,2021-11-20 12:45:22,Lime,Lime // Hybrid (new+repeat loans),5291589,500,101a2105cb5dea1e258baf16a41e8fd5,,377855,ADMITAD
46,2021-11-20 10:25:00,Lime,Lime // Hybrid (new+repeat loans),5724179,500,93f26df3a145fbb16398d997458b42b1,,960004,ADMITAD
47,2021-11-20 07:45:48,Lime,Lime // Hybrid (new+repeat loans),4927533,4500,ddb3d4f8417c61ca7be15f0ce893b74e,,304075,ADMITAD
48,2021-11-20 06:14:13,Lime,Lime // Hybrid (new+repeat loans),5760927,4500,847aa03929f0a3d4e51975df78453647,,1193780,ADMITAD
49,2021-11-20 01:25:26,Lime,Lime // Hybrid (new+repeat loans),5760591,3000,4f8e35f5694612d9df94e7b1c387c4fb,,960004,ADMITAD
50,2021-11-19 20:50:01,Konga,Konga CPA,1911705,2400,a91d6084f25689b21e9dbba6fa71224f,,1512587,ADMITAD
51,2021-11-19 18:41:24,Lime,Lime // Hybrid (new+repeat loans),5747280,500,ebddad7d25a53fb6d4500f029115319f,,960004,ADMITAD
52,2021-11-19 16:49:56,Lime,Lime // Hybrid (new+repeat loans),4574038,500,6ff35b056cbb650eb19d23fa2ca1bbcf,,960004,ADMITAD
53,2021-11-19 12:53:52,Lime,Lime // Hybrid (new+repeat loans),4025389,500,771c97de5c8e58005c8ed83cb34c6e4f,,960004,ADMITAD
54,2021-11-19 11:41:00,Lime,Lime // Hybrid (new+repeat loans),5757784,3000,654423c6994ea96797c8f8574ffc2ff9,,1055604,ADMITAD
55,2021-11-18 22:51:56,Lime,Lime // Hybrid (new+repeat loans),5601453,500,ae4bb3028377c7cc74f0e99b6387edef,,44143,ADMITAD
56,2021-11-18 20:50:46,Lime,Lime // Hybrid (new+repeat loans),5756133,4500,b1814eb69b61f0f0792004cf9ab6be0b,,1448051,ADMITAD
57,2021-11-18 18:49:29,Lime,Lime // Hybrid (new+repeat loans),5755677,4500,1071dd0abdeb4dc7556f2e062a825a28,,46910,ADMITAD
58,2021-11-18 16:36:08,Lime,Lime // Hybrid (new+repeat loans),5755262,4500,465c212d3ab6789129da11d7b82079d3,,1055604,ADMITAD
59,2021-11-18 16:25:51,Lime,Lime // Hybrid (new+repeat loans),5755001,3000,fc6bd211c4c96fae2d912fc905866935,,1055604,ADMITAD
60,2021-11-17 22:26:32,Lime,Lime // Hybrid (new+repeat loans),5752791,4500,03b9950e855356f518206491356ba05b,,1055604,ADMITAD
61,2021-11-16 23:44:06,Lime,Lime // Hybrid (new+repeat loans),5579004,500,e6546df5e6dcfaffb2ca911f1987db2e,,960004,ADMITAD
