,ts,project,offer_title,goal_id,payouts,sub1,sub2,sub3,affiliate
0,2021-11-30 19:26:29,Lime,Lime // Hybrid (new+repeat loans),2319864,4500,d31,q2,,ARHIP
1,2021-11-30 11:23:28,Lime,Lime // Hybrid (new+repeat loans),5506013,500,d31,q1,,ARHIP
2,2021-11-30 08:45:26,Lime,Lime // Hybrid (new+repeat loans),5256739,3000,d32,q1,,ARHIP
3,2021-11-29 19:19:59,Lime,Lime // Hybrid (new+repeat loans),3501832,500,d32,q1,,ARHIP
4,2021-11-29 18:24:02,Lime,Lime // Hybrid (new+repeat loans),5673779,4500,d32,q1,,ARHIP
5,2021-11-29 17:29:27,Lime,Lime // Hybrid (new+repeat loans),5385443,4500,d31,q2,,ARHIP
6,2021-11-29 11:40:57,Lime,Lime // Hybrid (new+repeat loans),5673686,3000,d32,q1,,ARHIP
7,2021-11-29 11:37:31,Lime,Lime // Hybrid (new+repeat loans),4581331,500,d31,q1,,ARHIP
8,2021-11-28 20:12:55,Lime,Lime // Hybrid (new+repeat loans),5240993,3000,d32,q1,,ARHIP
9,2021-11-28 19:19:29,Lime,Lime // Hybrid (new+repeat loans),1469908,3000,d32,q1,,ARHIP
10,2021-11-28 18:51:59,Lime,Lime // Hybrid (new+repeat loans),5669660,3000,d32,q1,,ARHIP
11,2021-11-28 13:47:41,Lime,Lime // Hybrid (new+repeat loans),5607368,4500,d31,q1,,ARHIP
12,2021-11-28 13:26:04,Lime,Lime // Hybrid (new+repeat loans),5673665,3000,d31,q1,,ARHIP
13,2021-11-28 00:01:43,Lime,Lime // Hybrid (new+repeat loans),5317324,500,d31,q2,,ARHIP
14,2021-11-27 23:21:01,Lime,Lime // Hybrid (new+repeat loans),5429287,4500,d31,q2,,ARHIP
15,2021-11-27 20:59:33,Lime,Lime // Hybrid (new+repeat loans),5666513,3000,d32,q1,,ARHIP
16,2021-11-27 19:16:13,Lime,Lime // Hybrid (new+repeat loans),5321026,3000,d32,q1,,ARHIP
17,2021-11-27 12:28:24,Lime,Lime // Hybrid (new+repeat loans),4849866,500,d31,q1,,ARHIP
18,2021-11-27 11:16:47,Lime,Lime // Hybrid (new+repeat loans),5666517,4500,d31,q1,,ARHIP
19,2021-11-26 21:45:36,Lime,Lime // Hybrid (new+repeat loans),5395129,3000,d32,q1,,ARHIP
20,2021-11-26 20:58:34,Lime,Lime // Hybrid (new+repeat loans),3280042,500,d31,q1,,ARHIP
