,ts,project,offer_title,goal_id,payouts,sub1,sub2,sub3,affiliate
0,2021-11-30 23:17:42,Lime,Lime // Hybrid (new+repeat loans),5809813,3000,1022a2f153b41968cf25812d894916,,,BANKI
1,2021-11-30 23:05:18,Lime,Lime // Hybrid (new+repeat loans),4963820,500,102d4f7da22452a0b171edc3adf60a,,,BANKI
2,2021-11-30 22:58:19,Konga,Konga CPA,1937583,2400,102e9b68ff47d42eaa88789c209b40,,,BANKI
3,2021-11-30 21:56:17,Lime,Lime CPA,5809587,3000,1021523676317b28aa13e0e281a742,,AFFID,BANKI
4,2021-11-30 21:51:07,Lime,Lime CPA,5807632,3000,1020d7034fba6b04181f8ef758c90a,,AFFID,BANKI
5,2021-11-30 21:50:36,Lime,Lime CPA,5788438,3000,102f4c8a4be5e34ca3a285498d2efb,,AFFID,BANKI
6,2021-11-30 21:30:22,Lime,Lime // Hybrid (new+repeat loans),5604998,3000,1023ea3a33d303d66ce01ea82167da,,,BANKI
7,2021-11-30 20:57:47,Lime,Lime // Hybrid (new+repeat loans),5809498,4500,10288031b06226d5922cdf1a48631f,,,BANKI
8,2021-11-30 20:45:41,Lime,Lime // Hybrid (new+repeat loans),4309764,500,102a02d110f9b9f897b5c4ef98ad51,,,BANKI
9,2021-11-30 20:37:34,Lime,Lime // Hybrid (new+repeat loans),5809119,4500,102c588ee65e219a738beb0db62a68,,,BANKI
10,2021-11-30 20:32:21,Lime,Lime // Hybrid (new+repeat loans),5808490,3000,102962c166b549f4a975e80bde34c7,,,BANKI
11,2021-11-30 20:27:09,Lime,Lime CPA,5809167,3000,102d9ea7dee1ecc8eb1c6ff23d1d3e,,AFFID,BANKI
12,2021-11-30 20:03:30,Lime,Lime // Hybrid (new+repeat loans),5809180,4500,102d1df8bda0e8c92e6e3e2baf071b,,,BANKI
13,2021-11-30 19:51:54,Lime,Lime CPA,5768202,4500,1022b860f4bb711b221d55c3e818f5,,AFFID,BANKI
14,2021-11-30 19:48:47,Lime,Lime CPA,5809066,4500,1026c46b79a30629d004443bd86dd9,,AFFID,BANKI
15,2021-11-30 19:11:45,Lime,Lime CPA,5808857,4500,1029527c4460e9cfee1b9cbd501f59,,AFFID,BANKI
16,2021-11-30 18:55:43,Konga,Konga CPA,1937159,2400,102054a6805cfa151191aee233138f,,,BANKI
17,2021-11-30 18:44:04,Lime,Lime CPA,5806285,4500,102b1ecd4be025d8aee314288469a1,,AFFID,BANKI
18,2021-11-30 18:38:53,Konga,Konga CPA,1937126,2400,1029fd2765452f1f16f426798ddf05,,,BANKI
19,2021-11-30 18:34:09,Lime,Lime // Hybrid (new+repeat loans),5808924,4500,102ce7c54035e4d91a21ff472ef6e1,,,BANKI
20,2021-11-30 18:13:25,Lime,Lime CPA,5808395,4500,102dd8fe0f3e85c087d949feaba967,,AFFID,BANKI
21,2021-11-30 17:50:38,Konga,Konga CPA,1936958,2400,1027d1999d03938e0d36f9eca381b3,,,BANKI
22,2021-11-30 17:45:29,Konga,Konga CPA,1937011,2400,1027a3e9658bcaf42c283a60afc417,,,BANKI
23,2021-11-30 17:27:18,Lime,Lime // Hybrid (new+repeat loans),5702438,500,,,,BANKI
24,2021-11-30 17:17:11,Lime,Lime CPA,5805021,4500,1025cc8633a7cd1d40c3a101fb4466,,AFFID,BANKI
25,2021-11-30 16:55:38,Konga,Konga CPA,1936892,2400,1025461bb97a14f2f3ec53ef5268fa,,,BANKI
26,2021-11-30 15:57:05,Lime,Lime // Hybrid (new+repeat loans),5120162,4500,10284de4e63d7f5732a4c947b931c3,,,BANKI
27,2021-11-30 15:37:36,Lime,Lime // Hybrid (new+repeat loans),5807981,4500,102fcb83d28d60eea59e24aed73417,,,BANKI
28,2021-11-30 15:32:37,Lime,Lime CPA,5806772,4500,102b8f0f92a2c7053c7d64a9185320,,AFFID,BANKI
29,2021-11-30 14:35:54,Lime,Lime CPA,5807651,4500,1023d5efbfeddd542294dd3a8440d4,,AFFID,BANKI
30,2021-11-30 14:22:29,Lime,Lime // Hybrid (new+repeat loans),5722930,500,102a3878f30c4786546fec4cac8f4c,,,BANKI
31,2021-11-30 13:49:44,Lime,Lime // Hybrid (new+repeat loans),5201423,500,1029119d076280ad5078887c530c54,,,BANKI
32,2021-11-30 13:22:47,Konga,Konga CPA,1936293,2400,102dcbafd7299b2627e6b740b4008b,,,BANKI
33,2021-11-30 13:21:42,Lime,Lime CPA,5807034,4500,10262dd4597bae1af803ff274bd2a9,,AFFID,BANKI
34,2021-11-30 13:18:58,Lime,Lime // Hybrid (new+repeat loans),5807232,4500,10269d702a6df269f281174089a74e,,,BANKI
35,2021-11-30 12:58:01,Lime,Lime CPA,5806704,4500,1025a7a4bf5c79ba32b2e76c18c65a,,AFFID,BANKI
36,2021-11-30 12:57:56,Lime,Lime // Hybrid (new+repeat loans),5806872,3000,102b38ac0fdf405d36e63bb2d1dbe2,,,BANKI
37,2021-11-30 12:32:36,Konga,Konga CPA,1936181,2400,102d9b8b697f69ec88524287156b1a,,,BANKI
38,2021-11-30 12:12:58,Lime,Lime // Hybrid (new+repeat loans),5806848,3000,102f72780d9fbde92edb7a8e042cab,,,BANKI
39,2021-11-30 11:43:12,Konga,Konga CPA,1934469,2400,102beb92c8f7da32f24b13729a4817,,,BANKI
40,2021-11-30 11:36:19,Lime,Lime // Hybrid (new+repeat loans),5806413,4500,102b0b9e601406dfdb2c2a68569ad0,,,BANKI
41,2021-11-30 11:21:58,Lime,Lime // Hybrid (new+repeat loans),5774036,500,102ae491d8c86a36e482eec06e6b15,,,BANKI
42,2021-11-30 09:47:15,Lime,Lime CPA,5798665,4500,102fe43e5b9f564f0fd0b18088cdd2,,AFFID,BANKI
43,2021-11-30 09:39:55,Lime,Lime // Hybrid (new+repeat loans),5577178,3000,1022943d5c799cc1afd33a413c83c7,,,BANKI
44,2021-11-30 09:39:50,Konga,Konga CPA,1935767,2400,10257f5146990d5beef271c558bd08,,,BANKI
45,2021-11-30 08:46:19,Lime,Lime // Hybrid (new+repeat loans),5805907,3000,10201cc6d0ee6f437299e872038e77,,,BANKI
46,2021-11-30 08:40:32,Konga,Konga CPA,1935629,2400,1022c095d1435721478c3426d9aa9b,,,BANKI
47,2021-11-30 08:13:39,Lime,Lime CPA,5805755,4500,102169c833681cbb49edd20086e648,,AFFID,BANKI
48,2021-11-30 08:12:09,Lime,Lime CPA,5805793,3000,102ccfda1fa0a11cffa728614d0217,,AFFID,BANKI
49,2021-11-30 07:45:30,Konga,Konga CPA,1935640,2400,10276d0452d6d2513d59d4602ca27a,,,BANKI
50,2021-11-30 06:46:24,Lime,Lime CPA,5805627,4500,10278f0419d6188e7ed76126564cbd,,AFFID,BANKI
51,2021-11-30 05:14:19,Lime,Lime // Hybrid (new+repeat loans),3678866,4500,10206469aa84945c54688fb395adc9,,,BANKI
52,2021-11-30 02:36:20,Lime,Lime // Hybrid (new+repeat loans),5805321,4500,10264c87d90815f40a835ab62426a9,,,BANKI
53,2021-11-30 02:12:17,Konga,Konga CPA,1935416,2400,10217fa8460ea46dc46093d1ce1dc9,,,BANKI
54,2021-11-30 02:01:59,Lime,Lime // Hybrid (new+repeat loans),5743018,500,10231cb865fb0cc522cf1de9f53cd5,,,BANKI
55,2021-11-29 22:53:00,Lime,Lime CPA,5804924,4500,102934063c71b4642cdce6268ddb28,,AFFID,BANKI
56,2021-11-29 22:42:47,Lime,Lime // Hybrid (new+repeat loans),4979743,3000,10254bb92fc6769e215aa28d4a629a,,,BANKI
57,2021-11-29 22:41:06,Lime,Lime // Hybrid (new+repeat loans),5804870,4500,1029457dc919f76051e2fd7146b0e0,,,BANKI
58,2021-11-29 20:55:43,Lime,Lime CPA,5804564,4500,102ee070aeae2a76dcc17b145c0f07,,AFFID,BANKI
59,2021-11-29 20:17:46,Lime,Lime // Hybrid (new+repeat loans),5703895,500,10288bd094c737aa55ab96747496d5,,,BANKI
60,2021-11-29 20:10:11,Lime,Lime CPA,5803661,4500,102a7005ad37cc3cc6fa77ec7d6611,,AFFID,BANKI
61,2021-11-29 19:46:04,Konga,Konga CPA,1934910,2400,1029394a24a3a9c9325422b348adbd,,,BANKI
62,2021-11-29 19:41:47,Lime,Lime // Hybrid (new+repeat loans),5256130,3000,102d5ac0c02b5ad427d01bcd250607,,,BANKI
63,2021-11-29 19:00:36,Konga,Konga CPA,1934799,2400,10201e84be5f3c58202abe358c97e5,,,BANKI
64,2021-11-29 18:57:26,Lime,Lime // Hybrid (new+repeat loans),4468405,500,1027cc9f6fe32bcaa9f1fc3989d45b,,,BANKI
65,2021-11-29 18:40:12,Konga,Konga CPA,1934766,2400,102c3ba6875eef429cf9b101c01932,,,BANKI
66,2021-11-29 18:08:25,Lime,Lime // Hybrid (new+repeat loans),5800201,3000,10282ff7a34eaad67fdc8971770baf,,,BANKI
67,2021-11-29 17:49:58,Lime,Lime CPA,5803737,4500,102b41b37f2f4ef11461ec0592ca37,,AFFID,BANKI
68,2021-11-29 17:29:58,Lime,Lime // Hybrid (new+repeat loans),5298044,3000,102872a575fb3ac267545da217075f,,,BANKI
69,2021-11-29 16:56:49,Lime,Lime // Hybrid (new+repeat loans),5803086,4500,102dfc7884939e8de7fcf74f7382f4,,,BANKI
70,2021-11-29 16:41:19,Lime,Lime // Hybrid (new+repeat loans),4429053,3000,1025b4dd41f52f4cde0373545a3ffb,,,BANKI
71,2021-11-29 16:21:42,Konga,Konga CPA,1934466,2400,10239a2583fed7fed62c5fa62338fd,,,BANKI
72,2021-11-29 16:08:38,Lime,Lime // Hybrid (new+repeat loans),5723558,500,1029d400754b442baf588204450a40,,,BANKI
73,2021-11-29 16:01:42,Lime,Lime // Hybrid (new+repeat loans),5432362,500,,,,BANKI
74,2021-11-29 15:57:38,Lime,Lime // Hybrid (new+repeat loans),5802873,4500,1028a813d575374ff29a8162399930,,,BANKI
