,ts,project,offer_title,goal_id,payouts,sub1,sub2,sub3,affiliate
0,2021-11-30 23:36:13,Lime,Lime // Hybrid (new+repeat loans),5809869,4500,3PFZ1VjMIDZ9LHN,,4QCp,CITYADS
1,2021-11-30 21:53:21,Lime,Lime // Hybrid (new+repeat loans),5801092,3000,3PFZ1VjcHGZ9N9W,,5eDh,CITYADS
2,2021-11-30 21:27:03,Lime,Lime // Hybrid (new+repeat loans),4507960,4500,3PFZ1VjKO5Zec6S,,sp3,CITYADS
3,2021-11-30 20:30:58,Lime,Lime // Hybrid (new+repeat loans),5588036,500,3PFZ1VjiiTZivvC,,5eDh,CITYADS
4,2021-11-30 18:29:08,Lime,Lime // Hybrid (new+repeat loans),5808863,4500,3PFZ1VjHQVZrjPG,,4QCp,CITYADS
5,2021-11-30 18:27:41,Lime,Lime // Hybrid (new+repeat loans),5734324,500,3PFZ1VcLIhZmU6h,,sp3,CITYADS
6,2021-11-30 18:18:46,Konga,Konga // Hybrid (new+repeat loans),1805904,2400,99XZ1VjHPWZA9w0,,sp3,CITYADS
7,2021-11-30 18:17:28,Lime,Lime // Hybrid (new+repeat loans),5806200,3000,3PFZ1VjzQJZAe1M,,5eDh,CITYADS
8,2021-11-30 17:28:56,Lime,Lime // Hybrid (new+repeat loans),4862576,500,3PFZ1VfxtdZA9Ez,,5eDh,CITYADS
9,2021-11-30 16:32:48,Lime,Lime // Hybrid (new+repeat loans),5807961,4500,3PFZ1VjGckZrkDs,,8qL0M2,CITYADS
10,2021-11-30 15:06:38,Lime,Lime // Hybrid (new+repeat loans),5807607,4500,3PFZ1VjE1IZiwwu,,4QCp,CITYADS
11,2021-11-30 14:59:33,Lime,Lime // Hybrid (new+repeat loans),5515638,500,3PFZ1VjExUZExuO,,4QCp,CITYADS
12,2021-11-30 14:26:23,Lime,Lime // Hybrid (new+repeat loans),5167227,3000,3PFZ1Vj6icZix16,,4QCp,CITYADS
13,2021-11-30 13:43:10,Lime,Lime // Hybrid (new+repeat loans),5807320,4500,3PFZ1VjDd5ZEyaK,,4QCp,CITYADS
14,2021-11-30 13:15:01,Lime,Lime // Hybrid (new+repeat loans),5807206,4500,3PFZ1VjCRmZEC1Q,,Z4M21E,CITYADS
15,2021-11-30 12:41:18,Lime,Lime // Hybrid (new+repeat loans),4293601,500,3PFZ1VjCppZecvD,,sp3,CITYADS
16,2021-11-30 12:03:00,Lime,Lime // Hybrid (new+repeat loans),5675541,4500,3PFZ1VjBSzZn1oy,,4QCp,CITYADS
17,2021-11-30 11:25:05,Lime,Lime // Hybrid (new+repeat loans),3971162,500,3PFZ1VjBebZ5hPF,,sp3,CITYADS
18,2021-11-30 11:24:41,Lime,Lime // Hybrid (new+repeat loans),5806427,4500,3PFZ1VjAA4ZExv3,,5eDh,CITYADS
19,2021-11-30 08:14:09,Lime,Lime // Hybrid (new+repeat loans),5791285,3000,3PFZ1ViqtXZAabn,,4QCp,CITYADS
20,2021-11-30 06:04:06,Konga,Konga // Hybrid (new+repeat loans),1844481,300,99XZ1VjtygZn0XF,,sp3,CITYADS
21,2021-11-30 03:28:58,Lime,Lime // Hybrid (new+repeat loans),5782827,500,3PFZ1VjtAfZe7lc,,4QCp,CITYADS
22,2021-11-30 01:38:49,Lime,Lime // Hybrid (new+repeat loans),5805240,4500,3PFZ1VjruDZ9INk,,4QCp,CITYADS
23,2021-11-30 01:06:09,Lime,Lime // Hybrid (new+repeat loans),5129082,4500,3PFZ1Vjr71Zrqen,,4QCp,CITYADS
24,2021-11-30 01:02:42,Konga,Konga // Hybrid (new+repeat loans),1924264,300,99XZ1VjrapZvPwa,,sp3,CITYADS
25,2021-11-30 00:21:51,Lime,Lime // Hybrid (new+repeat loans),5158206,500,3PFZ1VjqAkZ9HVM,,4QCp,CITYADS
26,2021-11-29 20:43:02,Lime,Lime // Hybrid (new+repeat loans),5359976,3000,3PFZ1VjmLEZAakh,,4QCp,CITYADS
27,2021-11-29 18:33:25,Lime,Lime // Hybrid (new+repeat loans),5264187,500,3PFZ1VfmF6Zedcn,,sp3,CITYADS
28,2021-11-29 17:37:22,Lime,Lime // Hybrid (new+repeat loans),5803720,4500,3PFZ1VjjUyZiA9H,,sp3,CITYADS
29,2021-11-29 17:00:57,Lime,Lime // Hybrid (new+repeat loans),5803544,4500,3PFZ1VjjezZe7LF,,76KGrr,CITYADS
30,2021-11-29 16:51:05,Lime,Lime // Hybrid (new+repeat loans),5691374,500,3PFZ1VjjfqZEEcF,,4QCp,CITYADS
31,2021-11-29 15:35:12,Konga,Konga // Hybrid (new+repeat loans),1902518,2400,99XZ1Vji0IZ5p6U,,EloLQk,CITYADS
32,2021-11-29 15:24:23,Lime,Lime // Hybrid (new+repeat loans),5802952,4500,3PFZ1VjhwFZEyhe,,Z4M21E,CITYADS
33,2021-11-29 15:19:43,Lime,Lime // Hybrid (new+repeat loans),5788922,3000,3PFZ1VjhC3Z9Ib2,,4QCp,CITYADS
34,2021-11-29 15:18:09,Lime,Lime // Hybrid (new+repeat loans),5802897,4500,3PFZ1VjhCjZAfIo,,5eDh,CITYADS
35,2021-11-29 15:06:52,Lime,Lime // Hybrid (new+repeat loans),5505002,500,3PFZ1VjhzzZrjsT,,4QCp,CITYADS
36,2021-11-29 14:56:33,Lime,Lime // Hybrid (new+repeat loans),5802811,4500,3PFZ1Vjh9lZvIRz,,4QCp,CITYADS
37,2021-11-29 14:27:13,Lime,Lime // Hybrid (new+repeat loans),5777786,500,3PFZ1VhJJ9ZedP4,,5eDh,CITYADS
38,2021-11-29 14:06:21,Lime,Lime // Hybrid (new+repeat loans),4453504,4500,3PFZ1VjfVMZrlIR,,O7BzyG,CITYADS
39,2021-11-29 12:37:07,Lime,Lime // Hybrid (new+repeat loans),5801940,3000,3PFZ1VjeLvZe7sV,,4QCp,CITYADS
40,2021-11-29 11:46:26,Lime,Lime // Hybrid (new+repeat loans),5801386,4500,3PFZ1VjdymZe6a2,,4QCp,CITYADS
41,2021-11-29 11:41:48,Lime,Lime // Hybrid (new+repeat loans),5512304,500,3PFZ1VjdV3ZA7LU,,5eDh,CITYADS
42,2021-11-29 10:49:16,Lime,Lime // Hybrid (new+repeat loans),5633255,3000,3PFZ1Vjbi4ZedGD,,4QCp,CITYADS
43,2021-11-29 09:06:57,Konga,Konga // Hybrid (new+repeat loans),1846571,300,99XZ1Vj61oZe6Hc,,sp3,CITYADS
44,2021-11-29 02:49:16,Lime,Lime // Hybrid (new+repeat loans),5800082,4500,3PFZ1Vj5ETZvOsV,,5eDh,CITYADS
45,2021-11-29 01:25:51,Lime,Lime // Hybrid (new+repeat loans),5427626,500,3PFZ1Vj49oZmVTL,,5eDh,CITYADS
46,2021-11-29 00:17:13,Lime,Lime // Hybrid (new+repeat loans),5704856,500,3PFZ1Vj3fwZEDfH,,sp3,CITYADS
47,2021-11-28 23:56:26,Lime,Lime // Hybrid (new+repeat loans),5799825,4500,3PFZ1Vj1qAZEwBA,,4QCp,CITYADS
48,2021-11-28 21:44:09,Lime,Lime // Hybrid (new+repeat loans),5799700,3000,3PFZ1Vj0xhZA8q4,,4QCp,CITYADS
49,2021-11-28 20:15:40,Lime,Lime // Hybrid (new+repeat loans),5799195,4500,3PFZ1VhpJkZed48,,sp3,CITYADS
50,2021-11-28 20:07:28,Lime,Lime // Hybrid (new+repeat loans),5797482,4500,3PFZ1ViYcPZAeC6,,4QCp,CITYADS
51,2021-11-28 17:46:40,Lime,Lime // Hybrid (new+repeat loans),384651,500,3PFZ1VfnDaZA8sp,,AnklBj,CITYADS
52,2021-11-28 16:59:36,Lime,Lime // Hybrid (new+repeat loans),5503593,500,3PFZ1ViFs8Ziv2S,,5eDh,CITYADS
53,2021-11-28 16:49:03,Lime,Lime // Hybrid (new+repeat loans),4142862,500,3PFZ1ViV2QZ5ohc,,5eDh,CITYADS
54,2021-11-28 15:42:01,Lime,Lime // Hybrid (new+repeat loans),5789814,4500,3PFZ1ViTLIZ5iQB,,4QCp,CITYADS
55,2021-11-28 15:40:21,Konga,Konga CPA,1931953,2400,7WWZ1ViTJcZ5jjc,,Elkzp0,CITYADS
56,2021-11-28 15:09:29,Lime,Lime // Hybrid (new+repeat loans),5508314,500,3PFZ1ViTpHZvILL,,4QCp,CITYADS
57,2021-11-28 14:01:30,Konga,Konga // Hybrid (new+repeat loans),1931691,2400,99XZ1ViS7lZiC8V,,5Fpi,CITYADS
58,2021-11-28 12:01:48,Lime,Lime // Hybrid (new+repeat loans),5417244,500,3PFZ1ViQqeZ9HNv,,5eDh,CITYADS
59,2021-11-28 11:40:28,Lime,Lime // Hybrid (new+repeat loans),5796660,4500,3PFZ1ViPLLZeclQ,,4QCp,CITYADS
60,2021-11-28 10:19:42,Lime,Lime // Hybrid (new+repeat loans),5661324,3000,3PFZ1ViOs8ZiAJ5,,4QCp,CITYADS
