,ts,project,offer_title,goal_name,goal_id,payouts,sub1,sub2,sub3,sub4,sub5,sub6,affiliate
0,2021-11-10 13:04:10,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5727449,4500,,b3o4s1y39ojrcuxy0s524c7vos79hoxa,174,,,,CLICK2MONEY
1,2021-11-10 13:00:59,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5727353,3000,,3ndow2vsiwpjgxd1eux5zyus389ntync,2700,,,,CLICK2MONEY
2,2021-11-10 12:47:07,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5727357,4500,,azj2iguufz1quxxifzoubaknsnus9376,2700,,,,CLICK2MONEY
3,2021-11-10 12:45:20,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5727407,3000,,jaesyazy5a27dq0c8cvlfgilq8th6qng,2700,,,,CLICK2MONEY
4,2021-11-10 12:44:06,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5283148,3000,,3st5g0jpz4lzxfo4ljgiyl38oo2iwcar,2700,,,,CLICK2MONEY
5,2021-11-10 12:43:18,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5694898,4500,,yendo4ztu9j5s9ehwgl4yvqio8cefd2p,5512,,,,CLICK2MONEY
6,2021-11-10 12:03:02,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5546276,4500,,qgehfo6c9bih0ykrsw09xa199fu8phxa,2700,,,,CLICK2MONEY
7,2021-11-10 12:00:44,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5596614,3000,,662mzm64yhdzy4sxrk7rn377m241bkgh,174,,,,CLICK2MONEY
8,2021-11-10 11:57:35,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5642763,500,,tbprjxnlknzhuztarvqle26w01nlnh6g,174,,,,CLICK2MONEY
9,2021-11-10 11:51:39,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5595356,3000,,00jvbrkwifit5i09sa5ybss7v7aoz6gb,174,,,,CLICK2MONEY
10,2021-11-10 11:44:39,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5581480,4500,,frglhk0mjney0hr1nkztx5j3fen0ix8d,174,,,,CLICK2MONEY
11,2021-11-10 11:44:22,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5600761,500,,29qg29ev5gzbjs6p42czyp23ekntvklg,174,,,,CLICK2MONEY
12,2021-11-10 11:31:14,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5725894,3000,,7muyqy2x2ikuqpyte6by2joox1s0fz6u,174,,,,CLICK2MONEY
13,2021-11-10 11:11:59,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5642753,3000,,syfn0t5bomceg4bxnjjdbrarei3biiex,174,,,,CLICK2MONEY
14,2021-11-10 11:00:05,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5726982,3000,,6n0v1a9e0k40pqd4fywe4mms7esgooll,174,,,,CLICK2MONEY
15,2021-11-10 10:37:11,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5726822,4500,,bvrpfjais7q0w3raclu10jxri8qzs9ou,174,,,,CLICK2MONEY
16,2021-11-10 10:34:44,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5726839,4500,,657qjjdoaei1aukkj6zfnpbrttzeb9my,174,,,,CLICK2MONEY
17,2021-11-10 10:26:50,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5726829,3000,,76ji6pquzplbx4tt5ven5xmblw4jobte,2700,,,,CLICK2MONEY
