,ts,project,offer_title,goal_id,payouts,sub1,sub2,sub3,affiliate
0,2021-11-30 17:10:58,Lime,Lime // Hybrid (new+repeat loans),5481405,3000,,bus,,FINPUBLIC
1,2021-11-30 15:51:02,Lime,Lime // Hybrid (new+repeat loans),5808066,4500,zs,,,FINPUBLIC
2,2021-11-30 12:41:08,Lime,Lime // Hybrid (new+repeat loans),5806900,3000,,bus,,FINPUBLIC
3,2021-11-30 05:06:26,Lime,Lime // Hybrid (new+repeat loans),5805474,3000,,bus,,FINPUBLIC
4,2021-11-30 04:31:03,Lime,Lime // Hybrid (new+repeat loans),5692605,500,,bus,,FINPUBLIC
5,2021-11-30 00:16:03,Lime,Lime // Hybrid (new+repeat loans),5678703,500,,bus,,FINPUBLIC
6,2021-11-29 23:18:36,Lime,Lime // Hybrid (new+repeat loans),5804989,4500,zs,,,FINPUBLIC
7,2021-11-29 23:02:06,Lime,Lime // Hybrid (new+repeat loans),5804860,3000,zs,,,FINPUBLIC
8,2021-11-29 22:34:31,Lime,Lime // Hybrid (new+repeat loans),4590526,4500,,bus,,FINPUBLIC
9,2021-11-29 15:34:48,Lime,Lime // Hybrid (new+repeat loans),5802677,4500,,bus,,FINPUBLIC
10,2021-11-29 14:04:26,Lime,Lime // Hybrid (new+repeat loans),5735342,3000,,bus,,FINPUBLIC
11,2021-11-29 13:36:48,Lime,Lime // Hybrid (new+repeat loans),5802236,4500,,bus,,FINPUBLIC
12,2021-11-29 11:18:52,Lime,Lime // Hybrid (new+repeat loans),5801484,3000,zs,,,FINPUBLIC
13,2021-11-29 03:32:47,Lime,Lime // Hybrid (new+repeat loans),5796554,500,zs,,,FINPUBLIC
14,2021-11-29 01:11:54,Lime,Lime // Hybrid (new+repeat loans),5795879,3000,,bus,,FINPUBLIC
15,2021-11-28 21:51:31,Lime,Lime // Hybrid (new+repeat loans),5799552,3000,,bus,,FINPUBLIC
16,2021-11-28 16:04:41,Lime,Lime // Hybrid (new+repeat loans),5791074,4500,,bus,,FINPUBLIC
17,2021-11-28 14:14:34,Konga,Konga // Hybrid (new+repeat loans),1817326,2400,zs,,,FINPUBLIC
18,2021-11-28 11:52:44,Lime,Lime // Hybrid (new+repeat loans),5796690,4500,,bus,,FINPUBLIC
19,2021-11-28 11:26:42,Lime,Lime // Hybrid (new+repeat loans),5796554,3000,zs,,,FINPUBLIC
20,2021-11-28 10:52:33,Lime,Lime // Hybrid (new+repeat loans),5738435,500,,,om,FINPUBLIC
21,2021-11-28 10:43:07,Lime,Lime // Hybrid (new+repeat loans),5684705,3000,,bus,,FINPUBLIC
22,2021-11-28 06:31:15,Lime,Lime // Hybrid (new+repeat loans),2885287,500,,bus,,FINPUBLIC
23,2021-11-28 05:29:51,Lime,Lime // Hybrid (new+repeat loans),5766668,500,,bus,,FINPUBLIC
24,2021-11-27 20:24:44,Lime,Lime // Hybrid (new+repeat loans),5633178,3000,zs,,,FINPUBLIC
25,2021-11-27 20:21:03,Lime,Lime // Hybrid (new+repeat loans),5742464,500,,bus,,FINPUBLIC
26,2021-11-27 18:41:52,Lime,Lime // Hybrid (new+repeat loans),5793262,4500,zs,,,FINPUBLIC
27,2021-11-27 12:12:43,Lime,Lime // Hybrid (new+repeat loans),3562395,3000,zs,,,FINPUBLIC
28,2021-11-27 04:44:14,Lime,Lime // Hybrid (new+repeat loans),5743241,500,zs,,,FINPUBLIC
29,2021-11-27 00:39:31,Lime,Lime // Hybrid (new+repeat loans),5749553,500,zs,,,FINPUBLIC
30,2021-11-27 00:24:14,Lime,Lime // Hybrid (new+repeat loans),5787316,500,,bus,,FINPUBLIC
31,2021-11-26 22:43:44,Lime,Lime // Hybrid (new+repeat loans),5790178,4500,,bus,,FINPUBLIC
32,2021-11-26 22:10:01,Lime,Lime // Hybrid (new+repeat loans),2900838,4500,zs,,,FINPUBLIC
33,2021-11-26 18:40:12,Lime,Lime // Hybrid (new+repeat loans),5789343,4500,,bus,,FINPUBLIC
34,2021-11-26 18:02:01,Lime,Lime // Hybrid (new+repeat loans),5789153,3000,,bus,,FINPUBLIC
35,2021-11-26 15:28:35,Lime,Lime // Hybrid (new+repeat loans),5689258,500,,bus,,FINPUBLIC
36,2021-11-26 13:01:59,Lime,Lime // Hybrid (new+repeat loans),5787606,4500,,,om,FINPUBLIC
37,2021-11-26 11:45:35,Lime,Lime // Hybrid (new+repeat loans),5657523,500,,bus,,FINPUBLIC
38,2021-11-26 06:10:54,Lime,Lime // Hybrid (new+repeat loans),5786206,3000,,bus,,FINPUBLIC
39,2021-11-25 17:59:06,Lime,Lime // Hybrid (new+repeat loans),5713939,500,,bus,,FINPUBLIC
40,2021-11-25 17:14:48,Lime,Lime // Hybrid (new+repeat loans),5782151,4500,,bus,,FINPUBLIC
41,2021-11-25 16:38:52,Lime,Lime // Hybrid (new+repeat loans),5783897,3000,,bus,,FINPUBLIC
42,2021-11-25 16:26:01,Konga,Konga // Hybrid (new+repeat loans),1633801,300,zs,,,FINPUBLIC
43,2021-11-25 15:08:30,Lime,Lime // Hybrid (new+repeat loans),5647567,3000,zs,,,FINPUBLIC
44,2021-11-25 12:52:47,Lime,Lime // Hybrid (new+repeat loans),5688762,3000,zs,,,FINPUBLIC
