,ts,project,offer_title,goal_id,payouts,sub1,sub2,sub3,affiliate
0,2021-11-30 22:40:35,Lime,Lime // Hybrid (new+repeat loans),5656357,500,3PATab,,,KIPNET
1,2021-11-30 16:01:45,Lime,Lime // Hybrid (new+repeat loans),5808047,4500,usOSab,,,KIPNET
2,2021-11-30 14:55:12,Lime,Lime // Hybrid (new+repeat loans),5237309,500,CNfRab,,,KIPNET
3,2021-11-30 14:09:39,Lime,Lime // Hybrid (new+repeat loans),5410380,3000,VUpMab,,,KIPNET
4,2021-11-30 13:13:51,Lime,Lime // Hybrid (new+repeat loans),5793830,500,YJATab,,,KIPNET
5,2021-11-30 12:53:18,Lime,Lime // Hybrid (new+repeat loans),5789600,4500,qM1Rab,,,KIPNET
6,2021-11-30 11:24:57,Lime,Lime // Hybrid (new+repeat loans),4322512,500,PJqTab,,,KIPNET
7,2021-11-30 08:35:11,Lime,Lime // Hybrid (new+repeat loans),5763297,500,K1SPab,,,KIPNET
8,2021-11-30 07:01:02,Lime,Lime // Hybrid (new+repeat loans),5511614,500,An6Tab,,,KIPNET
9,2021-11-30 01:51:38,Lime,Lime // Hybrid (new+repeat loans),3579614,500,cBfRab,,,KIPNET
10,2021-11-29 21:06:25,Konga,Konga // Hybrid (new+repeat loans),1935084,2400,mlNUab,,,KIPNET
11,2021-11-29 20:53:16,Lime,Lime // Hybrid (new+repeat loans),5621767,3000,xvIQab,,,KIPNET
12,2021-11-29 17:46:20,Lime,Lime // Hybrid (new+repeat loans),5368866,4500,HGTPab,,,KIPNET
13,2021-11-29 17:31:55,Lime,Lime // Hybrid (new+repeat loans),5518783,500,KK6Tab,,,KIPNET
14,2021-11-29 16:38:03,Lime,Lime // Hybrid (new+repeat loans),5803433,4500,yx7Tab,,,KIPNET
15,2021-11-29 16:31:05,Lime,Lime // Hybrid (new+repeat loans),5093636,500,xt6Tab,,,KIPNET
16,2021-11-29 16:16:38,Lime,Lime // Hybrid (new+repeat loans),5408305,3000,JN6Tab,,,KIPNET
17,2021-11-29 10:03:01,Lime,Lime // Hybrid (new+repeat loans),5801103,4500,QbWRab,,,KIPNET
18,2021-11-29 09:41:49,Lime,Lime // Hybrid (new+repeat loans),5607071,4500,EhpTab,,,KIPNET
19,2021-11-29 06:40:13,Lime,Lime // Hybrid (new+repeat loans),5437132,4500,aeATab,,,KIPNET
20,2021-11-29 06:32:05,Lime,Lime // Hybrid (new+repeat loans),5798595,3000,eRrSab,,,KIPNET
21,2021-11-29 05:52:50,Lime,Lime // Hybrid (new+repeat loans),4690437,3000,aMoSab,,,KIPNET
22,2021-11-29 03:23:39,Lime,Lime // Hybrid (new+repeat loans),5518143,500,v8NSab,,,KIPNET
23,2021-11-28 17:36:07,Lime,Lime // Hybrid (new+repeat loans),5798486,3000,qENSab,,,KIPNET
24,2021-11-28 17:31:54,Lime,Lime // Hybrid (new+repeat loans),5798728,3000,urpTab,,,KIPNET
25,2021-11-28 17:17:35,Lime,Lime // Hybrid (new+repeat loans),5798424,3000,XlATab,,,KIPNET
26,2021-11-28 17:14:11,Lime,Lime // Hybrid (new+repeat loans),4907784,3000,xZfRab,,,KIPNET
27,2021-11-28 16:44:16,Lime,Lime // Hybrid (new+repeat loans),5798529,4500,TlATab,,,KIPNET
28,2021-11-28 16:25:56,Lime,Lime // Hybrid (new+repeat loans),5668900,4500,MnATab,,,KIPNET
29,2021-11-28 16:21:52,Lime,Lime // Hybrid (new+repeat loans),5285084,4500,w8pTab,,,KIPNET
30,2021-11-28 13:47:32,Lime,Lime // Hybrid (new+repeat loans),5797504,3000,h2sSab,,,KIPNET
31,2021-11-28 13:14:53,Lime,Lime // Hybrid (new+repeat loans),5797261,3000,s4tSab,,,KIPNET
32,2021-11-28 12:25:02,Lime,Lime // Hybrid (new+repeat loans),5149904,500,SVnSab,,,KIPNET
33,2021-11-28 11:31:09,Lime,Lime // Hybrid (new+repeat loans),5537782,3000,ZjPSab,,,KIPNET
34,2021-11-28 09:43:31,Lime,Lime // Hybrid (new+repeat loans),5496747,3000,yauSab,,,KIPNET
35,2021-11-28 09:27:50,Lime,Lime // Hybrid (new+repeat loans),5796018,4500,wBNSab,,,KIPNET
36,2021-11-28 08:44:36,Lime,Lime // Hybrid (new+repeat loans),5703418,500,CePSab,,,KIPNET
37,2021-11-28 07:54:52,Lime,Lime // Hybrid (new+repeat loans),5784618,500,8WtSab,,,KIPNET
38,2021-11-28 07:37:22,Lime,Lime // Hybrid (new+repeat loans),5747056,500,mSSPab,,,KIPNET
39,2021-11-28 01:56:12,Lime,Lime // Hybrid (new+repeat loans),5605487,500,StNSab,,,KIPNET
40,2021-11-28 00:13:56,Lime,Lime // Hybrid (new+repeat loans),5593988,500,AROSab,,,KIPNET
41,2021-11-27 23:34:56,Lime,Lime // Hybrid (new+repeat loans),5734562,4500,E40Sab,,,KIPNET
42,2021-11-27 22:55:41,Lime,Lime // Hybrid (new+repeat loans),5794834,4500,wAOSab,,,KIPNET
43,2021-11-27 21:37:40,Lime,Lime // Hybrid (new+repeat loans),5794534,4500,R30Sab,,,KIPNET
44,2021-11-27 20:28:42,Lime,Lime // Hybrid (new+repeat loans),5794368,3000,4hPSab,,,KIPNET
45,2021-11-27 20:21:06,Lime,Lime // Hybrid (new+repeat loans),5498191,3000,nxNSab,,,KIPNET
46,2021-11-27 20:10:16,Lime,Lime // Hybrid (new+repeat loans),5794340,4500,J4OSab,,,KIPNET
47,2021-11-27 18:52:26,Lime,Lime // Hybrid (new+repeat loans),5637666,4500,RYNSab,,,KIPNET
48,2021-11-27 18:41:43,Lime,Lime // Hybrid (new+repeat loans),5653835,3000,WaPSab,,,KIPNET
49,2021-11-27 18:26:42,Lime,Lime // Hybrid (new+repeat loans),5419769,3000,1HNSab,,,KIPNET
50,2021-11-27 18:03:43,Lime,Lime // Hybrid (new+repeat loans),5793892,4500,GLoSab,,,KIPNET
51,2021-11-27 17:48:48,Lime,Lime // Hybrid (new+repeat loans),5341027,500,qWFSab,,,KIPNET
52,2021-11-27 17:27:49,Lime,Lime // Hybrid (new+repeat loans),4797982,500,EyGPab,,,KIPNET
