,ts,project,offer_title,goal_id,payouts,sub1,sub2,sub3,affiliate
0,2021-11-30 23:12:09,Lime,Lime // Hybrid (new+repeat loans),5809685,4500,152fqltbnkbl,,,KOSMOS
1,2021-11-30 23:12:07,Lime,Lime // Hybrid (new+repeat loans),5809838,4500,vkurojbnljd,,,KOSMOS
2,2021-11-30 22:52:42,Lime,Lime // Hybrid (new+repeat loans),5809617,3000,139s86mbnjvb,,,KOSMOS
3,2021-11-30 22:49:29,Lime,Lime // Hybrid (new+repeat loans),5809811,4500,3pif60obnla0,,,KOSMOS
4,2021-11-30 22:45:49,Lime,Lime // Hybrid (new+repeat loans),5809756,4500,2c53fl9bnl0d,,,KOSMOS
5,2021-11-30 22:23:28,Lime,Lime // Hybrid (new+repeat loans),5728047,3000,1vb4j1cbnkp1,,,KOSMOS
6,2021-11-30 21:33:21,Lime,Lime // Hybrid (new+repeat loans),5809579,4500,2p91t67bnjp7,,,KOSMOS
7,2021-11-30 20:49:11,Lime,Lime // Hybrid (new+repeat loans),5809466,4500,2qh7432bnil7,,,KOSMOS
8,2021-11-30 20:15:16,Lime,Lime // Hybrid (new+repeat loans),5809256,4500,2e42nvqbmv9c,,,KOSMOS
9,2021-11-30 19:07:47,Lime,Lime // Hybrid (new+repeat loans),5751965,4500,2ui3b47bnb7o,,,KOSMOS
10,2021-11-30 19:02:00,Lime,Lime // Hybrid (new+repeat loans),5809034,4500,stpfmvbnff8,,,KOSMOS
11,2021-11-30 18:51:30,Lime,Lime // Hybrid (new+repeat loans),5808977,4500,2pvqb23bnf2d,,,KOSMOS
12,2021-11-30 18:43:07,Lime,Lime // Hybrid (new+repeat loans),5762647,3000,2j9okjubncns,,,KOSMOS
13,2021-11-30 18:21:19,Lime,Lime // Hybrid (new+repeat loans),5722404,500,3rfvm92bkcbi,,,KOSMOS
14,2021-11-30 18:03:59,Lime,Lime // Hybrid (new+repeat loans),5808699,4500,2jq9it0bndng,,,KOSMOS
15,2021-11-30 17:57:16,Lime,Lime // Hybrid (new+repeat loans),5808713,3000,3ql7q1kbncvo,,,KOSMOS
