,ts,project,offer_title,goal_id,payouts,sub1,sub2,sub3,affiliate
0,2021-11-29 20:31:43,Lime,Lime CPA,5804498,4500,7726197718540d83264a3e383ddd38jo,,CrazyWolf,MASTERTARGET
1,2021-11-27 22:43:50,Lime,Lime CPA,3990907,4500,7afc1800dbb0efa55a5dmpLcbMXI8uoo,,gogogo,MASTERTARGET
2,2021-11-27 11:56:47,Lime,Lime CPA,5791951,3000,0492236035f801e405d1755c7c30cO9Z,,CrazyWolf,MASTERTARGET
3,2021-11-26 13:06:18,Lime,Lime CPA,5727631,3000,38c88cae6059b9d8ba41ekRPgNouTEHZ,,maximedia,MASTERTARGET
4,2021-11-26 11:39:25,Lime,Lime CPA,5787185,4500,46906583d226422f5de2e40480BcWvbz,,CrazyWolf,MASTERTARGET
5,2021-11-25 18:28:17,Lime,Lime CPA,5784640,4500,34006eebbf2ca3b69a03f00qC39NO0jT,,maximedia,MASTERTARGET
6,2021-11-23 06:06:10,Lime,Lime CPA,5773186,4500,a8202fe541efee798ec862e875e8egfD,,usbfan,MASTERTARGET
7,2021-11-20 19:07:37,Lime,Lime CPA,5660749,4500,0e30acca19d7d869308154d78cdXNuUd,,maximedia,MASTERTARGET
8,2021-11-20 05:21:47,Lime,Lime CPA,5760840,3000,07ea4d1dd349a132ff154b02c32z4Yk0,,gogogo,MASTERTARGET
9,2021-11-19 15:54:22,Lime,Lime CPA,5758966,4500,9cbd97482c2a06b9e762dbdXsEHOcxC6,,credit4you,MASTERTARGET
10,2021-11-18 23:14:00,Lime,Lime CPA,5223780,3000,22a33f0edf2114b48a072b0e58e6c9cL,,gogogo,MASTERTARGET
11,2021-11-17 12:54:57,Lime,Lime CPA,5751066,3000,a4509e5e3024f10da2d31f618h1kb7wC,,usbfan,MASTERTARGET
12,2021-11-17 07:13:54,Lime,Lime CPA,5750002,4500,82e71039962cb4dc8c1a10863d06fAmb,,maximedia,MASTERTARGET
13,2021-11-13 15:09:20,Lime,Lime CPA,5738164,4500,f46ca2e9d62e22aa3715a4dde0Ur2lVZ,,gogogo,MASTERTARGET
14,2021-11-11 19:17:08,Lime,Lime CPA,5732336,4500,5e0b54b7d983db367f89bZVVQTyMDSF0,,maximedia,MASTERTARGET
15,2021-11-06 15:38:11,Lime,Lime CPA,5711025,3000,aff517fffe6b54a3b971168RUC1NE0II,,CrazyWolf,MASTERTARGET
16,2021-11-05 10:40:10,Lime,Lime CPA,5705608,4500,1f7c033b61af82ffd19a7e46bab5ac7J,,maximedia,MASTERTARGET
17,2021-11-04 12:44:20,Lime,Lime CPA,5702198,4500,20b5f6d6d5e3cf0920a8RpaX3dghBzCW,,credit4you,MASTERTARGET
