,ts,project,offer_title,goal_id,payouts,sub1,sub2,sub3,affiliate
0,2021-11-29 14:21:30,Lime,Lime // Hybrid (new+repeat loans),5802574,4500,a14eeaca-70ba-5abe-84de-c1aa7b37edc5,,2660,REGBET
1,2021-11-29 10:23:50,Lime,Lime // Hybrid (new+repeat loans),5800985,3000,73f41a13-9d8b-522d-9413-3b5a1322e86a,,2660,REGBET
2,2021-11-26 13:33:33,Lime,Lime // Hybrid (new+repeat loans),5041555,4500,a6f860d1-d057-50e4-8d71-9917819b20c4,,2660,REGBET
3,2021-11-26 13:17:57,Lime,Lime // Hybrid (new+repeat loans),5734861,500,f1db76f8-d4b8-5575-8f33-05bf2115f46f,,2660,REGBET
4,2021-11-26 08:15:40,Konga,Konga // Hybrid (new+repeat loans),1871216,2400,5d9b2c37-c983-5626-bbc4-a839808575cf,,2660,REGBET
5,2021-11-25 19:50:07,Konga,Konga // Hybrid (new+repeat loans),1923513,2400,56eeebbd-3e3d-5560-a1f5-4b630c41edc9,,2660,REGBET
6,2021-11-25 09:59:03,Lime,Lime // Hybrid (new+repeat loans),5782025,4500,19111417-a786-5b8e-a0dd-be477f7bffb8,,2660,REGBET
7,2021-11-25 06:30:52,Konga,Konga // Hybrid (new+repeat loans),1858278,2400,aca3c4ef-6b0d-5972-8bdf-1ecbc2d6b926,,2660,REGBET
8,2021-11-24 13:46:59,Konga,Konga // Hybrid (new+repeat loans),1866808,2400,f184fc85-b126-5d74-ae41-3d5f48588c55,,2660,REGBET
9,2021-11-21 08:23:24,Lime,Lime // Hybrid (new+repeat loans),5298242,500,bea6b5c2-f7a4-5147-beb4-83008a94e7f7,,2660,REGBET
10,2021-11-20 15:56:37,Lime,Lime // Hybrid (new+repeat loans),5763078,4500,57911e6a-ff7d-572f-8d55-83c79cf3c42b,,2660,REGBET
11,2021-11-19 09:33:32,Konga,Konga // Hybrid (new+repeat loans),1446921,2400,6949c5ff-ff55-58d1-b8a7-1bcda2f0aec0,,2660,REGBET
12,2021-11-18 17:54:45,Lime,Lime // Hybrid (new+repeat loans),5657170,500,7687bdde-3388-5716-8d0a-5595a46210be,,1738,REGBET
13,2021-11-18 13:39:25,Lime,Lime // Hybrid (new+repeat loans),5236034,500,18b2da6d-9664-578c-8857-ab2770fdfc74,,2660,REGBET
14,2021-11-18 08:37:12,Lime,Lime // Hybrid (new+repeat loans),5710004,4500,11fa41b3-9d21-51ef-8743-c42235ffac65,,1417,REGBET
