,ts,project,offer_title,goal_name,goal_id,payouts,sub1,sub2,sub3,sub4,sub5,sub6,affiliate
0,2021-11-10 11:35:49,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,3022648,500,ace30ad9fd782719ea2782c1beb1e8df,,17089,,,,UNICOM24
1,2021-11-10 07:59:06,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5525443,4500,b1d208399f99025c58c7b626ebe81dbf,,16110,,,,UNICOM24
2,2021-11-09 22:08:40,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1894399,2400,acf25375ad6e37c8b3dca0e489a083af,,175679,,,,UNICOM24
3,2021-11-09 21:13:15,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1894351,2400,95a0cffa81c8200ada66afcd3ebeb8ec,,175679,,,,UNICOM24
4,2021-11-09 18:50:52,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1894228,2400,b9406e85a5d1aa5daa21b9a1bf88de86,,1,,,,UNICOM24
5,2021-11-09 12:46:13,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1892951,2400,e51ff3fda6585bf3ff6174c4c7372771,,1,,,,UNICOM24
6,2021-11-09 11:06:06,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5722319,4500,c6b41c4c1683ba7ddb445b62670f8f12,,175698,,,,UNICOM24
7,2021-11-09 09:17:10,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5722315,3000,b748227ce204395a83fcdc5c268d64ca,,176704,,,,UNICOM24
8,2021-11-09 09:07:12,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,4720968,500,87c194933981c110b400798564f15aad,,1,,,,UNICOM24
9,2021-11-09 08:44:17,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5722199,3000,531848020b2f79bdd84eec8ed2498de5,,175808,,,,UNICOM24
10,2021-11-08 23:29:43,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5682021,3000,d2595036285468a6ade7a75679c727e2,,179945,,,,UNICOM24
11,2021-11-08 12:09:17,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5371149,3000,3c6718b910af3ff1656316e55feeb041,,41476,,,,UNICOM24
12,2021-11-08 10:42:31,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5518470,500,25d4c07b898e743477f712393e840757,,41476,,,,UNICOM24
13,2021-11-07 17:41:23,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5716325,3000,0ae475c693f24e5c7b1b5c2be7cf2b01,,16201,,,,UNICOM24
14,2021-11-07 16:53:16,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1781969,2400,7eaba81363d63c2be4f5765a4a3d5e44,,1,,,,UNICOM24
15,2021-11-07 15:41:53,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5715760,4500,c7495770cf9420067f937e89cc53ec4f,,16109,,,,UNICOM24
16,2021-11-07 10:15:28,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5714165,4500,f53f378768fb12f48b8309dbfa186f4b,,41476,,,,UNICOM24
17,2021-11-06 23:06:56,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1889628,2400,1ff2aedff6c6af3406f661d6a491507a,,175679,,,,UNICOM24
18,2021-11-06 16:48:14,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5711773,4500,ffd5010d951029f2de5af6d67c362186,,179672,,,,UNICOM24
19,2021-11-06 13:02:47,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,4629719,3000,815d53aa1cc4c2ac09c7b7807cf4b308,,20866,,,,UNICOM24
