,ts,project,offer_title,goal_name,goal_id,payouts,sub1,sub2,sub3,sub4,sub5,sub6,affiliate
0,2021-10-31 13:05:05,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5686095,3000,e92961f68c4af845c5553be3e60a4933,,887781,,,,ADMITAD
1,2021-10-31 01:28:31,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5684442,3000,bf33576547c3aa48bff35250759686eb,,44143,,,,ADMITAD
2,2021-10-31 00:55:46,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5647724,500,bf33576547c3aa48bff35250759686eb,,44143,,,,ADMITAD
3,2021-10-30 14:55:41,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5426479,500,34bd49a47a58937e70c6a3044246f39f,,843361,,,,ADMITAD
4,2021-10-30 11:20:26,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5681504,4500,8e57c4a1727433e19b917f752758752d,,1055604,,,,ADMITAD
5,2021-10-29 19:16:37,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5679809,4500,81aff44b3adc6837e7c40f1c4a6d91e3,,46910,,,,ADMITAD
6,2021-10-29 17:49:21,Konga,Konga CPA,Займ отличный,1876649,2400,a877accc28a47b41cb6135af524544d6,,1055604,,,,ADMITAD
7,2021-10-29 17:45:17,Konga,Konga CPA,Займ отличный,1844531,2400,18b22e99c0d5d52765f668cf402c4fb5,,177921,,,,ADMITAD
8,2021-10-28 19:23:45,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5675764,3000,59e7046decdcecfd08fc3f3d98f1d98d,,44143,,,,ADMITAD
9,2021-10-28 07:06:08,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5632717,3000,8a8b5c5ae7728fbfd8bae8df479f747b,,329662,,,,ADMITAD
10,2021-10-27 04:14:48,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5098506,3000,6ccb32528b041334fb333db05e6a28bd,,1630368,,,,ADMITAD
11,2021-10-26 22:12:57,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,4772349,500,ce7918f5191d05ab1bdf701593555736,,1059687,,,,ADMITAD
12,2021-10-26 19:16:41,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5668544,4500,7d109e1e5b297e4c77c39a3ef937a589,,1236812,,,,ADMITAD
13,2021-10-25 21:23:28,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,1941715,500,d61263af87f52081d6455b6dfcf8a850,,843361,,,,ADMITAD
14,2021-10-25 17:07:53,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5406318,500,5fd91c9ef4d342a9509b5d7796f4926c,,466174,,,,ADMITAD
15,2021-10-25 16:45:52,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5237729,500,5fd91c9ef4d342a9509b5d7796f4926c,,466174,,,,ADMITAD
16,2021-10-25 16:16:57,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5664256,3000,99a6e578cfc2974cb6d3f3414b418e0c,,887781,,,,ADMITAD
17,2021-10-23 13:34:41,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5657063,4500,f7b7582c7d7448f65dd466320790a23a,,887781,,,,ADMITAD
18,2021-10-22 15:36:02,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5654312,3000,cacc2d0cac9af397bc56c29073a2c301,,1630368,,,,ADMITAD
19,2021-10-20 03:00:12,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5492293,3000,27de41dfb6cd55b90203c937d496ff0b,,889145,,,,ADMITAD
20,2021-10-19 11:34:04,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5639171,3000,a7830dfcc04a9039a6a355c0915b01b9,,1576311,,,,ADMITAD
21,2021-10-19 04:28:38,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5541570,3000,bed640b985a36e6d1cd0ed0fb94706be,,177921,,,,ADMITAD
22,2021-10-18 13:21:02,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5639541,4500,827844e7b53caf824ced4e3e82908694,,1416705,,,,ADMITAD
23,2021-10-17 16:27:32,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5549556,4500,667c4e124f8deb3a9fae3d4728266357,,177921,,,,ADMITAD
24,2021-10-17 15:47:22,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5537071,500,f56821dfc90d4c247d4f23a61ee8b26b,,177921,,,,ADMITAD
25,2021-10-17 14:09:00,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5629453,500,5c32df2d6ef7f4f52586b49b5a35db25,,329662,,,,ADMITAD
26,2021-10-16 15:39:09,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5593709,500,72fb90169f87c84d58a8a80c96398efc,,244425,,,,ADMITAD
27,2021-10-16 07:30:14,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5633315,4500,012a2beff881ebcd16ef7051e70ee932,,329662,,,,ADMITAD
28,2021-10-16 04:31:43,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5622094,4500,1a5938343e227f93a7e24f5afad3d55b,,329662,,,,ADMITAD
29,2021-10-15 23:19:10,Lime,Lime CPA,Займ отличный,5189887,4500,a19c1c5c56ef2ec25156cd9f843797ec,,442763,,,,ADMITAD
30,2021-10-15 22:24:48,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5349552,500,9bba45e49c0db9fd44f8a9a3872c6b9d,,1055604,,,,ADMITAD
31,2021-10-15 17:03:55,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,4718361,500,4a072c6c7cf364848d4ba1e312be177a,,52519,,,,ADMITAD
32,2021-10-15 15:05:56,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5629521,4500,508a27da8c124c1d2b08584c5fc4481d,,1055604,,,,ADMITAD
33,2021-10-15 11:57:08,Konga,Konga CPA,Займ отличный,1846978,2400,858130f5bd97e0f71cee952569196df7,,1512587,,,,ADMITAD
34,2021-10-14 21:32:51,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5630004,4500,3f725b0fab3f789b9aa9caf09a95846f,,312995,,,,ADMITAD
35,2021-10-14 16:53:57,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5629453,3000,4db600f6b566799f045f644bb2296b15,,329662,,,,ADMITAD
36,2021-10-14 15:11:15,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5629124,3000,652b83d0e23115f354bc90abccfd39cb,,1055604,,,,ADMITAD
37,2021-10-14 10:05:37,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5400332,500,67b426934f035d966dbfdfbc144d4649,,1768636,,,,ADMITAD
38,2021-10-14 08:50:30,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5465669,3000,0b39b3d31d315847b1fb0cace1ceea6c,,1543810,,,,ADMITAD
39,2021-10-13 14:51:25,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5573397,500,1d23192c5a48d73d3ac01cd4f8187762,,1425871,,,,ADMITAD
40,2021-10-13 14:25:57,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5578838,500,ffb17796d98cdf76db06b549d191bbad,,88619,,,,ADMITAD
41,2021-10-13 13:55:58,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5044335,500,950b33d7e4c53b5f4a8a302aa412c534,,88619,,,,ADMITAD
42,2021-10-13 05:19:58,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,4177397,500,032aee6600ed47e4293a328a495d7ef4,,1146051,,,,ADMITAD
43,2021-10-11 00:06:30,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5519534,500,a5420d5fc85f6df0bd0e679d180e1d00,,889145,,,,ADMITAD
44,2021-10-09 18:59:23,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5331969,500,00760c93cf09b731c3ef78bd2f6a6115,,1055604,,,,ADMITAD
45,2021-10-09 18:49:50,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5546657,500,6a235e8bcdd541f35d8291eb8a403a3f,,1648040,,,,ADMITAD
