,ts,project,offer_title,goal_name,goal_id,payouts,sub1,sub2,sub3,sub4,sub5,sub6,affiliate
0,2021-10-31 21:27:58,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5580080,3000,d31,q2,,,,,ARHIP
1,2021-10-31 19:19:49,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5486926,3000,d31,q2,,,,,ARHIP
2,2021-10-31 19:14:34,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5580486,3000,d31,q2,,,,,ARHIP
3,2021-10-31 17:47:34,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5581833,3000,d31,q2,,,,,ARHIP
4,2021-10-31 14:50:36,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5583001,3000,d31,q1,,,,,ARHIP
5,2021-10-31 14:38:29,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5073448,500,d31,q2,,,,,ARHIP
6,2021-10-31 14:35:29,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5179101,500,d31,q2,,,,,ARHIP
7,2021-10-31 14:16:55,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5366324,3000,d31,q1,,,,,ARHIP
8,2021-10-31 13:47:40,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5577297,3000,d32,q1,,,,,ARHIP
9,2021-10-31 13:31:48,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,3476565,500,d32,q1,,,,,ARHIP
10,2021-10-31 12:26:15,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,2543410,3000,d31,q1,,,,,ARHIP
11,2021-10-31 11:59:23,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5583205,3000,d31,q1,,,,,ARHIP
12,2021-10-31 11:44:34,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,4749120,500,d31,q1,,,,,ARHIP
13,2021-10-31 11:03:56,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5528259,500,,,,,,,ARHIP
14,2021-10-31 05:41:05,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,2643559,3000,d31,,,,,,ARHIP
15,2021-10-30 17:02:35,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5338515,3000,d31,q2,,,,,ARHIP
16,2021-10-30 15:52:30,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5213928,4500,d31,q2,,,,,ARHIP
17,2021-10-30 14:52:15,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5455017,3000,d31,q2,,,,,ARHIP
18,2021-10-30 14:43:09,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5571088,4500,d31,q2,,,,,ARHIP
19,2021-10-30 12:57:53,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5341440,3000,d31,q1,,,,,ARHIP
20,2021-10-30 12:05:29,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5031985,500,d31,q1,,,,,ARHIP
21,2021-10-30 12:03:52,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5574794,3000,d31,q1,,,,,ARHIP
