,ts,project,offer_title,goal_name,goal_id,payouts,sub1,sub2,sub3,sub4,sub5,sub6,affiliate
0,2021-10-31 23:50:30,Lime,Lime CPA,Займ отличный,5688209,4500,102104a599f5b37b19f6b027334495,,AFFID,,,,BANKI
1,2021-10-31 23:48:22,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5688258,3000,,,,,,,BANKI
2,2021-10-31 23:34:02,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5614990,500,,,,,,,BANKI
3,2021-10-31 21:53:09,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5566246,4500,,,,,,,BANKI
4,2021-10-31 17:47:56,Konga,Konga CPA,Займ отличный,1879654,2400,102caa0d7d4d731cad650df4c61100,,,,,,BANKI
5,2021-10-31 17:43:45,Lime,Lime CPA,Займ отличный,5686636,4500,1029706fc0fd03d23e37907916dc76,,AFFID,,,,BANKI
6,2021-10-31 17:35:22,Lime,Lime CPA,Займ хороший,5661692,3000,,,,,,,BANKI
7,2021-10-31 17:32:31,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,2118357,3000,,,,,,,BANKI
8,2021-10-31 17:12:20,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,4049002,500,,,,,,,BANKI
9,2021-10-31 16:30:34,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5687072,4500,,,,,,,BANKI
10,2021-10-31 16:21:13,Konga,Konga CPA,Займ отличный,1879518,2400,10257cfca785959a5ea733917282a8,,,,,,BANKI
11,2021-10-31 16:13:52,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5674916,3000,,,,,,,BANKI
12,2021-10-31 16:06:52,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5415542,3000,,,,,,,BANKI
13,2021-10-31 15:39:56,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5686745,3000,,,,,,,BANKI
14,2021-10-31 15:18:34,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5686490,4500,,,,,,,BANKI
15,2021-10-31 15:09:16,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5686625,4500,,,,,,,BANKI
16,2021-10-31 14:52:36,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5686542,3000,,,,,,,BANKI
17,2021-10-31 13:35:55,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5671685,500,,,,,,,BANKI
18,2021-10-31 13:02:34,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5685965,3000,,,,,,,BANKI
19,2021-10-31 12:15:05,Konga,Konga CPA,Займ отличный,1879066,2400,1021959e5e26c3d51186b1e869fa0c,,,,,,BANKI
20,2021-10-31 11:57:10,Konga,Konga CPA,Займ отличный,1878802,2400,102c02fdca819f7358d0ea5a6c2c35,,,,,,BANKI
21,2021-10-31 11:56:10,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5685667,3000,,,,,,,BANKI
22,2021-10-31 11:50:53,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,3863600,4500,,,,,,,BANKI
23,2021-10-31 11:37:30,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5578453,3000,,,,,,,BANKI
24,2021-10-31 11:27:33,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5059752,3000,,,,,,,BANKI
25,2021-10-31 11:19:01,Lime,Lime CPA,Займ хороший,5685585,3000,10222a202394b60798258754801258,,AFFID,,,,BANKI
26,2021-10-31 11:15:48,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5287403,500,,,,,,,BANKI
27,2021-10-31 09:58:58,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,2459183,4500,,,,,,,BANKI
28,2021-10-31 09:24:38,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,4408763,4500,,,,,,,BANKI
29,2021-10-31 09:04:00,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5685078,3000,,,,,,,BANKI
30,2021-10-31 08:01:46,Konga,Konga CPA,Займ отличный,1873467,2400,102bbfe4a982684c0d3ac73c1b7166,,,,,,BANKI
31,2021-10-31 07:12:59,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5396404,3000,,,,,,,BANKI
32,2021-10-31 06:43:24,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5684779,4500,,,,,,,BANKI
33,2021-10-31 06:42:55,Konga,Konga CPA,Займ отличный,1878663,2400,1022e91afed1c330f0b41c4a51d9b0,,,,,,BANKI
34,2021-10-31 06:38:27,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5383913,500,,,,,,,BANKI
35,2021-10-31 05:55:50,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5625100,500,,,,,,,BANKI
36,2021-10-31 04:44:05,Lime,Lime CPA,Займ отличный,5684624,4500,102d565c329aa06e73432dc47365db,,AFFID,,,,BANKI
37,2021-10-31 03:24:25,Lime,Lime CPA,Займ отличный,5684530,4500,102eb53038bd7ad03abf219c0b6c5f,,AFFID,,,,BANKI
38,2021-10-31 03:03:56,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5684535,4500,,,,,,,BANKI
39,2021-10-31 01:52:59,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5684470,3000,,,,,,,BANKI
40,2021-10-31 01:25:15,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5498650,500,,,,,,,BANKI
41,2021-10-31 01:04:31,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5579660,3000,,,,,,,BANKI
42,2021-10-31 00:43:11,Konga,Konga CPA,Займ отличный,1878500,2400,1026b642920709f677df2e61730c30,,,,,,BANKI
43,2021-10-30 22:59:55,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5388168,3000,,,,,,,BANKI
44,2021-10-30 22:59:28,Konga,Konga CPA,Займ отличный,1878442,2400,102a61cd0013df7fc8bafe0e519e2e,,,,,,BANKI
45,2021-10-30 22:54:22,Lime,Lime CPA,Займ хороший,5684209,3000,1025092255d534e0f8e91090e88633,,AFFID,,,,BANKI
46,2021-10-30 18:17:24,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5683451,3000,,,,,,,BANKI
47,2021-10-30 17:20:45,Konga,Konga CPA,Займ отличный,1878027,2400,102f37db3d16aac516178a7eadc850,,,,,,BANKI
48,2021-10-30 16:44:40,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5298325,3000,,,,,,,BANKI
49,2021-10-30 16:07:37,Konga,Konga CPA,Займ отличный,1878015,2400,102d75e2403d7ee174a72772e4081b,,,,,,BANKI
50,2021-10-30 16:00:12,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5682598,3000,,,,,,,BANKI
51,2021-10-30 15:50:28,Konga,Konga CPA,Займ отличный,1877986,2400,1027f50b2d83980372cb7084f79d1d,,,,,,BANKI
52,2021-10-30 14:55:54,Lime,Lime CPA,Займ хороший,5681740,3000,10278bf082778ee803dd64ba32892f,,AFFID,,,,BANKI
53,2021-10-30 14:41:27,Konga,Konga CPA,Займ отличный,1877870,2400,102756f708b9bdfcd803f795b6f6bd,,,,,,BANKI
54,2021-10-30 14:27:55,Lime,Lime CPA,Займ хороший,5682554,3000,1029edae6ab8290a564c94498483b5,,AFFID,,,,BANKI
55,2021-10-30 13:45:26,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5682337,4500,,,,,,,BANKI
56,2021-10-30 13:44:42,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5681884,4500,,,,,,,BANKI
57,2021-10-30 13:42:15,Lime,Lime CPA,Займ хороший,5682332,3000,1024d9bd2d53cfb36f2eee6613597a,,AFFID,,,,BANKI
58,2021-10-30 13:27:05,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5671685,3000,,,,,,,BANKI
59,2021-10-30 13:26:56,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5670406,3000,,,,,,,BANKI
60,2021-10-30 13:14:54,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5682136,4500,,,,,,,BANKI
61,2021-10-30 12:53:31,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,4522688,4500,,,,,,,BANKI
62,2021-10-30 12:38:12,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5473561,500,,,,,,,BANKI
