,ts,project,offer_title,goal_name,goal_id,payouts,sub1,sub2,sub3,sub4,sub5,sub6,affiliate
0,2021-10-31 19:20:35,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1878871,2400,617ec14cf4dba900012a0850,,,,,,BANKIROS
1,2021-10-31 18:37:22,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5390287,500,617eb736f4dba900012a03ef,,,,,,BANKIROS
2,2021-10-31 18:34:46,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5687547,3000,617eb4c7f4dba900012a02f1,,,,,,BANKIROS
3,2021-10-31 15:52:24,Konga,Konga // Hybrid (new+repeat loans),Повторный займ,1583073,300,61759761f4dba9000126153b,,,,,,BANKIROS
4,2021-10-31 14:53:23,Konga,Konga // Hybrid (new+repeat loans),Повторный займ,1784983,300,617e8355f4dba9000129ebde,,,,,,BANKIROS
5,2021-10-31 14:17:04,Konga,Konga // Hybrid (new+repeat loans),Повторный займ,1003645,300,617e7a99f4dba9000129e73a,,,,,,BANKIROS
6,2021-10-31 11:16:05,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5683601,3000,617d682bf4dba90001298e28,,,,,,BANKIROS
7,2021-10-31 09:36:49,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5685001,3000,617dc6daf4dba9000129a82d,,,,,,BANKIROS
8,2021-10-31 09:07:42,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5436328,500,617e31a2f4dba9000129bc79,,,,,,BANKIROS
9,2021-10-31 06:50:23,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5591991,500,617e1085f4dba9000129b34e,,,,,,BANKIROS
10,2021-10-31 00:22:21,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1878485,2400,617db4aff4dba9000129a515,,,,,,BANKIROS
11,2021-10-30 22:59:41,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5684217,4500,617da063f4dba9000129a024,,,,,,BANKIROS
12,2021-10-30 18:33:04,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1447064,2400,617d63d3f4dba90001298cae,,,,,,BANKIROS
13,2021-10-30 13:36:09,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5613672,500,616e14bff4dba9000102599f,,,,,,BANKIROS
14,2021-10-30 11:12:02,Konga,Konga // Hybrid (new+repeat loans),Повторный займ,1255861,300,617cfdcff4dba900012958a8,,,,,,BANKIROS
15,2021-10-30 11:11:05,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5116569,500,617cfd43f4dba90001295818,,,,,,BANKIROS
16,2021-10-30 11:08:50,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5077379,500,617cfd29f4dba900012957fd,,,,,,BANKIROS
17,2021-10-30 09:46:19,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5681120,4500,617cdf0bf4dba90001294b33,,,,,,BANKIROS
18,2021-10-30 09:00:28,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1854684,2400,617ca234f4dba90001293ca5,,,,,,BANKIROS
19,2021-10-30 08:21:38,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1877261,2400,617ccbfff4dba90001294549,,,,,,BANKIROS
20,2021-10-30 07:48:29,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5403832,500,617cc6bff4dba900012943cb,,,,,,BANKIROS
21,2021-10-30 01:38:43,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1877068,2400,617c6254f4dba9000129334c,,,,,,BANKIROS
22,2021-10-30 00:20:24,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5475928,500,6165ccd3f4dba900010441eb,,,,,,BANKIROS
23,2021-10-29 18:25:35,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5390397,500,617c1161f4dba900012915d9,,,,,,BANKIROS
24,2021-10-29 13:43:29,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1597449,2400,617029baf4dba900018d554f,,,,,,BANKIROS
25,2021-10-29 11:25:36,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1875889,2400,617baeaef4dba9000128e052,,,,,,BANKIROS
26,2021-10-29 11:07:17,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1875253,2400,617aed2df4dba9000128a1aa,,,,,,BANKIROS
27,2021-10-29 10:27:20,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5543482,500,617b9f78f4dba9000128d5bc,,,,,,BANKIROS
28,2021-10-29 09:21:53,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,4565128,4500,617b8af7f4dba9000128c6e5,,,,,,BANKIROS
29,2021-10-29 09:18:49,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5637487,500,617b85b1f4dba9000128c372,,,,,,BANKIROS
30,2021-10-29 08:11:05,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5198780,500,617a9675f4dba900012877b9,,,,,,BANKIROS
31,2021-10-29 08:02:04,Konga,Konga // Hybrid (new+repeat loans),Повторный займ,1846784,300,617b7fdff4dba9000128c170,,,,,,BANKIROS
32,2021-10-29 07:38:06,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1739786,2400,617b16c9f4dba9000128ae5f,,,,,,BANKIROS
