,ts,project,offer_title,goal_name,goal_id,payouts,sub1,sub2,sub3,sub4,sub5,sub6,affiliate
0,2021-10-31 23:54:36,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,4563562,4500,3PFZ1V8nK4ZAfng,,4QCp,,,,CITYADS
1,2021-10-31 19:20:08,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,3266088,4500,3PFZ1V8jleZ5nG4,,4QCp,,,,CITYADS
2,2021-10-31 19:13:55,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5522865,4500,3PFZ1V8jelZ5k8c,,4QCp,,,,CITYADS
3,2021-10-31 18:51:10,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5500316,3000,3PFZ1V8g72ZmVfd,,5eDh,,,,CITYADS
4,2021-10-31 18:39:51,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,2643227,500,3PFZ1V8iu1ZecJm,,KOxoXr,,,,CITYADS
5,2021-10-31 18:03:35,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5687436,3000,3PFZ1V8hRYZn22f,,4QCp,,,,CITYADS
6,2021-10-31 17:31:36,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,4714441,500,3PFZ1V8hyPZ5k7q,,sp3,,,,CITYADS
7,2021-10-31 17:25:23,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5570763,4500,3PFZ1V8h6GZECvO,,4QCp,,,,CITYADS
8,2021-10-31 17:23:30,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5687146,4500,3PFZ1V8gBrZvKmc,,4QCp,,,,CITYADS
9,2021-10-31 16:45:16,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5687126,4500,3PFZ1V8gN4ZECpw,,5eDh,,,,CITYADS
10,2021-10-31 16:30:41,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5687046,4500,3PFZ1V8gnoZmTGN,,4QCp,,,,CITYADS
11,2021-10-31 16:16:55,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5686876,4500,3PFZ1V8gk1Z9LV3,,4QCp,,,,CITYADS
12,2021-10-31 15:59:59,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5686880,3000,3PFZ1V8fOkZA8mL,,4QCp,,,,CITYADS
13,2021-10-31 15:08:37,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5082134,500,3PFZ1V8fhpZn0Sg,,4QCp,,,,CITYADS
14,2021-10-31 13:33:23,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,3665210,500,3PFZ1V8dDaZeciP,,5eDh,,,,CITYADS
15,2021-10-31 11:48:11,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5685701,4500,3PFZ1V8bP2Zn1h6,,4QCp,,,,CITYADS
16,2021-10-31 11:38:17,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5640790,500,3PFZ1V3n3NZiCyB,,KOxoXr,,,,CITYADS
17,2021-10-31 10:29:12,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,3940365,500,3PFZ1V8aMAZrlAE,,4QCp,,,,CITYADS
18,2021-10-31 09:35:15,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,3605578,4500,3PFZ1V89TPZiAav,,4QCp,,,,CITYADS
19,2021-10-31 09:03:46,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5685051,3000,3PFZ1V8980ZEz26,,4QCp,,,,CITYADS
20,2021-10-31 09:01:12,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5525985,500,3PFZ1V89jIZA9Kd,,5eDh,,,,CITYADS
21,2021-10-31 06:46:57,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5684728,4500,3PFZ1V866YZvNBa,,4QCp,,,,CITYADS
22,2021-10-31 06:42:38,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5470449,500,3PFZ1V86RoZrqyW,,5eDh,,,,CITYADS
23,2021-10-30 21:54:26,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5684093,3000,3PFZ1V7XuyZvPco,,4QCp,,,,CITYADS
24,2021-10-30 21:43:11,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5684042,4500,3PFZ1V7XaQZiuIS,,4QCp,,,,CITYADS
25,2021-10-30 21:21:47,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5683974,3000,3PFZ1V7WKzZvIjp,,4QCp,,,,CITYADS
26,2021-10-30 21:18:04,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5683814,4500,3PFZ1V7WPCZA8JP,,5eDh,,,,CITYADS
27,2021-10-30 19:21:12,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1878256,2400,99XZ1V7UXGZ5id3,,EloLQk,,,,CITYADS
28,2021-10-30 13:55:01,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5682357,4500,3PFZ1V7PN7ZrjdH,,5eDh,,,,CITYADS
29,2021-10-30 13:53:39,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5504493,3000,3PFZ1V7PMEZmUcF,,4QCp,,,,CITYADS
30,2021-10-30 11:09:25,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5681514,4500,3PFZ1V7MUwZivcf,,4QCp,,,,CITYADS
31,2021-10-30 09:36:19,Konga,Konga // Hybrid (new+repeat loans),Повторный займ,1488197,300,99XZ1V55oBZdVrV,,0gZ435,,,,CITYADS
32,2021-10-30 08:33:01,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,4672287,500,3PFZ1V7KE4ZrkxE,,4QCp,,,,CITYADS
33,2021-10-30 06:31:30,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5431420,4500,3PFZ1V7IGTZrkK6,,sp3,,,,CITYADS
34,2021-10-30 05:47:16,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5664548,500,3PFZ1V7HWzZe7wr,,4QCp,,,,CITYADS
35,2021-10-30 01:15:11,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1877090,2400,99XZ1V7DDyZAfn6,,EloLQk,,,,CITYADS
36,2021-10-30 01:07:15,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5554728,4500,3PFZ1V7DnHZiw11,,KOxoXr,,,,CITYADS
37,2021-10-29 23:14:59,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5680330,4500,3PFZ1V7BEMZ5jLS,,5eDh,,,,CITYADS
38,2021-10-29 22:28:56,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,4472116,500,3PFZ1V7AV8Zebuz,,5eDh,,,,CITYADS
39,2021-10-29 21:40:49,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,2888960,500,3PFZ1V7zNqZe79p,,4QCp,,,,CITYADS
40,2021-10-29 20:29:30,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5350969,500,3PFZ1V6MCmZ5jAa,,sp3,,,,CITYADS
41,2021-10-29 19:45:20,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,4696067,4500,3PFZ1V7yiFZmU29,,KOxoXr,,,,CITYADS
42,2021-10-29 19:25:53,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1876776,2400,99XZ1V7xNmZn0w7,,vg0P6m,,,,CITYADS
43,2021-10-29 19:20:52,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5234619,3000,3PFZ1V7xTUZ9Gxy,,4QCp,,,,CITYADS
44,2021-10-29 16:46:50,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,4192923,3000,3PFZ1V7uXoZrqAG,,KOxoXr,,,,CITYADS
45,2021-10-29 16:26:33,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5679147,4500,3PFZ1V7uV0ZrjsV,,4QCp,,,,CITYADS
46,2021-10-29 15:37:21,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5678955,4500,3PFZ1V7ufdZ5jrE,,5eDh,,,,CITYADS
