,ts,project,offer_title,goal_name,goal_id,payouts,sub1,sub2,sub3,sub4,sub5,sub6,affiliate
0,2021-10-31 22:11:33,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5687636,3000,,bus,,,,,FINPUBLIC
1,2021-10-31 20:28:27,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5301233,500,,bus,,,,,FINPUBLIC
2,2021-10-31 17:53:56,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5549832,500,,bus,,,,,FINPUBLIC
3,2021-10-31 17:19:58,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5687217,4500,zs,,,,,,FINPUBLIC
4,2021-10-31 15:52:10,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5686817,3000,,bus,,,,,FINPUBLIC
5,2021-10-31 14:25:19,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5686458,4500,,bus,,,,,FINPUBLIC
6,2021-10-31 13:11:24,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5685872,4500,,bus,,,,,FINPUBLIC
7,2021-10-31 12:50:38,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5685914,3000,,bus,,,,,FINPUBLIC
8,2021-10-31 12:44:21,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5636572,3000,,bus,,,,,FINPUBLIC
9,2021-10-31 12:37:25,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5047450,500,,bus,,,,,FINPUBLIC
10,2021-10-31 12:14:24,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5685591,4500,,bus,,,,,FINPUBLIC
11,2021-10-31 10:35:48,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5156437,3000,,bus,,,,,FINPUBLIC
12,2021-10-31 07:59:06,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5593243,500,,bus,,,,,FINPUBLIC
13,2021-10-31 05:19:39,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5360797,3000,,bus,,,,,FINPUBLIC
14,2021-10-31 04:10:01,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5684608,3000,,bus,,,,,FINPUBLIC
15,2021-10-31 02:32:32,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5684519,4500,,bus,,,,,FINPUBLIC
16,2021-10-31 01:28:14,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5684455,4500,,bus,,,,,FINPUBLIC
17,2021-10-31 00:41:43,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5643090,500,,bus,,,,,FINPUBLIC
18,2021-10-30 17:49:08,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5683392,3000,,bus,,,,,FINPUBLIC
19,2021-10-30 17:02:47,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5515745,3000,zs,,,,,,FINPUBLIC
20,2021-10-30 16:46:03,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5683164,4500,,bus,,,,,FINPUBLIC
21,2021-10-30 15:36:28,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5682575,4500,,bus,,,,,FINPUBLIC
22,2021-10-30 14:11:47,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5682362,4500,,bus,,,,,FINPUBLIC
23,2021-10-30 13:23:53,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5230281,4500,,bus,,,,,FINPUBLIC
24,2021-10-30 13:21:52,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5682203,4500,,bus,,,,,FINPUBLIC
25,2021-10-30 13:00:37,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5681861,4500,,bus,,,,,FINPUBLIC
26,2021-10-30 12:50:09,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5682011,3000,,bus,,,,,FINPUBLIC
27,2021-10-30 11:19:38,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5676420,3000,,bus,,,,,FINPUBLIC
28,2021-10-29 21:35:44,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5674958,3000,,bus,,,,,FINPUBLIC
29,2021-10-29 19:46:24,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5679886,4500,,bus,,,,,FINPUBLIC
30,2021-10-29 18:27:32,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5679430,3000,,bus,,,,,FINPUBLIC
31,2021-10-29 16:59:34,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5678870,4500,,bus,,,,,FINPUBLIC
32,2021-10-29 16:35:48,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5649835,4500,,bus,,,,,FINPUBLIC
33,2021-10-29 15:23:49,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5678574,4500,,bus,,,,,FINPUBLIC
34,2021-10-29 12:19:32,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5676405,3000,,bus,,,,,FINPUBLIC
35,2021-10-29 10:35:05,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5223997,500,,bus,,,,,FINPUBLIC
36,2021-10-29 10:10:40,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5677513,4500,,bus,,,,,FINPUBLIC
37,2021-10-29 09:12:24,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,4612069,3000,,bus,,,,,FINPUBLIC
38,2021-10-29 08:28:15,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5602599,500,,,om,,,,FINPUBLIC
39,2021-10-29 07:00:02,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5677083,3000,,bus,,,,,FINPUBLIC
40,2021-10-29 03:38:32,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5047450,4500,,bus,,,,,FINPUBLIC
41,2021-10-28 19:48:10,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5676079,4500,,bus,,,,,FINPUBLIC
42,2021-10-28 18:40:54,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5201309,3000,,bus,,,,,FINPUBLIC
43,2021-10-28 17:49:34,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5356441,4500,zs,,,,,,FINPUBLIC
44,2021-10-28 15:18:08,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5382062,500,,bus,,,,,FINPUBLIC
45,2021-10-28 14:44:49,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5675005,3000,,bus,,,,,FINPUBLIC
46,2021-10-28 14:18:06,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5674900,4500,,bus,,,,,FINPUBLIC
47,2021-10-28 13:00:50,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5674522,4500,,bus,,,,,FINPUBLIC
48,2021-10-28 09:47:35,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5673535,4500,,bus,,,,,FINPUBLIC
49,2021-10-28 06:17:09,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5242511,4500,,bus,,,,,FINPUBLIC
50,2021-10-28 05:02:43,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1873917,2400,,,om,,,,FINPUBLIC
51,2021-10-27 23:59:06,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,4275593,3000,,bus,,,,,FINPUBLIC
52,2021-10-27 16:40:28,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,4502342,3000,,bus,,,,,FINPUBLIC
53,2021-10-27 16:26:29,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5671098,4500,,bus,,,,,FINPUBLIC
54,2021-10-27 11:43:44,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5625539,500,zs,,,,,,FINPUBLIC
55,2021-10-27 09:13:43,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5669791,4500,,bus,,,,,FINPUBLIC
56,2021-10-27 09:08:24,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5669722,3000,,bus,,,,,FINPUBLIC
57,2021-10-27 04:05:55,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5669379,4500,,bus,,,,,FINPUBLIC
58,2021-10-26 21:25:39,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5668819,3000,,bus,,,,,FINPUBLIC
59,2021-10-26 20:05:17,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5441131,500,,bus,,,,,FINPUBLIC
60,2021-10-26 17:08:10,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,4673869,3000,,bus,,,,,FINPUBLIC
61,2021-10-26 15:49:49,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5667861,3000,,bus,,,,,FINPUBLIC
62,2021-10-26 14:42:11,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5667584,4500,,bus,,,,,FINPUBLIC
63,2021-10-26 13:20:07,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5663648,4500,,bus,,,,,FINPUBLIC
64,2021-10-26 12:27:32,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5667043,4500,,bus,,,,,FINPUBLIC
65,2021-10-26 09:26:35,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5406897,3000,,bus,,,,,FINPUBLIC
66,2021-10-26 07:24:47,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5664676,3000,,bus,,,,,FINPUBLIC
67,2021-10-26 06:32:28,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5664893,4500,,bus,,,,,FINPUBLIC
68,2021-10-26 03:21:24,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5665679,4500,,bus,,,,,FINPUBLIC
69,2021-10-26 00:14:27,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5466075,500,,bus,,,,,FINPUBLIC
70,2021-10-25 23:11:55,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5529657,3000,,bus,,,,,FINPUBLIC
71,2021-10-25 23:11:52,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5665443,3000,,bus,,,,,FINPUBLIC
72,2021-10-25 23:08:34,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5665454,3000,zs,,,,,,FINPUBLIC
73,2021-10-25 20:17:41,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5051916,4500,,bus,,,,,FINPUBLIC
74,2021-10-25 20:08:04,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5649055,3000,,bus,,,,,FINPUBLIC
75,2021-10-25 18:31:34,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5464898,3000,,bus,,,,,FINPUBLIC
76,2021-10-25 17:45:15,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5659388,3000,,bus,,,,,FINPUBLIC
77,2021-10-25 16:41:14,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5664316,4500,,bus,,,,,FINPUBLIC
78,2021-10-25 15:06:15,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5165514,3000,,bus,,,,,FINPUBLIC
79,2021-10-25 14:40:58,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5524346,3000,,bus,,,,,FINPUBLIC
80,2021-10-25 14:01:02,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,4768876,4500,zs,,,,,,FINPUBLIC
81,2021-10-25 13:51:03,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5642248,3000,,bus,,,,,FINPUBLIC
82,2021-10-25 13:50:57,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5656537,3000,,bus,,,,,FINPUBLIC
83,2021-10-25 13:36:27,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5463774,500,,bus,,,,,FINPUBLIC
84,2021-10-25 09:21:23,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5123359,3000,,bus,,,,,FINPUBLIC
85,2021-10-25 08:18:19,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1868356,2400,zs,,,,,,FINPUBLIC
86,2021-10-24 23:06:45,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,4640936,500,,bus,,,,,FINPUBLIC
87,2021-10-24 20:09:28,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5661563,3000,,bus,,,,,FINPUBLIC
88,2021-10-24 19:57:43,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5661544,3000,,bus,,,,,FINPUBLIC
89,2021-10-24 18:58:05,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5661343,3000,,bus,,,,,FINPUBLIC
90,2021-10-24 18:52:57,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5353706,4500,,bus,,,,,FINPUBLIC
91,2021-10-24 18:51:55,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5441131,4500,,bus,,,,,FINPUBLIC
92,2021-10-24 16:25:48,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5660882,3000,,bus,,,,,FINPUBLIC
93,2021-10-24 12:16:15,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5127553,4500,,bus,,,,,FINPUBLIC
94,2021-10-24 11:57:56,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,4465218,4500,,bus,,,,,FINPUBLIC
95,2021-10-24 11:30:57,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5659772,3000,,bus,,,,,FINPUBLIC
96,2021-10-24 10:00:13,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5659394,4500,,bus,,,,,FINPUBLIC
97,2021-10-24 09:12:39,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5060508,3000,,bus,,,,,FINPUBLIC
98,2021-10-24 08:58:42,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5659325,4500,,bus,,,,,FINPUBLIC
99,2021-10-24 07:18:01,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5659084,3000,,bus,,,,,FINPUBLIC
100,2021-10-24 05:39:35,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5528066,500,,bus,,,,,FINPUBLIC
101,2021-10-24 03:47:17,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5618405,4500,,bus,,,,,FINPUBLIC
102,2021-10-23 18:55:17,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5657819,3000,,bus,,,,,FINPUBLIC
103,2021-10-23 18:25:59,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5011932,4500,,bus,,,,,FINPUBLIC
104,2021-10-23 15:34:29,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5364822,3000,,bus,,,,,FINPUBLIC
105,2021-10-23 13:43:40,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5383068,3000,,bus,,,,,FINPUBLIC
106,2021-10-23 10:09:51,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5090868,4500,,bus,,,,,FINPUBLIC
107,2021-10-23 09:52:28,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5656391,3000,,bus,,,,,FINPUBLIC
108,2021-10-23 03:42:08,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5624891,3000,,bus,,,,,FINPUBLIC
