,ts,project,offer_title,goal_name,goal_id,payouts,sub1,sub2,sub3,sub4,sub5,sub6,affiliate
0,2021-10-31 14:05:52,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5686375,3000,vGaFab,,,,,,KIPNET
1,2021-10-30 12:19:57,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,1299568,500,qcjEab,,,,,,KIPNET
2,2021-10-30 07:57:47,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5680941,4500,KOHFab,,,,,,KIPNET
3,2021-10-30 00:45:07,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5434724,500,uj2Cab,,,,,,KIPNET
4,2021-10-29 18:22:15,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,3153446,500,mdcFab,,,,,,KIPNET
5,2021-10-29 16:43:12,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5620366,500,ONcFab,,,,,,KIPNET
6,2021-10-28 17:41:21,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5359449,500,VsPBab,,,,,,KIPNET
7,2021-10-28 10:56:47,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,4811387,500,svcFab,,,,,,KIPNET
8,2021-10-28 08:26:03,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5399396,500,BzADab,,,,,,KIPNET
9,2021-10-28 02:27:41,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5543851,500,3QbFab,,,,,,KIPNET
10,2021-10-28 01:13:27,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5436948,500,sYzDab,,,,,,KIPNET
11,2021-10-27 21:25:38,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5672531,4500,ogkFab,,,,,,KIPNET
12,2021-10-27 16:21:54,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5091561,500,XwUDab,,,,,,KIPNET
13,2021-10-27 10:49:59,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5049973,500,iTKFab,,,,,,KIPNET
14,2021-10-27 10:46:23,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,4266645,500,fGXAab,,,,,,KIPNET
15,2021-10-27 09:58:31,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5623928,500,jJsFab,,,,,,KIPNET
16,2021-10-27 06:54:07,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5617297,500,ksvFab,,,,,,KIPNET
17,2021-10-25 10:39:02,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5662727,4500,aiJEab,,,,,,KIPNET
18,2021-10-25 09:39:45,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5556650,3000,9SzDab,,,,,,KIPNET
19,2021-10-25 05:31:56,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5323037,500,0Y1Cab,,,,,,KIPNET
20,2021-10-24 21:30:39,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5661729,4500,6g1Cab,,,,,,KIPNET
21,2021-10-24 12:01:35,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5337193,500,AaDFab,,,,,,KIPNET
22,2021-10-24 11:07:49,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5463672,500,rUZCab,,,,,,KIPNET
23,2021-10-24 08:47:14,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,4691184,500,SIJFab,,,,,,KIPNET
24,2021-10-24 04:27:01,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,3030337,500,PnJEab,,,,,,KIPNET
25,2021-10-23 17:09:30,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,4978727,500,EbJEab,,,,,,KIPNET
26,2021-10-23 16:08:44,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5639638,3000,AjtFab,,,,,,KIPNET
27,2021-10-23 15:11:57,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5606779,500,lH3Cab,,,,,,KIPNET
