,ts,project,offer_title,goal_name,goal_id,payouts,sub1,sub2,sub3,sub4,sub5,sub6,affiliate
0,2021-10-31 21:03:44,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5687887,3000,2ae4c3a8-ca8c-4bba-ab90-591176f70d67,,2e00ba30-6912-11ea-8235-d16b1ab9c875,,,,LEADCRAFT
1,2021-10-31 19:13:40,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1879754,2400,7292c8e8-3069-4fb9-9e9b-7b79b4d649ce,,2f825e60-6901-11ea-be21-893b7f7a00ee,,,,LEADCRAFT
2,2021-10-31 17:30:57,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5687318,4500,297d8bd1-a079-467f-9136-13be6cc1af5b,,79c1c280-0a3f-11eb-9f7f-3766883c8965,,,,LEADCRAFT
3,2021-10-31 16:48:05,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5687127,3000,28233d35-fa94-4fd8-ac92-10c085492975,,79c1c280-0a3f-11eb-9f7f-3766883c8965,,,,LEADCRAFT
4,2021-10-31 16:12:19,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5686996,3000,b2490284-fd4b-4828-911a-fa100feff9f6,,b31dd630-769b-11eb-8372-b941f4aa34c8,,,,LEADCRAFT
5,2021-10-31 15:00:14,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1878942,2400,b43212ce-c161-4b93-a627-5b6202d0bd45,,7bf0a509-de6f-4019-a550-6e92c991773c,,,,LEADCRAFT
6,2021-10-31 14:57:19,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1878287,2400,c490d3a2-15f6-47fd-8cea-8e9bc3f10a97,,1491a468-cb90-4205-9ee9-0c05bec7f7eb,,,,LEADCRAFT
7,2021-10-31 14:37:56,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1879366,2400,ce0f3845-85ce-4266-b28d-4e691d586933,,7bf0a509-de6f-4019-a550-6e92c991773c,,,,LEADCRAFT
8,2021-10-31 14:32:14,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1879359,2400,03313a92-98e9-4aa6-8bfd-b851fe36a3f7,,7bf0a509-de6f-4019-a550-6e92c991773c,,,,LEADCRAFT
9,2021-10-31 14:32:07,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5497427,500,5e1f8490-6861-4a00-b856-90396f3f78ec,,ea246545-2c4d-46fa-b77c-b85049aac27b,,,,LEADCRAFT
10,2021-10-31 13:58:01,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1879297,2400,14ac397c-0d98-4b7b-96f0-11af5e1ff335,,1491a468-cb90-4205-9ee9-0c05bec7f7eb,,,,LEADCRAFT
11,2021-10-31 13:49:29,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1879264,2400,a0d2f964-8fe9-4854-851e-1c763cbc0de2,,1491a468-cb90-4205-9ee9-0c05bec7f7eb,,,,LEADCRAFT
12,2021-10-31 13:18:19,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5685760,3000,0f7d0b0b-d308-418b-977c-8a875489f9f7,,ea246545-2c4d-46fa-b77c-b85049aac27b,,,,LEADCRAFT
13,2021-10-31 12:26:08,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5685884,3000,f61c7041-60b8-4376-90fb-b5d9abc96fa8,,bfe73c49-4617-4a8b-a601-e28c6b0e228d,,,,LEADCRAFT
14,2021-10-31 11:58:22,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1878875,2400,78671f31-0bb3-47e5-a031-edb4fc335901,,1491a468-cb90-4205-9ee9-0c05bec7f7eb,,,,LEADCRAFT
15,2021-10-31 11:42:45,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1878718,2400,3157f925-317f-4cd1-b082-edae8c1dcca8,,1491a468-cb90-4205-9ee9-0c05bec7f7eb,,,,LEADCRAFT
16,2021-10-31 11:05:52,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5535738,500,f3ccaa4f-5a65-4cd1-86fb-a96299d39f0d,,c050f7df-de6b-4f71-8dee-d7880904310e,,,,LEADCRAFT
