,ts,project,offer_title,goal_name,goal_id,payouts,sub1,sub2,sub3,sub4,sub5,sub6,affiliate
0,2021-10-31 21:48:38,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5540948,500,ce8d2311-3975-41c8-b956-89e77b8ed4f0,,3,,,,LEADTARGET
1,2021-10-31 19:00:06,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5687342,4500,65de823f-fb42-4262-bfaf-f58512f74426,,843,,,,LEADTARGET
2,2021-10-31 15:34:00,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5686729,3000,6473738b-f6b5-452a-b5fc-75fd133a8bb9,,993,,,,LEADTARGET
3,2021-10-31 15:31:07,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5643988,500,43ab277d-a01b-4443-8b7d-01c46a59e6b6,,968,,,,LEADTARGET
4,2021-10-31 14:19:13,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,3686269,4500,af18413e-1b6f-4a96-a98d-10b36e7c645f,,968,,,,LEADTARGET
5,2021-10-31 13:38:03,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5668201,500,5cf9d3d0-ffeb-4dd7-9c76-4df8973820b7,,244,,,,LEADTARGET
6,2021-10-30 11:29:21,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5435409,3000,a944a3f7-476b-49b0-b510-295b7d375661,,843,,,,LEADTARGET
7,2021-10-30 11:07:03,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5573336,3000,5a0ed521-b3d4-4490-a25a-62759999b475,,843,,,,LEADTARGET
8,2021-10-30 09:30:03,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,4806434,3000,f8d7a67a-74b5-4c94-b15c-366f50c74b8c,,244,,,,LEADTARGET
9,2021-10-30 01:49:12,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5619508,500,e1e49154-c805-462b-8fc0-112690d56df7,,790,,,,LEADTARGET
10,2021-10-30 01:42:10,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1877099,2400,4a1fec68-ac55-443d-9ede-716b0aa531d2,,789,,,,LEADTARGET
11,2021-10-29 11:58:55,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5218721,3000,b6644cc7-1c59-46bc-92f0-0ff256f7670c,,1379,,,,LEADTARGET
