,ts,project,offer_title,goal_name,goal_id,payouts,sub1,sub2,sub3,sub4,sub5,sub6,affiliate
0,2021-10-31 13:39:30,Lime,Lime CPA,Займ хороший,5686219,3000,55356773c44a46a0c22ea2172e5570fc27898942,,3321,,,,LIKNOT
1,2021-10-29 11:05:21,Lime,Lime CPA,Займ хороший,5677585,3000,a42228c41de0bfe95a2eb2be51e8c7797b657eb8,,672,,,,LIKNOT
2,2021-10-28 13:09:33,Lime,Lime CPA,Займ отличный,5674331,4500,6f844109994000c4445063a7d65b8a63140d2f6f,,4574,,,,LIKNOT
3,2021-10-24 16:20:44,Lime,Lime CPA,Займ отличный,5660856,4500,89edf9c205b175be23ebcdada7eb21f2b9eb5b08,,4574,,,,LIKNOT
4,2021-10-22 15:00:58,Lime,Lime CPA,Займ хороший,5654265,3000,63368e7b97775fc1994a46a242c5236cb321b07b,,4471,,,,LIKNOT
5,2021-10-22 11:00:55,Lime,Lime CPA,Займ хороший,5653474,3000,45004206a8c994e782bf1de7b3e5aa289cfff7da,,4574,,,,LIKNOT
6,2021-10-20 18:04:37,Lime,Lime CPA,Займ отличный,1890123,4500,69110b1663e89f2a27d9d8491787e09dbe03b59e,,4574,,,,LIKNOT
7,2021-10-20 17:47:26,Lime,Lime CPA,Займ отличный,5646575,4500,3967b2fbff25b62e99b4c2dce151a255f9b4c381,,4574,,,,LIKNOT
8,2021-10-19 09:16:01,Lime,Lime CPA,Займ отличный,5641737,4500,e7a4cdd294180de89949d5d046f5e06dd6edd813,,4574,,,,LIKNOT
9,2021-10-17 19:35:55,Lime,Lime CPA,Займ отличный,5636258,4500,eb7eff1885079dcfa6fe5e2af711d6fee65a0ff5,,4574,,,,LIKNOT
10,2021-10-17 10:27:13,Lime,Lime CPA,Займ отличный,5636160,4500,c065f05e7d44cbe33fd1e04ba6e6ee106a82cb00,,4574,,,,LIKNOT
11,2021-10-15 21:51:00,Lime,Lime CPA,Займ отличный,5632806,4500,7f145a32a179cdd2a5762bcbd805aed147992e8e,,4574,,,,LIKNOT
12,2021-10-13 13:59:33,Lime,Lime CPA,Займ отличный,5626085,4500,5a699574df8f5b4bbb3c373ca2d339d5650d4a26,,4574,,,,LIKNOT
13,2021-10-11 10:14:33,Lime,Lime CPA,Займ хороший,5619176,3000,63b9687a3f7b630955540029a58e0c8d7c53faa7,,4574,,,,LIKNOT
14,2021-10-10 08:08:52,Lime,Lime CPA,Займ отличный,5615868,4500,6a4544e2ec3e74b00322286dce35ad9f15e6eea5,,4574,,,,LIKNOT
15,2021-10-08 11:00:25,Lime,Lime CPA,Займ отличный,5609440,4500,6459e39d6b8595873139d7b3c4002786374387ef,,4574,,,,LIKNOT
16,2021-10-05 10:57:24,Lime,Lime CPA,Займ отличный,5599356,4500,a5997f8cdd3de1f7c8098cdd1f0b71efa5a41a0a,,4574,,,,LIKNOT
17,2021-10-02 07:50:04,Lime,Lime CPA,Займ хороший,5588893,3000,ae6a55223832e37a49671e638985293fb320b491,,4574,,,,LIKNOT
18,2021-10-01 16:14:41,Lime,Lime CPA,Займ отличный,5587168,4500,650fac0120e36f9d5e1093a37be651b3d0677ba9,,4574,,,,LIKNOT
19,2021-10-01 09:26:51,Lime,Lime CPA,Займ отличный,5585418,4500,faa0f1dfa22e078e01324b07d1bcc59c8f17d6c3,,4574,,,,LIKNOT
20,2021-10-01 01:07:58,Lime,Lime CPA,Займ отличный,5583393,4500,cc83f8af2a43e9d2468ed4248ff69516b28ea281,,4574,,,,LIKNOT
