,ts,project,offer_title,goal_name,goal_id,payouts,sub1,sub2,sub3,sub4,sub5,sub6,affiliate
0,2021-10-29 21:20:04,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5680104,4500,1c049740-1f77-4927-a5fa-b1b4f212e8d9,,1143,,,,RAFINAD
1,2021-10-29 15:13:59,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,4676040,3000,04b9f407-9232-4eff-bfa8-efd99a57799a,,692,,,,RAFINAD
2,2021-10-28 16:41:07,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1874864,2400,0efd72ac-6eef-4c9a-bafd-1bf0fe915d87,,2527,,,,RAFINAD
3,2021-10-27 14:38:11,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5437790,500,11b5281c-feb6-409e-ae8d-6ce98187654e,,12,,,,RAFINAD
4,2021-10-26 05:03:07,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5665833,4500,68fc7cdc-f5d9-46f2-bc4a-abc4cbdf035f,,12,,,,RAFINAD
5,2021-10-25 17:18:47,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,4909486,3000,f6b3c40e-adc3-404a-a85e-a809fc4f4d37,,12,,,,RAFINAD
6,2021-10-25 14:03:44,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5616179,500,9659ee7b-5dd8-4fc1-bd16-041003921fa8,,12,,,,RAFINAD
7,2021-10-25 13:40:50,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5511770,4500,77ddc9bd-5caa-4cee-92e9-9f1978e3c7c7,,12,,,,RAFINAD
8,2021-10-24 15:50:59,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,4427527,500,36fd8034-d9ba-436c-8963-2dc00ba8cd7c,,12,,,,RAFINAD
9,2021-10-22 19:48:52,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5449700,4500,07556cdc-3dc9-4d18-bedb-8682e414de61,,2408,,,,RAFINAD
10,2021-10-22 15:04:49,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5539346,3000,060c412e-cc55-4638-a02a-26d4a9815452,,12,,,,RAFINAD
11,2021-10-22 10:32:24,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5453626,3000,d3c8a786-0d70-474d-808d-2936aa5e84c4,,12,,,,RAFINAD
12,2021-10-21 13:20:35,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5500301,3000,f5f0e383-aa6a-450d-a925-c4e3cb81cc37,,12,,,,RAFINAD
13,2021-10-20 12:46:59,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5603630,500,371f5314-00f6-4a09-b399-d4990ddace76,,672,,,,RAFINAD
14,2021-10-19 20:11:09,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5001579,500,6273979e-6081-4ffe-8fa6-4fa75a50ed18,,499,,,,RAFINAD
15,2021-10-18 18:50:07,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5434941,500,15f6205c-a1ce-4f65-9010-a782133f43e4,,12,,,,RAFINAD
16,2021-10-18 08:24:20,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5638015,4500,d5e71ff9-8c7b-4de2-ae98-2fbdb2e1ef1f,,12,,,,RAFINAD
17,2021-10-18 06:50:46,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5638496,4500,abffe73a-f95b-4fd3-b4d5-ae64a0854f6d,,12,,,,RAFINAD
18,2021-10-17 13:19:45,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5616903,500,477e3908-27db-4384-8529-8e77f3586ea2,,12,,,,RAFINAD
19,2021-10-17 07:46:24,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5511395,500,d595ba9a-82d8-48da-b134-16354e0b6719,,1517,,,,RAFINAD
20,2021-10-17 07:16:33,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5438717,500,55f65482-39d5-44d2-b88b-f625e088faca,,12,,,,RAFINAD
21,2021-10-17 04:53:18,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5522588,500,4ad9caa8-48df-45a8-9b85-a0b4cb480ce6,,198,,,,RAFINAD
22,2021-10-16 13:01:13,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5634056,4500,549c9063-4a8f-42ff-85df-3d99b931629f,,12,,,,RAFINAD
23,2021-10-16 00:18:59,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5235023,500,4b1dc3ee-1e14-4639-b2c7-76782fbcd63a,,12,,,,RAFINAD
24,2021-10-15 17:36:02,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,4517638,3000,52b9fe38-023d-45f5-b5eb-ae272e2a28a8,,12,,,,RAFINAD
25,2021-10-15 17:07:14,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,2653705,500,4aba96d9-c1a5-4cc0-add3-39b4879576ce,,12,,,,RAFINAD
26,2021-10-15 14:49:18,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5631622,4500,68c5fc07-8f01-4f2c-9fdf-fa2b7d783fee,,12,,,,RAFINAD
27,2021-10-15 13:41:56,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5497524,500,12321800-e01d-4454-8bd8-950bf0969589,,12,,,,RAFINAD
28,2021-10-15 12:37:37,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5626029,500,056e7d72-4fc7-488c-9ed8-afb0234498ca,,12,,,,RAFINAD
29,2021-10-15 05:58:51,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5630490,3000,ab7beab8-0eb4-4afb-90d1-1fd3fcb11e20,,12,,,,RAFINAD
30,2021-10-15 04:31:05,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5630485,3000,8e635c0e-9e17-4254-a6fd-4eb7ef8d5dc4,,12,,,,RAFINAD
31,2021-10-14 19:11:24,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5141922,500,ed8ffa1d-f5ac-4dfa-9bbe-2db1928617e4,,1517,,,,RAFINAD
32,2021-10-14 17:37:23,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5400705,500,f12f611f-6981-463a-95e8-41a866278ad6,,12,,,,RAFINAD
33,2021-10-14 14:59:08,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5235023,3000,4b1dc3ee-1e14-4639-b2c7-76782fbcd63a,,12,,,,RAFINAD
34,2021-10-14 08:52:31,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5306179,500,5d40dc0f-ab90-4555-b5cf-6092a2151796,,12,,,,RAFINAD
35,2021-10-14 01:56:56,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,2101279,3000,2741419a-3ac5-4543-ad02-f8db9fe350d4,,12,,,,RAFINAD
36,2021-10-13 23:10:21,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5432867,4500,de2657c0-08f2-442c-94e9-95a0f1260258,,12,,,,RAFINAD
37,2021-10-13 23:01:08,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5611870,500,37e955c5-cd59-42ee-aeb1-e24263d29df6,,12,,,,RAFINAD
