,ts,project,offer_title,goal_name,goal_id,payouts,sub1,sub2,sub3,sub4,sub5,sub6,affiliate
0,2021-10-31 12:01:23,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5685768,4500,62a98703-618a-5bc3-80df-26622118ed22,,3837,,,,REGBET
1,2021-10-30 15:41:06,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1565252,2400,d7398b37-4197-529d-9738-29f3b4edc676,,2660,,,,REGBET
2,2021-10-29 22:35:04,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5680226,4500,d7127d54-1460-5988-8e04-968f002ca620,,2660,,,,REGBET
3,2021-10-27 16:22:09,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1798426,2400,ac0ebdec-8135-5f7e-8bd5-6a47e32acf39,,2660,,,,REGBET
4,2021-10-25 07:47:33,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1869231,2400,de5086e0-21bf-53fd-80f0-88727f340cb3,,2660,,,,REGBET
5,2021-10-24 18:57:23,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5477694,500,3b18c935-33ac-5994-8903-005c7581694d,,2660,,,,REGBET
6,2021-10-24 12:41:15,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5506956,3000,298fd810-57b8-5d72-b9fd-d752ec8d8016,,2660,,,,REGBET
7,2021-10-24 11:36:41,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5659491,4500,9942be1f-40cd-5d03-9070-006dc5294ced,,2660,,,,REGBET
8,2021-10-23 23:56:37,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5455058,3000,54782a95-00a9-5e46-9121-ed4c241e06bd,,2660,,,,REGBET
9,2021-10-23 13:10:16,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1743967,2400,dcea9f32-0d23-5621-a079-d200158c7455,,2660,,,,REGBET
10,2021-10-22 16:13:36,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5654490,3000,88363d97-8176-5648-bc97-728e62272bb8,,2660,,,,REGBET
11,2021-10-22 15:38:35,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1865117,2400,be00bfd0-575f-5f05-a92c-3e1abcfa2b8e,,2660,,,,REGBET
12,2021-10-21 18:42:08,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,4620112,500,a005b081-b5f7-5955-b910-bd19c678f8d3,,2660,,,,REGBET
13,2021-10-19 12:58:43,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5435858,4500,e0e62bc6-dfa2-57d9-b222-e49e2c231f36,,2660,,,,REGBET
14,2021-10-18 13:28:25,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5639560,4500,ed523ba1-921d-5dbf-88f6-4c8f49248ab1,,2660,,,,REGBET
15,2021-10-18 11:55:37,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1857264,2400,c44b72e3-7282-5c53-ae3f-eb1b7ecb1ea9,,2660,,,,REGBET
16,2021-10-18 09:31:07,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5121975,500,5ff50694-253e-5d90-8642-59deb4301279,,2660,,,,REGBET
17,2021-10-17 10:45:43,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5636214,3000,6fe50c89-c798-501b-949e-c78298a5d05f,,2660,,,,REGBET
18,2021-10-16 10:56:54,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5633762,3000,241bf2bc-3995-5627-beaa-84f9a8c3e31d,,2660,,,,REGBET
19,2021-10-16 06:56:11,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,3631848,500,c41e212c-8ec0-5ccd-b9fe-5b63299338eb,,2660,,,,REGBET
20,2021-10-14 13:00:02,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5628743,3000,d48f4832-1f9c-5d72-948d-2b8b415215e6,,2660,,,,REGBET
21,2021-10-14 12:53:53,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1852846,2400,93f457d6-a454-5c19-8fb7-e84ae30c0e74,,1738,,,,REGBET
22,2021-10-14 07:13:01,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5270268,4500,f7c12025-23da-510c-a080-5a46d8159663,,2660,,,,REGBET
23,2021-10-12 00:39:52,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5590088,500,863e6c73-c507-596e-87a2-6d0148e5b824,,2660,,,,REGBET
24,2021-10-11 20:33:52,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,4942677,4500,2298a745-6252-5b29-8188-8d81d9acb656,,2660,,,,REGBET
25,2021-10-11 19:12:53,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,4620112,4500,a005b081-b5f7-5955-b910-bd19c678f8d3,,2660,,,,REGBET
26,2021-10-11 11:41:08,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5442297,3000,7e858e3d-1cf0-5ad7-81e0-744bacecbd26,,2660,,,,REGBET
27,2021-10-09 14:16:34,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5613575,4500,6c87f49a-d3fc-5fcb-a473-eb52e4c957fc,,2660,,,,REGBET
28,2021-10-06 17:03:38,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5303387,4500,d8505df1-1918-5ae9-ae8a-01cfb263af27,,2660,,,,REGBET
29,2021-10-05 15:01:36,Konga,Konga // Hybrid (new+repeat loans),Повторный займ,1621373,300,9eb00d4a-ccb8-567c-bca6-5da61ea1b412,,2660,,,,REGBET
30,2021-10-05 12:45:22,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5365482,500,d3714f86-2b68-5b20-8db9-e3ca983ee87f,,2660,,,,REGBET
31,2021-10-03 17:42:10,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5348556,3000,30edc13c-6b01-5e05-8b8a-be1df06e1326,,2660,,,,REGBET
32,2021-10-02 23:13:46,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5497020,500,5e72f7ad-78a4-5307-939f-f1e23a238327,,2660,,,,REGBET
