,ts,project,offer_title,goal_name,goal_id,payouts,sub1,sub2,sub3,sub4,sub5,sub6,affiliate
0,2021-10-28 11:15:49,Konga,Konga CPL,регистрация,1874296,240,617a5a8a70c7b40001393f7d,,15,,,,RUBID
1,2021-10-28 10:59:10,Konga,Konga CPL,регистрация,1874251,240,617a55a070c7b40001393f14,,15,,,,RUBID
2,2021-10-26 19:35:41,Konga,Konga CPL,регистрация,1871950,240,61782cf370c7b40001392ee8,,15,,,,RUBID
3,2021-10-26 16:22:04,Konga,Konga CPL,регистрация,1871659,240,6177ff7470c7b40001392d5c,,15,,,,RUBID
4,2021-10-26 06:50:01,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5630643,500,61777a4870c7b4000139294a,,15,,,,RUBID
5,2021-10-23 13:33:16,Konga,Konga CPL,регистрация,1866396,240,6173de7d70c7b40001390e08,,15,,,,RUBID
6,2021-10-22 21:51:41,Konga,Konga CPL,регистрация,1865612,240,617306c870c7b400013908d8,,15,,,,RUBID
7,2021-10-22 15:35:06,Konga,Konga CPL,регистрация,1865106,240,6172ad9d70c7b40001390546,,15,,,,RUBID
8,2021-10-20 16:54:12,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,4887878,4500,61701d5070c7b40001e38fa3,,15,,,,RUBID
9,2021-10-19 18:32:31,Konga,Konga CPL,регистрация,1860676,240,616ee03370c7b4000188b5bf,,15,,,,RUBID
10,2021-10-18 20:48:48,Konga,Konga CPL,регистрация,1859243,240,616dafb070c7b4000188aa66,,15,,,,RUBID
11,2021-10-16 13:32:23,Konga,Konga CPL,регистрация,1855764,240,616aa87670c7b4000188910c,,15,,,,RUBID
12,2021-10-16 12:00:32,Konga,Konga CPL,регистрация,1855594,240,616a8e1570c7b4000188901c,,15,,,,RUBID
13,2021-10-15 13:32:34,Konga,Konga CPL,оформление займа,1854330,0,616956bd70c7b40001888396,,15,,,,RUBID
14,2021-10-15 13:30:09,Konga,Konga CPL,регистрация,1854330,240,616956bd70c7b40001888396,,15,,,,RUBID
15,2021-10-15 10:14:27,Konga,Konga CPL,регистрация,1854033,240,6169275170c7b4000188811e,,15,,,,RUBID
16,2021-10-15 07:28:20,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5630643,4500,6169026c70c7b40001887f78,,15,,,,RUBID
17,2021-10-13 16:30:27,Konga,Konga CPL,регистрация,1851774,240,6166de5f70c7b40001886a8a,,15,,,,RUBID
18,2021-10-12 02:58:39,Konga,Konga CPL,регистрация,1849310,240,6164cd9f70c7b400016d7d68,,15,,,,RUBID
19,2021-10-10 18:24:26,Konga,Konga CPL,регистрация,1847372,240,6163032670c7b400016d6db0,,15,,,,RUBID
20,2021-10-07 18:02:00,Konga,Konga CPL,регистрация,1843251,240,615f099f70c7b400016d4a1b,,15,,,,RUBID
21,2021-10-04 19:18:53,Konga,Konga CPL,регистрация,1838861,240,615b26ba70c7b400016d2a35,,15,,,,RUBID
22,2021-10-04 14:26:23,Konga,Konga CPL,регистрация,1833990,240,6155d16d70c7b40001594a5e,,15,,,,RUBID
23,2021-10-03 23:18:11,Konga,Konga CPL,регистрация,1837702,240,615a0e3f70c7b400016d1f85,,15,,,,RUBID
24,2021-10-02 18:21:22,Konga,Konga CPL,регистрация,1836238,240,6158764370c7b400016d113c,,15,,,,RUBID
25,2021-10-02 06:28:07,Konga,Konga CPL,регистрация,1835526,240,6157d00c70c7b400016d0ab5,,15,,,,RUBID
26,2021-10-02 00:14:39,Konga,Konga CPL,регистрация,1835406,240,6157778c70c7b400016d08e9,,15,,,,RUBID
27,2021-10-01 17:53:36,Konga,Konga CPL,регистрация,1835118,240,61571e3b70c7b400016d0598,,15,,,,RUBID
28,2021-10-01 15:58:54,Konga,Konga CPL,регистрация,1835001,240,6157026170c7b40001595704,,15,,,,RUBID
