,ts,project,offer_title,goal_name,goal_id,payouts,sub1,sub2,sub3,sub4,sub5,sub6,affiliate
0,2021-10-31 21:43:54,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1820908,2400,e2c77a66ef7b6a5891e416addde3b179,,20866,,,,UNICOM24
1,2021-10-31 21:03:52,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5687915,3000,89e3f3f7a335495935e112b9d955450a,,90863,,,,UNICOM24
2,2021-10-31 19:00:27,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5687054,4500,f427438734c940fbcd2a0a495dcaf0fb,,175698,,,,UNICOM24
3,2021-10-31 16:30:46,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5687045,3000,f912241a14fde6b09e14c1057f1d2d4f,,175698,,,,UNICOM24
4,2021-10-31 16:19:30,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1879237,2400,4209b332341649fb20a5cd048e42f215,,20865,,,,UNICOM24
5,2021-10-31 16:08:38,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5686922,4500,938146617c3d16ede83f0ae140b6e31a,,175808,,,,UNICOM24
6,2021-10-31 15:53:30,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5686821,4500,6d7794c1542bfd9c5e5d220a3ba5e9be,,176704,,,,UNICOM24
7,2021-10-31 15:24:51,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5565876,3000,8d4b9cafe20dea17b192cf88b87e74df,,20866,,,,UNICOM24
8,2021-10-31 15:13:03,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5686668,4500,509525979720ed22bc2afe1c48e8a1e0,,17089,,,,UNICOM24
9,2021-10-31 13:50:37,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1879279,2400,a0984eecfb6d5d6f9d22a43e03ad23f5,,20866,,,,UNICOM24
10,2021-10-31 12:09:06,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5685692,4500,206802bbd2a692d117b1d8357016da40,,41476,,,,UNICOM24
11,2021-10-31 10:33:33,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5685162,3000,540cec15d825eaf1d16e758fbe2ab71f,,41476,,,,UNICOM24
12,2021-10-31 09:22:41,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5685155,3000,4ba3b8ece0ddd7c970b22d0e5d84548c,,17089,,,,UNICOM24
13,2021-10-31 09:11:14,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5485475,500,d63ce4c1f27a79b1c887f32700cba2ba,,19209,,,,UNICOM24
14,2021-10-31 05:05:58,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5143278,500,3625b367a726fe7aab548f4a6a08b9a9,,90863,,,,UNICOM24
15,2021-10-31 04:11:59,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5684464,4500,5caf1aa6612bebe025188637f33a970f,,176704,,,,UNICOM24
16,2021-10-31 02:04:36,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1877943,2400,567a7fd7784c9acb3876846da897d054,,175605,,,,UNICOM24
17,2021-10-30 20:12:47,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5683813,3000,fffee662d44ab5900dd6d760aeaeff1b,,90863,,,,UNICOM24
