,ts,project,offer_title,goal_name,goal_id,payouts,sub1,sub2,sub3,sub4,sub5,sub6,affiliate
0,2021-10-30 04:38:41,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5680691,4500,,,,,,,ОКБ
1,2021-10-29 22:08:46,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1876831,2400,,,,,,,ОКБ
2,2021-10-29 15:51:12,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5678890,4500,,,,,,,ОКБ
3,2021-10-29 11:57:01,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5638624,3000,,,,,,,ОКБ
4,2021-10-28 17:35:42,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5675584,3000,,,,,,,ОКБ
5,2021-10-28 17:08:57,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5554410,3000,,,,,,,ОКБ
6,2021-10-27 14:54:49,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1873145,2400,,,,,,,ОКБ
7,2021-10-27 14:34:15,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1873090,2400,,,,,,,ОКБ
8,2021-10-27 05:44:45,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1872394,2400,,,,,,,ОКБ
9,2021-10-26 21:48:17,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5668766,4500,,,,,,,ОКБ
10,2021-10-26 02:53:55,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,1133754,3000,,,,,,,ОКБ
11,2021-10-25 16:37:27,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5659656,4500,,,,,,,ОКБ
12,2021-10-24 12:38:42,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5659885,4500,,,,,,,ОКБ
13,2021-10-23 01:59:48,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,3701429,500,,,,,,,ОКБ
14,2021-10-22 21:07:37,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1865564,2400,,,,,,,ОКБ
15,2021-10-22 19:42:10,Konga,Konga // Hybrid (new+repeat loans),Повторный займ,1833439,300,,,,,,,ОКБ
16,2021-10-22 15:55:23,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1865131,2400,,,,,,,ОКБ
17,2021-10-22 14:00:41,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5592324,500,,,,,,,ОКБ
18,2021-10-22 09:42:33,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5567870,500,,,,,,,ОКБ
19,2021-10-22 02:03:30,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3701429,3000,,,,,,,ОКБ
20,2021-10-22 01:02:56,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1863414,2400,,,,,,,ОКБ
21,2021-10-21 06:31:27,Konga,Konga // Hybrid (new+repeat loans),Повторный займ,1755489,300,,,,,,,ОКБ
22,2021-10-21 00:41:31,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,4959426,500,,,,,,,ОКБ
