,ts,project,offer_title,goal_name,goal_id,payouts,sub1,sub2,sub3,sub4,sub5,sub6,affiliate
0,2021-09-30 21:39:32,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5153349,500,44b4e8898251fa0a006b91a0980f3283,,2506,,,,ADMITAD
1,2021-09-30 20:25:24,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,3548673,500,3bb067bc24ff12fcb6d23bec72825751,,539733,,,,ADMITAD
2,2021-09-30 19:21:55,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,4698241,4500,ac0e81bbb067aba4f0e698688ea5f02b,,2506,,,,ADMITAD
3,2021-09-30 18:00:21,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5369612,500,3ac9b063e215c9f769fa456c25cd5a91,,539733,,,,ADMITAD
4,2021-09-30 12:06:58,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5580680,3000,81a9cc0c8fcf0651f5d68f16ddb23a02,,889145,,,,ADMITAD
5,2021-09-30 05:50:46,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5564551,500,cdb37cac66aacd4ad04fbe93d50e276f,,1055604,,,,ADMITAD
6,2021-09-30 01:20:13,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5578838,4500,59c01670f8f3348220eb1bcafa689e02,,88619,,,,ADMITAD
7,2021-09-29 10:23:41,Konga,Konga CPA,Займ отличный,1734821,2400,9c13237fa024f48eba105d0605a15e78,,1576311,,,,ADMITAD
8,2021-09-29 09:10:37,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5564551,3000,cdb37cac66aacd4ad04fbe93d50e276f,,1055604,,,,ADMITAD
9,2021-09-29 07:11:41,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5543760,3000,aafc203f2d1ea1c4985d181362871121,,469453,,,,ADMITAD
10,2021-09-29 05:47:33,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,4918399,500,e0d5f964c7c0136035d760d6871bc212,,539733,,,,ADMITAD
11,2021-09-28 17:19:04,Konga,Konga CPA,Займ отличный,1830902,2400,95ee5451e5c1d893983c2b61140ea9cf,,442763,,,,ADMITAD
12,2021-09-28 13:19:44,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,4982526,500,e25e2ef9e7df30ef7a57e21e4cf3a097,,466174,,,,ADMITAD
13,2021-09-28 11:07:32,Konga,Konga CPA,Займ отличный,1831260,2400,75f6d6d6db9b4d40bb91fc781ae5b28b,,1004602,,,,ADMITAD
14,2021-09-27 17:33:01,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5428631,500,666b5ebfa1896093ab08b63f9b9d1451,,1146051,,,,ADMITAD
15,2021-09-27 16:47:47,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,4269206,500,689ee66290b99c4cfbc2d75ca6661fbd,,52519,,,,ADMITAD
16,2021-09-27 15:46:41,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,4955468,500,3d3d76124627821f1ae1efe318a23305,,52519,,,,ADMITAD
17,2021-09-27 10:30:03,Konga,Konga CPA,Займ отличный,1280883,2400,8782b3b257f1b7f6aabedf17fef6ca20,,1461582,,,,ADMITAD
18,2021-09-27 08:25:22,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,2487517,500,1ca7599951314d8da7ee32f367025c8a,,52519,,,,ADMITAD
19,2021-09-27 07:13:49,Konga,Konga CPA,Займ отличный,1679825,2400,5544b1aaaeec74be5214a2c18717f173,,177921,,,,ADMITAD
20,2021-09-27 07:13:36,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,4616475,500,832d0cc6b0fcc12dee28fad17be45459,,72795,,,,ADMITAD
21,2021-09-27 04:06:59,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,4839905,4500,4f265629e72d442b2de3386bf2fd9e3e,,1055604,,,,ADMITAD
22,2021-09-27 03:50:57,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5496764,500,1c4d9d5f7984c823d91b88cd9df4af8a,,1146051,,,,ADMITAD
23,2021-09-26 18:38:31,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5418534,4500,0897ff61a502861954f466d37b736623,,1055604,,,,ADMITAD
24,2021-09-26 16:42:57,Konga,Konga CPA,Займ отличный,1825963,2400,2649fc4aec626e6819fe80981418d559,,1512587,,,,ADMITAD
25,2021-09-26 14:33:57,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5499917,500,6f2874b8817c1de0af42b59998520eb3,,52519,,,,ADMITAD
26,2021-09-26 10:01:36,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5390422,500,3755b8cf5ab03430a11c6c6c60c7dada,,2506,,,,ADMITAD
