,ts,project,offer_title,goal_name,goal_id,payouts,sub1,sub2,sub3,sub4,sub5,sub6,affiliate
0,2021-09-30 21:32:23,Lime,Lime CPA,Займ отличный,5583921,4500,1027eebb9ff3e2a5cd05254b6ba793,,AFFID,,,,BANKI
1,2021-09-30 19:39:42,Lime,Lime CPA,Займ хороший,5583351,3000,10228ca0cb9af06c34f61740b0ebbf,,AFFID,,,,BANKI
2,2021-09-30 18:38:32,Lime,Lime CPA,Займ отличный,5583134,4500,102415daa7df9dbd3718fb6e0a24ce,,AFFID,,,,BANKI
3,2021-09-30 17:52:39,Lime,Lime CPA,Займ отличный,5582904,4500,1028d6dfa4c7602735cc695e1a0e83,,AFFID,,,,BANKI
4,2021-09-30 17:43:37,Lime,Lime CPA,Займ отличный,5582795,4500,1029aae9d00110648b38ce035f2592,,AFFID,,,,BANKI
5,2021-09-30 16:30:32,Lime,Lime CPA,Займ хороший,5582383,3000,102d28a0f980d467b89f343d72f39f,,AFFID,,,,BANKI
6,2021-09-30 14:36:33,Konga,Konga CPA,Займ отличный,1833717,2400,10225262bed1d5c43b806016ac2231,,,,,,BANKI
7,2021-09-30 13:33:16,Konga,Konga CPA,Займ отличный,1833624,2400,102386b447394b51c8a34d43d856e0,,,,,,BANKI
8,2021-09-30 12:06:30,Lime,Lime CPA,Займ отличный,5580266,4500,1026c16ed56786ae0041f7d3202b37,,AFFID,,,,BANKI
9,2021-09-30 11:32:31,Lime,Lime CPA,Займ хороший,5580079,3000,10298a398748822c49fd184058d1fb,,AFFID,,,,BANKI
10,2021-09-30 11:23:21,Lime,Lime CPA,Займ отличный,5580320,4500,10279935cf183c316f6b85281bbbeb,,AFFID,,,,BANKI
11,2021-09-30 11:19:15,Lime,Lime CPA,Займ отличный,5580274,4500,102ed81f94a72460d4d71c248310a8,,AFFID,,,,BANKI
12,2021-09-30 08:21:11,Lime,Lime CPA,Займ отличный,5579502,4500,1024e841f9c4b968621b2db7c60f99,,AFFID,,,,BANKI
13,2021-09-30 08:14:39,Lime,Lime CPA,Займ отличный,5510876,4500,10240f6133e59cd0d49d2bf93c3736,,AFFID,,,,BANKI
14,2021-09-30 07:01:52,Konga,Konga CPA,Займ отличный,1833215,2400,1021d6b454bc7be7a5d6e84cf328d2,,,,,,BANKI
15,2021-09-30 07:00:06,Lime,Lime CPA,Займ отличный,5579293,4500,102a22d6dc8353edc310628f06f37d,,AFFID,,,,BANKI
16,2021-09-30 06:33:09,Lime,Lime CPA,Займ отличный,5579295,4500,102bf01f46832fa5303001f49e3c1c,,AFFID,,,,BANKI
17,2021-09-30 06:13:47,Lime,Lime CPA,Займ отличный,5578702,4500,102757426b43c3ebdb23cd44a1a01a,,AFFID,,,,BANKI
18,2021-09-29 22:51:47,Lime,Lime CPA,Займ хороший,5578583,3000,1020fd5a31f1a18fe02d230f9f4c7d,,AFFID,,,,BANKI
19,2021-09-29 22:03:13,Konga,Konga CPA,Займ отличный,1832909,2400,10278c472bbedc25460b210432d260,,,,,,BANKI
20,2021-09-29 20:59:00,Lime,Lime CPA,Займ хороший,5574582,3000,102df048d3c79541e1a6f97126a0e3,,AFFID,,,,BANKI
21,2021-09-29 20:33:12,Lime,Lime CPA,Займ отличный,5578080,4500,10254d5455310a58acdf44af0e02a2,,AFFID,,,,BANKI
22,2021-09-29 20:29:20,Lime,Lime CPA,Займ средний,5572861,1800,102dd253c18e99bd0ca72dc56a5f49,,AFFID,,,,BANKI
