,ts,project,offer_title,goal_name,goal_id,payouts,sub1,sub2,sub3,sub4,sub5,sub6,affiliate
0,2021-09-30 21:40:20,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1834175,2400,6155f88df4dba90001d38ee4,,,,,,BANKIROS
1,2021-09-30 20:15:19,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5424985,3000,614f76e6f4dba90001d0e13a,,,,,,BANKIROS
2,2021-09-30 19:02:51,Konga,Konga // Hybrid (new+repeat loans),Повторный займ,1791120,300,61517de3f4dba90001d1a75c,,,,,,BANKIROS
3,2021-09-30 17:21:20,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5582696,3000,6155c4acf4dba90001d377f2,,,,,,BANKIROS
4,2021-09-30 14:44:17,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5446533,500,6142f938f4dba90001cb9ed8,,,,,,BANKIROS
5,2021-09-30 13:40:34,Konga,Konga // Hybrid (new+repeat loans),Повторный займ,1745108,300,61433e0df4dba90001cbcc1b,,,,,,BANKIROS
6,2021-09-30 10:27:17,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5580048,3000,6153d40ef4dba90001d29081,,,,,,BANKIROS
7,2021-09-30 05:46:10,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1833148,2400,6155089ff4dba90001d317bf,,,,,,BANKIROS
8,2021-09-29 21:23:46,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1832968,2400,6154ab0df4dba90001d30353,,,,,,BANKIROS
9,2021-09-29 19:35:16,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1832862,2400,615492b9f4dba90001d2f99d,,,,,,BANKIROS
10,2021-09-29 18:33:11,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1832791,2400,61548218f4dba90001d2f206,,,,,,BANKIROS
11,2021-09-29 13:19:34,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,2708998,500,613eb8c8f4dba90001f90f61,,,,,,BANKIROS
12,2021-09-29 13:12:49,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1832379,2400,6154317bf4dba90001d2c572,,,,,,BANKIROS
13,2021-09-29 13:08:33,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,771523,500,6154345ef4dba90001d2c77d,,,,,,BANKIROS
14,2021-09-29 13:07:14,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1692123,2400,6154394cf4dba90001d2ca9a,,,,,,BANKIROS
15,2021-09-29 13:03:57,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1832305,2400,61541f4cf4dba90001d2b8e1,,,,,,BANKIROS
16,2021-09-29 07:53:58,Konga,Konga // Hybrid (new+repeat loans),Повторный займ,1675526,300,6153f037f4dba90001d298bf,,,,,,BANKIROS
17,2021-09-29 06:18:31,Konga,Konga // Hybrid (new+repeat loans),Повторный займ,1776488,300,6153d54cf4dba90001d290c1,,,,,,BANKIROS
18,2021-09-29 02:31:57,Konga,Konga // Hybrid (new+repeat loans),Повторный займ,1578328,300,6153a4d6f4dba90001d2895e,,,,,,BANKIROS
19,2021-09-28 15:36:47,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5156197,500,61530be0f4dba90001d2535b,,,,,,BANKIROS
20,2021-09-28 11:23:37,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5543614,500,614648adf4dba90001ccfa35,,,,,,BANKIROS
21,2021-09-28 10:58:30,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5570540,3000,6152caa1f4dba90001d22b4d,,,,,,BANKIROS
22,2021-09-28 09:26:37,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1769958,2400,61522891f4dba90001d1f8ed,,,,,,BANKIROS
23,2021-09-28 09:22:38,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5570181,4500,614665c3f4dba90001ccff9d,,,,,,BANKIROS
24,2021-09-28 09:16:13,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5412920,500,6151a556f4dba90001d1c0a5,,,,,,BANKIROS
25,2021-09-28 07:41:26,Konga,Konga // Hybrid (new+repeat loans),Повторный займ,1824068,300,61529c35f4dba90001d20d2e,,,,,,BANKIROS
26,2021-09-28 05:02:29,Konga,Konga // Hybrid (new+repeat loans),Повторный займ,1818825,300,6152743ef4dba90001d20401,,,,,,BANKIROS
27,2021-09-27 19:27:58,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5569259,4500,6151edc6f4dba90001d1e3b7,,,,,,BANKIROS
28,2021-09-27 19:12:37,Konga,Konga // Hybrid (new+repeat loans),Повторный займ,1806132,300,6151eca4f4dba90001d1e332,,,,,,BANKIROS
29,2021-09-27 18:42:34,Konga,Konga // Hybrid (new+repeat loans),Повторный займ,1778372,300,612b1dabf4dba90001a90c27,,,,,,BANKIROS
30,2021-09-27 18:37:00,Konga,Konga // Hybrid (new+repeat loans),Повторный займ,1778413,300,612b1dabf4dba90001a90c27,,,,,,BANKIROS
31,2021-09-27 18:24:05,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5217975,3000,6151e1c7f4dba90001d1ddf3,,,,,,BANKIROS
32,2021-09-27 14:58:11,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1829457,2400,6151b121f4dba90001d1c6ad,,,,,,BANKIROS
33,2021-09-27 09:41:42,Konga,Konga // Hybrid (new+repeat loans),Повторный займ,1571284,300,61516729f4dba90001d19493,,,,,,BANKIROS
34,2021-09-27 08:56:04,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5537224,500,61515bfff4dba90001d189cd,,,,,,BANKIROS
35,2021-09-27 07:44:17,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1708896,2400,615147a5f4dba90001d17e1d,,,,,,BANKIROS
36,2021-09-27 06:09:24,Konga,Konga // Hybrid (new+repeat loans),Повторный займ,1815354,300,614ad301f4dba90001cee314,,,,,,BANKIROS
37,2021-09-27 04:58:06,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,4317070,500,61512368f4dba90001d17635,,,,,,BANKIROS
38,2021-09-27 04:02:43,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5551852,500,614a5200f4dba90001ceb9ad,,,,,,BANKIROS
39,2021-09-26 17:57:41,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5565670,4500,6150874bf4dba90001d14d51,,,,,,BANKIROS
40,2021-09-26 15:39:09,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1829467,2400,615067e6f4dba90001d13ed6,,,,,,BANKIROS
41,2021-09-26 12:31:27,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,4761750,500,61503ccaf4dba90001d125d5,,,,,,BANKIROS
42,2021-09-26 12:17:22,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,4762364,3000,61502208f4dba90001d112aa,,,,,,BANKIROS
43,2021-09-26 12:01:15,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,2532302,3000,61503537f4dba90001d12144,,,,,,BANKIROS
44,2021-09-26 09:24:04,Konga,Konga // Hybrid (new+repeat loans),Повторный займ,1472051,300,61500f90f4dba90001d10015,,,,,,BANKIROS
45,2021-09-26 09:08:39,Konga,Konga // Hybrid (new+repeat loans),Повторный займ,748463,300,61500c14f4dba90001d0fead,,,,,,BANKIROS
46,2021-09-26 08:09:27,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5158849,500,614fff9ff4dba90001d0fa6f,,,,,,BANKIROS
47,2021-09-26 06:51:35,Konga,Konga // Hybrid (new+repeat loans),Повторный займ,1818764,300,614fedaef4dba90001d0f54d,,,,,,BANKIROS
48,2021-09-26 05:35:43,Konga,Konga // Hybrid (new+repeat loans),Повторный займ,1646712,300,614f5318f4dba90001d0d4bb,,,,,,BANKIROS
49,2021-09-25 21:12:50,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1826376,2400,614f660df4dba90001d0dbbe,,,,,,BANKIROS
50,2021-09-25 16:48:03,Konga,Konga // Hybrid (new+repeat loans),Повторный займ,1704221,300,614f2718f4dba90001d0c2b2,,,,,,BANKIROS
51,2021-09-25 14:14:57,Konga,Konga // Hybrid (new+repeat loans),Повторный займ,1531271,300,614f02f4f4dba90001d0b075,,,,,,BANKIROS
52,2021-09-25 13:52:02,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5561898,3000,614efda0f4dba90001d0ae1b,,,,,,BANKIROS
53,2021-09-25 12:59:09,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5558512,500,614dc5caf4dba90001d03d76,,,,,,BANKIROS
54,2021-09-25 12:39:04,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5561633,3000,614eea8bf4dba90001d0a2c5,,,,,,BANKIROS
55,2021-09-24 23:56:53,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1827528,2400,614e3925f4dba90001d06a49,,,,,,BANKIROS
56,2021-09-24 20:51:24,Konga,Konga // Hybrid (new+repeat loans),Повторный займ,1678520,300,614e0ef8f4dba90001d05dab,,,,,,BANKIROS
57,2021-09-24 20:32:47,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5559998,4500,614dfb1df4dba90001d055e8,,,,,,BANKIROS
58,2021-09-24 20:24:24,Konga,Konga // Hybrid (new+repeat loans),Повторный займ,1732726,300,614e0922f4dba90001d05b6f,,,,,,BANKIROS
59,2021-09-24 17:16:02,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5559578,4500,614dd67ff4dba90001d045fe,,,,,,BANKIROS
60,2021-09-24 15:00:57,Konga,Konga // Hybrid (new+repeat loans),Повторный займ,1731696,300,614dbd43f4dba90001d038aa,,,,,,BANKIROS
61,2021-09-24 14:02:18,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5559027,4500,614dac9ef4dba90001d02ec7,,,,,,BANKIROS
62,2021-09-24 12:04:44,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,3036312,4500,614d86c8f4dba90001d01324,,,,,,BANKIROS
63,2021-09-24 11:45:10,Konga,Konga // Hybrid (new+repeat loans),Повторный займ,1428578,300,614d8f24f4dba90001d019c6,,,,,,BANKIROS
64,2021-09-24 09:38:58,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1826558,2400,614d70e8f4dba90001d001f0,,,,,,BANKIROS
65,2021-09-23 23:39:56,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,2863281,500,614ce2f5f4dba90001cfdc89,,,,,,BANKIROS
66,2021-09-23 23:13:31,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1716244,2400,614cdf3ef4dba90001cfdbb0,,,,,,BANKIROS
67,2021-09-23 19:09:04,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5557114,4500,614ca20df4dba90001cfc3e7,,,,,,BANKIROS
68,2021-09-23 18:50:33,Konga,Konga // Hybrid (new+repeat loans),Повторный займ,1501479,300,614ca1d0f4dba90001cfc3cb,,,,,,BANKIROS
69,2021-09-23 13:58:06,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5140982,3000,614c5d2df4dba90001cf9d77,,,,,,BANKIROS
70,2021-09-23 12:15:48,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1825563,2400,614b83f4f4dba90001cf460d,,,,,,BANKIROS
71,2021-09-23 11:47:57,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5461326,500,614c3034f4dba90001cf7b07,,,,,,BANKIROS
72,2021-09-23 08:26:07,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5373850,500,614c0f40f4dba90001cf63f4,,,,,,BANKIROS
