,ts,project,offer_title,goal_name,goal_id,payouts,sub1,sub2,sub3,sub4,sub5,sub6,affiliate
0,2021-09-30 21:39:53,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5583941,4500,3PFZ1UVxIkZrktK,,wjLX9X,,,,CITYADS
1,2021-09-30 18:55:13,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,2767412,3000,3PFZ1UVv8HZEwvy,,KOxoXr,,,,CITYADS
2,2021-09-30 17:09:52,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5582613,4500,3PFZ1UVtaEZvPPi,,8qL0M2,,,,CITYADS
3,2021-09-30 16:46:41,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5582446,4500,3PFZ1UVt0BZvJ3H,,27EF,,,,CITYADS
4,2021-09-30 16:38:22,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,4839949,500,3PFZ1UVsQ2ZvKsV,,4QCp,,,,CITYADS
5,2021-09-30 15:31:35,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5581828,4500,3PFZ1UVrQnZ9Mxl,,wjLX9X,,,,CITYADS
6,2021-09-30 15:26:42,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1682113,2400,99XZ1UVrMcZAen5,,EloLQk,,,,CITYADS
7,2021-09-30 13:44:26,Konga,Konga // Hybrid (new+repeat loans),Повторный займ,1556209,300,99XZ1UVpqMZ9GCf,,EloLQk,,,,CITYADS
8,2021-09-30 13:28:09,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5581214,4500,3PFZ1UVpNSZiv8Y,,wjLX9X,,,,CITYADS
9,2021-09-30 13:19:29,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1833366,2400,99XZ1UVn1TZvJPs,,sp3,,,,CITYADS
10,2021-09-30 12:51:05,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1681368,2400,99XZ1UVoJfZ9N1L,,EloLQk,,,,CITYADS
11,2021-09-30 07:47:44,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5560764,500,3PFZ1UV4npZe6S9,,5eDh,,,,CITYADS
12,2021-09-30 01:14:58,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5522404,500,3PFZ1UVcWkZn1Mr,,5eDh,,,,CITYADS
13,2021-09-29 13:52:24,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5575898,4500,3PFZ1UV2YbZn1jY,,wjLX9X,,,,CITYADS
14,2021-09-29 13:34:57,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5564828,4500,3PFZ1UTTe3ZA8DV,,5eDh,,,,CITYADS
15,2021-09-29 13:09:01,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1832345,2400,99XZ1UV2kIZEEb6,,EloLQk,,,,CITYADS
16,2021-09-29 09:31:54,Konga,Konga CPA,Займ отличный,1832185,2400,7WWZ1UUXKmZrke6,,5eDh,,,,CITYADS
17,2021-09-29 09:01:57,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5434962,500,3PFZ1UQV4wZvI51,,27EF,,,,CITYADS
18,2021-09-28 19:45:56,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5572398,4500,3PFZ1UUKnxZEwE8,,wjLX9X,,,,CITYADS
19,2021-09-28 15:00:22,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5537611,500,3PFZ1UQb9uZmUac,,5eDh,,,,CITYADS
20,2021-09-28 14:16:52,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5571059,4500,3PFZ1UUFdrZiwPX,,wjLX9X,,,,CITYADS
21,2021-09-28 12:33:14,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5570958,3000,3PFZ1UUDezZ9LUN,,KOxoXr,,,,CITYADS
22,2021-09-28 11:18:10,Konga,Konga CPA,Займ отличный,1825439,2400,7WWZ1UUCkeZvOGs,,oY4w23,,,,CITYADS
23,2021-09-28 10:37:36,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5570544,4500,3PFZ1UUBzaZAez8,,wjLX9X,,,,CITYADS
