,ts,project,offer_title,goal_name,goal_id,payouts,sub1,sub2,sub3,sub4,sub5,sub6,affiliate
0,2021-09-30 21:43:00,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5348164,500,,bus,,,,,FINPUBLIC
1,2021-09-30 21:11:21,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,2857224,4500,,,om,,,,FINPUBLIC
2,2021-09-30 16:16:26,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5582294,4500,,,,zr,,,FINPUBLIC
3,2021-09-30 16:07:05,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5497564,3000,,bus,,,,,FINPUBLIC
4,2021-09-30 12:45:00,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5530438,3000,,bus,,,,,FINPUBLIC
5,2021-09-30 11:58:03,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5445068,3000,,bus,,,,,FINPUBLIC
6,2021-09-30 11:30:08,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5580390,4500,,bus,,,,,FINPUBLIC
7,2021-09-30 11:00:49,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5580267,4500,,bus,,,,,FINPUBLIC
8,2021-09-30 08:14:08,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5579452,4500,zs,,,,,,FINPUBLIC
9,2021-09-29 22:20:08,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,4999628,4500,,,om,,,,FINPUBLIC
10,2021-09-29 21:30:28,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5578373,4500,,,om,,,,FINPUBLIC
11,2021-09-29 19:14:04,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5577799,4500,,bus,,,,,FINPUBLIC
12,2021-09-29 18:47:56,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5023976,4500,,bus,,,,,FINPUBLIC
13,2021-09-29 17:39:22,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5174563,500,zs,,,,,,FINPUBLIC
14,2021-09-29 16:20:57,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,4813082,3000,,bus,,,,,FINPUBLIC
15,2021-09-29 14:04:58,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5100623,3000,,bus,,,,,FINPUBLIC
16,2021-09-29 10:26:18,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5573874,4500,,bus,,,,,FINPUBLIC
17,2021-09-29 10:06:52,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5573804,4500,,,om,,,,FINPUBLIC
18,2021-09-29 09:39:30,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5573494,4500,,,om,,,,FINPUBLIC
19,2021-09-29 09:37:39,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5573689,3000,,bus,,,,,FINPUBLIC
20,2021-09-29 08:07:12,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5573404,4500,,bus,,,,,FINPUBLIC
21,2021-09-29 07:25:45,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5176222,4500,,bus,,,,,FINPUBLIC
22,2021-09-28 21:59:20,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5572757,3000,zs,,,,,,FINPUBLIC
23,2021-09-28 18:51:33,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5572198,4500,,bus,,,,,FINPUBLIC
24,2021-09-28 17:58:36,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,4093269,500,,bus,,,,,FINPUBLIC
25,2021-09-28 13:40:44,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5571223,4500,,bus,,,,,FINPUBLIC
