,ts,project,offer_title,goal_name,goal_id,payouts,sub1,sub2,sub3,sub4,sub5,sub6,affiliate
0,2021-09-30 10:13:59,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5526590,500,xMizab,,,,,,KIPNET
1,2021-09-29 19:39:12,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,4786351,500,keSyab,,,,,,KIPNET
2,2021-09-29 18:58:05,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5577679,4500,p0jBab,,,,,,KIPNET
3,2021-09-29 18:00:24,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5514394,500,zmgyab,,,,,,KIPNET
4,2021-09-29 13:34:59,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5014287,500,Xz4Aab,,,,,,KIPNET
5,2021-09-29 12:57:08,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5559333,3000,ZpjAab,,,,,,KIPNET
6,2021-09-29 09:37:45,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5558211,500,7ajAab,,,,,,KIPNET
7,2021-09-28 21:00:41,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5195470,500,IPvAab,,,,,,KIPNET
8,2021-09-28 19:06:07,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5268576,3000,4U4Aab,,,,,,KIPNET
9,2021-09-28 16:00:55,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5341884,4500,ak4Aab,,,,,,KIPNET
10,2021-09-28 15:49:39,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5542154,500,nvazab,,,,,,KIPNET
11,2021-09-28 13:31:48,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5570635,4500,rz4Aab,,,,,,KIPNET
12,2021-09-28 11:18:04,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5570673,4500,BA4Aab,,,,,,KIPNET
13,2021-09-28 08:11:42,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5455876,500,PDZAab,,,,,,KIPNET
14,2021-09-27 19:15:57,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5568819,4500,ruVAab,,,,,,KIPNET
15,2021-09-27 17:06:47,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5121839,4500,0kVAab,,,,,,KIPNET
16,2021-09-27 10:50:22,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,2193253,4500,Pijxab,,,,,,KIPNET
17,2021-09-27 09:36:38,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,3310662,4500,IpZyab,,,,,,KIPNET
18,2021-09-27 09:10:18,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,4856925,500,9N5zab,,,,,,KIPNET
19,2021-09-27 08:32:06,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5488910,500,XcTzab,,,,,,KIPNET
20,2021-09-27 06:34:53,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5097454,500,9lFzab,,,,,,KIPNET
21,2021-09-26 21:36:58,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,4567778,500,SNLyab,,,,,,KIPNET
22,2021-09-26 09:36:32,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5519907,500,xwFzab,,,,,,KIPNET
23,2021-09-25 19:39:59,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5557291,4500,4WiAab,,,,,,KIPNET
24,2021-09-25 17:09:54,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5562305,4500,uvjAab,,,,,,KIPNET
25,2021-09-25 14:39:49,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,4112607,500,HATzab,,,,,,KIPNET
26,2021-09-25 14:17:51,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5537811,500,SVizab,,,,,,KIPNET
27,2021-09-25 09:34:11,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5499800,4500,oazAab,,,,,,KIPNET
28,2021-09-25 03:21:30,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5559384,4500,lAjAab,,,,,,KIPNET
29,2021-09-24 17:57:55,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5393971,500,iijAab,,,,,,KIPNET
30,2021-09-24 17:17:56,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5174420,3000,06uAab,,,,,,KIPNET
31,2021-09-24 16:29:36,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5269308,500,Suazab,,,,,,KIPNET
32,2021-09-24 15:33:48,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5559086,4500,pBjAab,,,,,,KIPNET
33,2021-09-24 15:01:57,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5559212,3000,kdOyab,,,,,,KIPNET
34,2021-09-24 09:48:15,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5558211,4500,7ajAab,,,,,,KIPNET
35,2021-09-24 09:14:47,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5558159,4500,d9Szab,,,,,,KIPNET
36,2021-09-24 08:20:28,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5175156,500,n0iAab,,,,,,KIPNET
37,2021-09-23 19:21:45,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,4443738,4500,BjgAab,,,,,,KIPNET
38,2021-09-23 18:41:32,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5557029,4500,vbVyab,,,,,,KIPNET
39,2021-09-23 14:25:11,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5457865,500,mX5zab,,,,,,KIPNET
40,2021-09-23 13:30:35,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5483763,500,IELyab,,,,,,KIPNET
41,2021-09-23 11:55:48,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,4831553,4500,bR5zab,,,,,,KIPNET
42,2021-09-22 22:39:06,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5526258,3000,qG5zab,,,,,,KIPNET
43,2021-09-22 18:22:11,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5287606,3000,Ee0zab,,,,,,KIPNET
44,2021-09-22 16:51:36,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5553674,3000,FOTzab,,,,,,KIPNET
45,2021-09-22 14:46:52,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5550746,4500,UVFzab,,,,,,KIPNET
46,2021-09-22 14:28:33,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5532095,4500,bINyab,,,,,,KIPNET
47,2021-09-22 13:19:48,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5553088,4500,hATzab,,,,,,KIPNET
48,2021-09-22 13:14:53,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5551800,4500,o0Szab,,,,,,KIPNET
49,2021-09-22 09:49:52,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5552345,4500,leTzab,,,,,,KIPNET
50,2021-09-22 00:16:55,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,2166652,500,,,,,,,KIPNET
51,2021-09-21 22:04:53,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5551442,3000,Z7Szab,,,,,,KIPNET
52,2021-09-21 22:01:54,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5441636,4500,Q4Szab,,,,,,KIPNET
53,2021-09-21 13:07:18,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5547349,4500,fsuzab,,,,,,KIPNET
54,2021-09-21 10:36:40,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5387088,500,aYAzab,,,,,,KIPNET
55,2021-09-21 03:09:08,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,3281517,500,OeSyab,,,,,,KIPNET
56,2021-09-20 21:03:38,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5514402,500,TdFzab,,,,,,KIPNET
57,2021-09-20 18:47:18,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5548231,4500,50Azab,,,,,,KIPNET
58,2021-09-20 17:53:36,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5548150,4500,kZAzab,,,,,,KIPNET
59,2021-09-20 16:45:28,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5469402,500,dUizab,,,,,,KIPNET
60,2021-09-20 08:26:23,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5546637,3000,k6tzab,,,,,,KIPNET
61,2021-09-20 06:56:34,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5509578,500,Y2izab,,,,,,KIPNET
62,2021-09-19 18:17:58,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,4933550,3000,1nOyab,,,,,,KIPNET
63,2021-09-19 17:39:39,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5545572,4500,t1rzab,,,,,,KIPNET
64,2021-09-19 15:09:58,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5215596,500,dhjzab,,,,,,KIPNET
65,2021-09-19 12:42:09,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5248939,4500,SIizab,,,,,,KIPNET
66,2021-09-19 11:49:10,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5544479,3000,Y5izab,,,,,,KIPNET
67,2021-09-19 05:15:42,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5344298,3000,T89yab,,,,,,KIPNET
68,2021-09-18 17:29:39,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5542154,3000,nvazab,,,,,,KIPNET
69,2021-09-18 17:05:17,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5487767,500,cGizab,,,,,,KIPNET
70,2021-09-18 13:30:41,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5176726,500,VyVyab,,,,,,KIPNET
71,2021-09-18 10:55:42,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,4253130,4500,Ujazab,,,,,,KIPNET
72,2021-09-17 19:06:31,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5396654,3000,A59yab,,,,,,KIPNET
73,2021-09-17 15:17:54,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,2071384,500,Pijxab,,,,,,KIPNET
74,2021-09-17 12:30:19,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5324698,500,0iZyab,,,,,,KIPNET
75,2021-09-17 11:07:33,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5538660,3000,qeZyab,,,,,,KIPNET
76,2021-09-17 08:03:06,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3930039,3000,XVYyab,,,,,,KIPNET
77,2021-09-16 23:26:59,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5045280,500,MjQxab,,,,,,KIPNET
78,2021-09-16 18:18:28,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5122159,500,JaMyab,,,,,,KIPNET
79,2021-09-16 14:22:49,Lime,Lime // Hybrid (new+repeat loans),Займ средний,5010922,1800,vbMyab,,,,,,KIPNET
80,2021-09-16 13:24:20,Lime,Lime // Hybrid (new+repeat loans),Займ средний,5536483,1800,NhVyab,,,,,,KIPNET
81,2021-09-16 13:02:32,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5286892,500,Fvzyab,,,,,,KIPNET
82,2021-09-16 12:58:26,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5536551,3000,jxCyab,,,,,,KIPNET
83,2021-09-16 08:27:57,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5075229,500,z6Uyab,,,,,,KIPNET
84,2021-09-15 21:08:17,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3281517,3000,OeSyab,,,,,,KIPNET
85,2021-09-15 19:20:18,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5333285,3000,zrTyab,,,,,,KIPNET
86,2021-09-15 15:08:36,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5533206,4500,IMPyab,,,,,,KIPNET
87,2021-09-15 13:27:15,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5136284,3000,U7Nyab,,,,,,KIPNET
88,2021-09-15 12:51:51,Lime,Lime // Hybrid (new+repeat loans),Займ средний,5325053,1800,VgOyab,,,,,,KIPNET
89,2021-09-15 11:26:01,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,2091700,500,zzzyab,,,,,,KIPNET
90,2021-09-14 20:35:34,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5395413,500,HNNyab,,,,,,KIPNET
91,2021-09-14 01:06:29,Lime,Lime // Hybrid (new+repeat loans),Займ средний,5529867,1800,X5Byab,,,,,,KIPNET
92,2021-09-14 00:48:15,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5529851,4500,LWzyab,,,,,,KIPNET
93,2021-09-13 19:34:07,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5529267,3000,zNByab,,,,,,KIPNET
94,2021-09-13 17:40:20,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,4568009,3000,exzyab,,,,,,KIPNET
95,2021-09-13 15:42:43,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5528711,3000,47uyab,,,,,,KIPNET
96,2021-09-13 15:29:30,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5477792,500,,,,,,,KIPNET
97,2021-09-13 14:51:22,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5528507,3000,o6uyab,,,,,,KIPNET
98,2021-09-13 12:04:40,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5527945,4500,r8syab,,,,,,KIPNET
99,2021-09-13 10:49:46,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5462943,4500,,,,,,,KIPNET
100,2021-09-12 09:45:44,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,4451998,500,CZ2xab,,,,,,KIPNET
101,2021-09-11 07:40:56,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5496174,500,me8wab,,,,,,KIPNET
102,2021-09-10 16:47:48,Lime,Lime // Hybrid (new+repeat loans),Займ средний,5514394,1800,zmgyab,,,,,,KIPNET
103,2021-09-10 13:50:31,Lime,Lime // Hybrid (new+repeat loans),Займ средний,5520843,1800,r3eyab,,,,,,KIPNET
