,ts,project,offer_title,goal_name,goal_id,payouts,sub1,sub2,sub3,sub4,sub5,sub6,affiliate
0,2021-09-30 20:02:07,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5583582,4500,doej538037t,,,,,,KOSMOS
1,2021-09-30 19:28:10,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5583435,4500,lspcbc802dv,,,,,,KOSMOS
2,2021-09-30 19:09:15,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5582310,4500,2j6fpc1801jf,,,,,,KOSMOS
3,2021-09-30 18:54:21,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5583219,4500,1n0mnh800v1,,,,,,KOSMOS
4,2021-09-30 17:52:53,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5536350,500,26mob0178gh7,,,,,,KOSMOS
5,2021-09-30 17:50:21,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5582878,4500,1s6aepo7vsf2,,,,,,KOSMOS
6,2021-09-30 17:29:52,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5560263,500,iksr9g7ticl,,,,,,KOSMOS
7,2021-09-30 17:26:37,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5582642,4500,14v8c737vqvg,,,,,,KOSMOS
8,2021-09-30 17:10:12,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,4263550,4500,3r64q657vqub,,,,,,KOSMOS
9,2021-09-30 16:43:00,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5582478,3000,3645sfe7vpok,,,,,,KOSMOS
10,2021-09-30 15:58:55,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5565992,500,3h22cdl7nupq,,,,,,KOSMOS
11,2021-09-30 15:46:23,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5200929,4500,3t6oklq7vkkg,,,,,,KOSMOS
12,2021-09-30 15:00:08,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5581297,3000,1ri9lra7v5et,,,,,,KOSMOS
13,2021-09-30 14:41:06,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1833703,2400,3f5rg5n7vb0o,,,,,,KOSMOS
14,2021-09-30 14:11:28,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1833683,2400,17ivlc37va69,,,,,,KOSMOS
15,2021-09-30 13:43:35,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5286041,500,3i8j59c74q2s,,,,,,KOSMOS
16,2021-09-30 13:38:07,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,4718634,4500,2871rn97v4mb,,,,,,KOSMOS
17,2021-09-30 13:18:27,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5581136,4500,3vhut3v7uj89,,,,,,KOSMOS
18,2021-09-30 13:16:26,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5581099,4500,2bonpph7v207,,,,,,KOSMOS
19,2021-09-30 13:12:35,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5580888,4500,ek078e7uslj,,,,,,KOSMOS
20,2021-09-30 13:00:29,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5581047,3000,18e0m827v1i6,,,,,,KOSMOS
21,2021-09-30 13:00:04,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,3150509,4500,2eqbudp7v00s,,,,,,KOSMOS
22,2021-09-30 12:53:51,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5580812,3000,1okiner7upen,,,,,,KOSMOS
23,2021-09-30 12:33:08,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5580639,4500,3uhs8ri7uoht,,,,,,KOSMOS
24,2021-09-30 12:31:24,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,4943660,3000,2rqphs47ur8i,,,,,,KOSMOS
25,2021-09-30 11:54:58,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5228950,4500,36klgq97unit,,,,,,KOSMOS
