,ts,project,offer_title,goal_name,goal_id,payouts,sub1,sub2,sub3,sub4,sub5,sub6,affiliate
0,2021-09-30 22:51:30,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5584131,3000,9ab8d75c-360f-49bb-9700-342af151fb46,,79c1c280-0a3f-11eb-9f7f-3766883c8965,,,,LEADCRAFT
1,2021-09-30 22:24:40,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,4940187,3000,6c10ca60-719c-4785-b40c-f71942b1e856,,2e00ba30-6912-11ea-8235-d16b1ab9c875,,,,LEADCRAFT
2,2021-09-30 21:47:17,Lime,Lime CPA,Займ хороший,5547483,3000,72addea6-7c33-4751-b957-919fdb285559,,79c1c280-0a3f-11eb-9f7f-3766883c8965,,,,LEADCRAFT
3,2021-09-30 18:46:21,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5581472,3000,9a2415fa-97fa-4e8e-a297-89725bddf0ec,,79c1c280-0a3f-11eb-9f7f-3766883c8965,,,,LEADCRAFT
4,2021-09-30 07:15:26,Konga,Konga // Hybrid (new+repeat loans),Повторный займ,1794519,300,4b997327-8a11-4863-8464-6465f9e5d4f5,,47f559e0-20e4-11ea-b365-075a0e0928a3,,,,LEADCRAFT
5,2021-09-30 04:51:14,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5578888,4500,47f01906-ed4c-465b-b3ed-126da3f31b93,,79c1c280-0a3f-11eb-9f7f-3766883c8965,,,,LEADCRAFT
6,2021-09-29 19:08:52,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5577785,4500,0f46cc5f-7b56-4785-92e6-0ba139e5ab15,,79c1c280-0a3f-11eb-9f7f-3766883c8965,,,,LEADCRAFT
7,2021-09-29 18:42:08,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5577401,4500,4c260533-6230-4faa-a316-bd294867d98e,,79c1c280-0a3f-11eb-9f7f-3766883c8965,,,,LEADCRAFT
8,2021-09-29 17:54:45,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5577428,3000,008b8684-cac7-4d2e-a92d-543d78134b87,,79c1c280-0a3f-11eb-9f7f-3766883c8965,,,,LEADCRAFT
9,2021-09-29 17:42:02,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5577319,3000,379f4ff2-1341-4168-be8c-e5d10de985eb,,79c1c280-0a3f-11eb-9f7f-3766883c8965,,,,LEADCRAFT
10,2021-09-29 10:29:33,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5573951,3000,17b043e7-f12e-4b23-834c-48c3ae7244bc,,daf27610-e81c-11e8-bff2-01a64d6cbfbc,,,,LEADCRAFT
11,2021-09-29 10:07:32,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5573587,4500,e2094168-940a-4815-8ee6-843e2dd76b00,,79c1c280-0a3f-11eb-9f7f-3766883c8965,,,,LEADCRAFT
12,2021-09-29 08:46:32,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5572870,4500,c28e9d01-850e-4a9a-8a2a-96086dd81a4b,,79c1c280-0a3f-11eb-9f7f-3766883c8965,,,,LEADCRAFT
13,2021-09-28 19:07:11,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5572334,3000,a8c9982e-ff81-4726-bc01-4f93ff08fd89,,79c1c280-0a3f-11eb-9f7f-3766883c8965,,,,LEADCRAFT
14,2021-09-27 23:02:22,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5569640,4500,f0aeeb8d-ac01-4b47-afb7-fbe219cabebf,,79c1c280-0a3f-11eb-9f7f-3766883c8965,,,,LEADCRAFT
15,2021-09-27 16:10:54,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5568572,4500,0a0164eb-e4cc-4322-80dc-ed2e2c172756,,b31dd630-769b-11eb-8372-b941f4aa34c8,,,,LEADCRAFT
16,2021-09-27 09:57:29,Lime,Lime CPA,Займ хороший,5567114,3000,18dcfa50-c5db-421e-b08d-012e2965dbc1,,ddadf520-e81c-11e8-82dd-f37fb23b05b7,,,,LEADCRAFT
17,2021-09-27 00:56:41,Lime,Lime CPA,Займ отличный,5566429,4500,2d12a522-f95a-45e0-beb3-9e15c94ed919,,79c1c280-0a3f-11eb-9f7f-3766883c8965,,,,LEADCRAFT
18,2021-09-26 21:37:58,Lime,Lime CPA,Займ средний,5565741,1800,946df501-9b6d-43e3-a8d4-fa963e0402f3,,79c1c280-0a3f-11eb-9f7f-3766883c8965,,,,LEADCRAFT
19,2021-09-26 20:53:02,Lime,Lime CPA,Займ хороший,5566039,3000,9bf7f91b-773c-41df-bc97-ef699850b125,,2e00ba30-6912-11ea-8235-d16b1ab9c875,,,,LEADCRAFT
20,2021-09-26 18:07:20,Lime,Lime CPA,Займ отличный,5565658,4500,39c2bc49-20be-4830-972c-f50a75123353,,79c1c280-0a3f-11eb-9f7f-3766883c8965,,,,LEADCRAFT
21,2021-09-26 15:54:46,Lime,Lime CPA,Займ отличный,5565282,4500,421fd78d-e1d5-47be-9da3-be2ee1ee9315,,79c1c280-0a3f-11eb-9f7f-3766883c8965,,,,LEADCRAFT
22,2021-09-26 14:43:08,Lime,Lime CPA,Займ отличный,5565054,4500,ff1d746d-47c0-4141-aa2c-9cd79572ae4a,,6d3b0ffe-2a1f-4715-af0b-cf384cdbfdfa,,,,LEADCRAFT
23,2021-09-26 14:22:33,Lime,Lime CPA,Займ хороший,5564981,3000,263340c6-abd3-4c46-bda8-2ab2138a5dab,,79c1c280-0a3f-11eb-9f7f-3766883c8965,,,,LEADCRAFT
24,2021-09-26 13:38:08,Lime,Lime CPA,Займ отличный,5564808,4500,63d3b069-0ab8-460f-8365-80d06d0d9bec,,6d3b0ffe-2a1f-4715-af0b-cf384cdbfdfa,,,,LEADCRAFT
25,2021-09-26 13:08:36,Lime,Lime CPA,Займ средний,5564654,1800,83d90ab2-2a6b-4531-b116-30382fe0f9a8,,79c1c280-0a3f-11eb-9f7f-3766883c8965,,,,LEADCRAFT
26,2021-09-26 13:04:24,Lime,Lime CPA,Займ отличный,5564658,4500,9235d271-411c-40ce-86e3-f80ff20ce826,,79c1c280-0a3f-11eb-9f7f-3766883c8965,,,,LEADCRAFT
27,2021-09-26 12:12:08,Lime,Lime CPA,Займ отличный,5564475,4500,bb8eecd3-ea87-4fe3-85c4-4f7cd977bd2b,,6d3b0ffe-2a1f-4715-af0b-cf384cdbfdfa,,,,LEADCRAFT
28,2021-09-26 11:57:38,Lime,Lime CPA,Займ отличный,5564413,4500,55db88cd-01eb-45d1-8804-a6978addaff9,,ddadf520-e81c-11e8-82dd-f37fb23b05b7,,,,LEADCRAFT
29,2021-09-26 11:48:04,Lime,Lime CPA,Займ средний,5564396,1800,01045cd7-6543-4414-8c5c-c548445c6495,,6d3b0ffe-2a1f-4715-af0b-cf384cdbfdfa,,,,LEADCRAFT
30,2021-09-26 11:33:53,Lime,Lime CPA,Займ средний,5564338,1800,45dedf36-e045-4c63-85bd-4343ce901fde,,6d3b0ffe-2a1f-4715-af0b-cf384cdbfdfa,,,,LEADCRAFT
31,2021-09-26 10:24:56,Lime,Lime CPA,Займ хороший,5564182,3000,8c84bdf7-60ed-46eb-a0f4-ef62c18b81be,,2e00ba30-6912-11ea-8235-d16b1ab9c875,,,,LEADCRAFT
32,2021-09-26 08:10:09,Lime,Lime CPA,Займ отличный,5563823,4500,bb40bbca-ba20-4fa0-9915-dd0c33a477a5,,79c1c280-0a3f-11eb-9f7f-3766883c8965,,,,LEADCRAFT
33,2021-09-25 19:09:41,Lime,Lime CPA,Займ хороший,5562605,3000,acc16dbd-5a59-435f-956e-921bc5e25fda,,82e30db8-149d-4685-8b64-a418f8ab5583,,,,LEADCRAFT
34,2021-09-25 15:54:39,Lime,Lime CPA,Займ отличный,5562348,4500,10bb591f-d7f9-4c1f-a5f7-e7ce135a4890,,82e30db8-149d-4685-8b64-a418f8ab5583,,,,LEADCRAFT
35,2021-09-25 14:45:27,Lime,Lime CPA,Займ отличный,5562067,4500,ae9447ac-a3b2-46de-acff-d67144fa45fa,,79c1c280-0a3f-11eb-9f7f-3766883c8965,,,,LEADCRAFT
36,2021-09-25 14:07:24,Lime,Lime CPA,Займ хороший,5561913,3000,49deaf60-dffd-4d23-80dd-fb3d8d0ef0a8,,82e30db8-149d-4685-8b64-a418f8ab5583,,,,LEADCRAFT
37,2021-09-25 14:04:24,Lime,Lime CPA,Займ отличный,5554656,4500,c08f2212-6bb4-4fef-a613-d3ff63f10ec3,,79c1c280-0a3f-11eb-9f7f-3766883c8965,,,,LEADCRAFT
38,2021-09-25 13:31:44,Lime,Lime CPA,Займ отличный,5561581,4500,dbf1078c-2e47-4239-910c-362f0a01f175,,6d3b0ffe-2a1f-4715-af0b-cf384cdbfdfa,,,,LEADCRAFT
39,2021-09-25 12:32:50,Lime,Lime CPA,Займ хороший,5561559,3000,0aec18fc-30a6-47a9-a253-4edc0ae86251,,79a82070-1eb8-11eb-a86d-8338106cfda8,,,,LEADCRAFT
40,2021-09-25 07:03:21,Lime,Lime CPA,Займ хороший,5560780,3000,c5e10dc1-69a7-4f46-8598-a08e713efb16,,6d3b0ffe-2a1f-4715-af0b-cf384cdbfdfa,,,,LEADCRAFT
41,2021-09-24 11:16:31,Lime,Lime CPA,Займ отличный,5558459,4500,c644c2df-ec12-4f8c-922d-b0fcf907eae0,,79c1c280-0a3f-11eb-9f7f-3766883c8965,,,,LEADCRAFT
42,2021-09-24 11:03:56,Lime,Lime CPA,Займ хороший,5558512,3000,11279c2b-f420-4728-9d15-a4838aee6483,,2e00ba30-6912-11ea-8235-d16b1ab9c875,,,,LEADCRAFT
43,2021-09-24 09:55:15,Lime,Lime CPA,Займ хороший,5558132,3000,9d868942-e4ac-4b2f-ab35-8ec57c919edc,,2e00ba30-6912-11ea-8235-d16b1ab9c875,,,,LEADCRAFT
44,2021-09-24 08:22:50,Lime,Lime CPA,Займ хороший,5555461,3000,171e09d0-3e95-4ef6-9a94-81e20b79d62c,,2e00ba30-6912-11ea-8235-d16b1ab9c875,,,,LEADCRAFT
45,2021-09-23 21:46:24,Lime,Lime CPA,Займ средний,5505408,1800,8ca6aee6-93a2-4239-8d25-f27d7e88a21b,,ddadf520-e81c-11e8-82dd-f37fb23b05b7,,,,LEADCRAFT
46,2021-09-23 17:56:17,Lime,Lime CPA,Займ хороший,5556382,3000,c9774fbf-eb7f-431d-99f6-97995df797b0,,79c1c280-0a3f-11eb-9f7f-3766883c8965,,,,LEADCRAFT
47,2021-09-23 12:50:02,Lime,Lime CPA,Займ отличный,5555974,4500,9b34d883-43f2-4675-9609-d34f2dca54de,,79c1c280-0a3f-11eb-9f7f-3766883c8965,,,,LEADCRAFT
48,2021-09-22 22:25:36,Lime,Lime CPA,Займ отличный,5554490,4500,7a627450-43d5-44fa-be34-3a2860c67046,,79c1c280-0a3f-11eb-9f7f-3766883c8965,,,,LEADCRAFT
