,ts,project,offer_title,goal_name,goal_id,payouts,sub1,sub2,sub3,sub4,sub5,sub6,affiliate
0,2021-09-30 21:08:15,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1834095,2400,aef6ac67-dbbf-4171-ac33-02e33c5aafe2,,795,,,,LEADTARGET
1,2021-09-30 19:58:48,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1834109,2400,ceda9c33-989d-404a-a5e9-9ed0751ee76d,,795,,,,LEADTARGET
2,2021-09-30 17:56:15,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5582435,4500,f58a4879-3812-49c1-a42b-6806deb10d85,,968,,,,LEADTARGET
3,2021-09-30 16:46:25,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5582391,4500,5dad1f20-635f-4c03-af4b-9e83ef0d4f0d,,843,,,,LEADTARGET
4,2021-09-30 16:27:19,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5582372,4500,223dff66-63e1-4dd4-8c76-54b03fac8369,,993,,,,LEADTARGET
5,2021-09-30 16:02:17,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5307635,500,31d06168-08e7-474d-ad0f-33893327dd95,,843,,,,LEADTARGET
6,2021-09-30 15:34:37,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5582035,4500,d174b4a1-3ae4-4a3f-8e57-729630943fe2,,993,,,,LEADTARGET
7,2021-09-30 08:17:48,Konga,Konga // Hybrid (new+repeat loans),Повторный займ,1714952,300,bffb7ddc-6d8a-4def-a379-ddf92cabd174,,795,,,,LEADTARGET
8,2021-09-30 07:50:16,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5219256,4500,2768c7a9-558e-423c-b274-750ec238f039,,993,,,,LEADTARGET
9,2021-09-30 07:12:22,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1833212,2400,2243eecc-eaca-4410-b7b6-b37486c68108,,789,,,,LEADTARGET
10,2021-09-29 22:35:20,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1833028,2400,3c4df2ed-a161-472c-aa6e-a7b54132a5d9,,795,,,,LEADTARGET
11,2021-09-29 18:51:43,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,4962645,4500,78926d43-65ce-4194-abee-deb43bf97f99,,968,,,,LEADTARGET
12,2021-09-29 18:33:40,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1832633,2400,d6d7f448-c443-4a05-9932-c40b9ff7d2df,,795,,,,LEADTARGET
13,2021-09-29 15:38:45,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5576431,4500,05027880-059e-46c6-a812-c2cc6b0d4222,,968,,,,LEADTARGET
14,2021-09-29 14:22:55,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5576088,4500,3ff2074c-7fdf-4dec-b8b8-6af2c5227558,,968,,,,LEADTARGET
15,2021-09-29 11:07:23,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5483668,3000,88ecf56d-fb85-4d6b-8dc8-6b647b03f2c8,,843,,,,LEADTARGET
16,2021-09-29 10:16:49,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1832116,2400,c6da5b18-2168-4ab5-88e9-045db103cd91,,789,,,,LEADTARGET
17,2021-09-29 06:01:09,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5573231,4500,27bf335a-7f32-4615-a213-dd4f31a51513,,993,,,,LEADTARGET
18,2021-09-29 03:58:45,Konga,Konga // Hybrid (new+repeat loans),Повторный займ,1766877,300,2490164d-f9cf-43d6-9d2a-e8a385f54d54,,795,,,,LEADTARGET
19,2021-09-29 00:01:16,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5421548,3000,575fdb5a-07ba-4f70-ab9a-cceecb199607,,874,,,,LEADTARGET
20,2021-09-28 18:25:39,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5572127,4500,13f756a5-5f2b-406f-baaf-0a42ed714fd3,,993,,,,LEADTARGET
21,2021-09-28 15:54:32,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1831580,2400,d885d539-6c25-4435-90cc-c4baa90cb29d,,795,,,,LEADTARGET
22,2021-09-28 12:55:29,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,4670741,500,87d2bcb6-0790-4a8a-8e8d-9a2b37a8e314,,1273,,,,LEADTARGET
23,2021-09-28 12:34:32,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5155657,3000,bd0f538f-ecca-4d91-b9be-98e843638367,,993,,,,LEADTARGET
24,2021-09-28 12:26:13,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1713038,2400,55275ee2-bb0b-4da6-8826-bd52348c9bd4,,789,,,,LEADTARGET
25,2021-09-28 11:23:41,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1831296,2400,6ba57255-442d-400d-a082-2868be490447,,789,,,,LEADTARGET
26,2021-09-28 07:29:58,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5373268,3000,0874ae3e-95fe-45dc-9052-238f999f1912,,843,,,,LEADTARGET
27,2021-09-28 04:06:23,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,2689397,500,7b7afa91-c080-4f16-850b-9c42b9d81680,,244,,,,LEADTARGET
28,2021-09-28 00:39:03,Konga,Konga // Hybrid (new+repeat loans),Повторный займ,1829770,300,9db6014d-a7d8-4d05-91a7-10dfb2974a80,,795,,,,LEADTARGET
29,2021-09-27 23:48:45,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5427352,500,d6d8430a-75a5-41cb-88f2-098bfafa137d,,843,,,,LEADTARGET
30,2021-09-27 19:46:56,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5256160,4500,d8400248-2a86-4bc5-bdfb-143f15b61c10,,968,,,,LEADTARGET
31,2021-09-27 15:08:38,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1830295,2400,5106ade5-6c3f-445e-b1e8-cad5bdfb1fcf,,789,,,,LEADTARGET
32,2021-09-27 12:32:13,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1766877,2400,2490164d-f9cf-43d6-9d2a-e8a385f54d54,,795,,,,LEADTARGET
33,2021-09-27 12:23:28,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1830363,2400,612e3d8b-a97b-45b7-a516-76269bf6cc86,,795,,,,LEADTARGET
34,2021-09-27 11:52:07,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1820455,2400,09670ba8-e4cb-427e-a1e8-c307220b7ae4,,795,,,,LEADTARGET
35,2021-09-27 09:08:58,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5524422,500,5ba8012b-e241-4290-be18-5b2daa39ed21,,843,,,,LEADTARGET
36,2021-09-27 03:24:51,Konga,Konga // Hybrid (new+repeat loans),Повторный займ,1715010,300,19cd1722-1a87-4a02-b906-806fefbd8c80,,795,,,,LEADTARGET
37,2021-09-27 00:52:27,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1828785,2400,08da2a08-fcb7-4873-86cb-18e7e9159406,,795,,,,LEADTARGET
38,2021-09-26 20:07:40,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5379332,500,b0667c2d-9f36-42fd-84b8-eec009f5dc2c,,843,,,,LEADTARGET
39,2021-09-26 19:53:08,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1829770,2400,9db6014d-a7d8-4d05-91a7-10dfb2974a80,,795,,,,LEADTARGET
40,2021-09-26 19:10:08,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5452154,3000,a1722f3d-4ae3-4e7d-91e7-10aa8beb359d,,1273,,,,LEADTARGET
41,2021-09-26 17:37:21,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1829588,2400,c79d34b3-f8b4-4851-badd-4c436bb732c0,,129,,,,LEADTARGET
42,2021-09-26 15:41:19,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5564332,4500,71da95ed-3d87-40d1-bd7b-5ba6b0cbf504,,968,,,,LEADTARGET
43,2021-09-26 14:58:40,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5564735,4500,d6860eef-952c-4243-bbc3-0c58a8388818,,968,,,,LEADTARGET
44,2021-09-26 13:22:26,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5564276,4500,1741204a-a9b0-4bf3-82af-3da807d4c3b1,,968,,,,LEADTARGET
45,2021-09-26 13:00:50,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1828238,2400,75e1756e-d25f-4683-9f5c-0fa820097702,,795,,,,LEADTARGET
46,2021-09-26 12:34:50,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1825833,2400,77f00735-f9fb-48fb-ad3a-6e558b84742b,,129,,,,LEADTARGET
47,2021-09-26 12:24:46,Konga,Konga // Hybrid (new+repeat loans),Повторный займ,1813322,300,9a29e4f7-3c5e-4e0b-8a4f-1f8742a153b2,,795,,,,LEADTARGET
48,2021-09-26 11:32:35,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1749814,2400,1a2b8ad8-b169-4ea9-8887-74a54978b240,,789,,,,LEADTARGET
49,2021-09-26 08:50:22,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5563705,4500,224f7e82-a789-4af6-9699-8bd69c6befda,,248,,,,LEADTARGET
50,2021-09-26 06:59:40,Konga,Konga // Hybrid (new+repeat loans),Повторный займ,1801593,300,bb390696-e154-41bb-9395-6672dbd65ac9,,789,,,,LEADTARGET
51,2021-09-26 01:03:18,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5288068,4500,9dac07f1-970f-405e-9937-3aa94b250734,,993,,,,LEADTARGET
52,2021-09-26 00:27:03,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1828177,2400,f7b63b22-3f06-441e-bff1-9d5dcc04923b,,795,,,,LEADTARGET
53,2021-09-25 14:10:58,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5535281,4500,c7d5153a-b9ac-4de2-a098-5938ccc5a855,,843,,,,LEADTARGET
54,2021-09-25 12:31:07,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5339950,4500,00876785-fc30-46f2-9c05-836c0c32dd3d,,968,,,,LEADTARGET
55,2021-09-25 11:54:57,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,4997511,500,71424537-d029-4af4-b550-648cec3870a1,,3,,,,LEADTARGET
56,2021-09-25 09:55:09,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5152633,4500,8ee981f8-192c-400c-bc2e-b789637e5c27,,843,,,,LEADTARGET
57,2021-09-25 09:23:48,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5501977,500,6a553fd5-db6b-4782-a02c-fa52423700c9,,790,,,,LEADTARGET
58,2021-09-25 00:30:03,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1715010,2400,19cd1722-1a87-4a02-b906-806fefbd8c80,,795,,,,LEADTARGET
59,2021-09-24 18:56:40,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5559896,4500,4aec953a-246a-430d-bd5c-5fdfed05f611,,968,,,,LEADTARGET
60,2021-09-24 14:17:02,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1442341,2400,ed2cbec4-9aa4-4f7e-bde9-9979ed9c7307,,795,,,,LEADTARGET
61,2021-09-24 14:08:28,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1826050,2400,b10a1999-20dd-442c-a5ac-61ca7329da1f,,129,,,,LEADTARGET
62,2021-09-24 11:46:11,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5558476,4500,c984825d-88df-40e9-8288-bd1dde87951f,,843,,,,LEADTARGET
63,2021-09-24 11:44:20,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5558617,3000,73efa1b3-4fbe-438f-90e4-2e76f53d3982,,843,,,,LEADTARGET
64,2021-09-24 09:27:36,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5547388,4500,30fc26e1-3d30-4c4c-84dc-64be5d411f3d,,843,,,,LEADTARGET
65,2021-09-24 08:25:50,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5558117,4500,689fe335-0d72-4eb2-837b-c79623481a22,,968,,,,LEADTARGET
66,2021-09-24 07:27:45,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5558008,4500,810515cf-5343-4b10-8d7c-b6633c84ea69,,968,,,,LEADTARGET
67,2021-09-24 00:35:34,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5555574,3000,7ab08fb9-b76d-49cb-b4c6-06577437e847,,843,,,,LEADTARGET
68,2021-09-23 21:57:29,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3346416,3000,3cb1dad9-4dcb-448f-82ab-f640bd26dc1a,,993,,,,LEADTARGET
69,2021-09-23 17:55:16,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1825980,2400,2c1f6623-4aab-4241-9971-cb9698412bc5,,795,,,,LEADTARGET
70,2021-09-23 17:09:57,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5556833,3000,000e4adc-7914-4c9f-924b-46cbc7ddf843,,993,,,,LEADTARGET
71,2021-09-23 17:09:14,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5460849,3000,6473d342-e925-448d-a934-748d5714ffc6,,843,,,,LEADTARGET
72,2021-09-23 15:46:25,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1825834,2400,584b3fc8-8662-4040-aed1-c58b0e0e412e,,129,,,,LEADTARGET
73,2021-09-23 15:29:43,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1825796,2400,2cff6e9b-8895-4c07-a25b-0a375569ca7e,,795,,,,LEADTARGET
74,2021-09-23 13:42:27,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1775057,2400,a5826052-c66f-43b0-af8c-d7ff64b40bb5,,795,,,,LEADTARGET
75,2021-09-23 12:57:25,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5322805,3000,e9d7caad-e961-441f-9472-b6e0fd27a6e0,,968,,,,LEADTARGET
76,2021-09-23 11:00:12,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,4704432,4500,a0259973-1252-44c2-9bf9-2a644080eb2f,,843,,,,LEADTARGET
77,2021-09-23 10:25:25,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5518613,3000,b332164f-a534-4f00-bc94-aed94139b2d9,,993,,,,LEADTARGET
78,2021-09-23 10:13:07,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5555369,3000,41d88ef4-c06b-43b9-93bb-64201e31a6f7,,843,,,,LEADTARGET
79,2021-09-23 09:54:36,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1589042,2400,ad6f35b6-9a21-4761-a146-5540c280c991,,795,,,,LEADTARGET
80,2021-09-23 09:49:01,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5539582,3000,195080c0-7832-4a24-bdd7-f0bd2815f83a,,843,,,,LEADTARGET
81,2021-09-23 09:21:00,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5107721,3000,c81c2494-7dbe-4d10-9501-5a08024f0af7,,968,,,,LEADTARGET
82,2021-09-23 09:02:22,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5497084,4500,63086fb8-d27f-477f-b2d1-1868f31d12ef,,843,,,,LEADTARGET
83,2021-09-23 08:36:40,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1824518,2400,1e3ba1d5-836f-4cab-bab8-91d461d1bbe3,,789,,,,LEADTARGET
84,2021-09-23 08:28:14,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,1824322,2400,96def65d-f374-48a9-bbe9-d430235b6893,,789,,,,LEADTARGET
