,ts,project,offer_title,goal_name,goal_id,payouts,sub1,sub2,sub3,sub4,sub5,sub6,affiliate
0,2021-09-30 11:53:48,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5560451,3000,9bba14df56506bf68ee929be9976bda3c34ed841,,22279,,,,PDL-PROFIT
1,2021-09-29 11:18:43,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5475132,500,31f2a2999bd2510a00be706e79df792e336b6ad9,,22601,,,,PDL-PROFIT
2,2021-09-29 10:13:18,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5316953,4500,f65f25a036728733c6bd8f092b05c86aa02c1c33,,23324,,,,PDL-PROFIT
3,2021-09-27 20:58:08,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,5569106,3000,4c935c6dcbd8f95882f9857aa08869d5af48449e,,25021,,,,PDL-PROFIT
4,2021-09-27 06:27:58,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5566726,4500,38662de4d17f965b95eb5f4ad126bb8a133289fd,,24724,,,,PDL-PROFIT
5,2021-09-27 05:44:51,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5509283,500,8ec1bf05b2f8f0bdbe69f009ea1508ebdcd9ab7f,,18827,,,,PDL-PROFIT
6,2021-09-27 00:19:24,Konga,Konga // Hybrid (new+repeat loans),Повторный займ,1679391,300,,23324,,,,,PDL-PROFIT
7,2021-09-26 18:34:32,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5565744,4500,a1d04ef1509d766bde473748eb0d0ae09bc2a7f4,,24724,,,,PDL-PROFIT
8,2021-09-26 17:25:21,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5565561,4500,d191c3660ffff1c12a29b370d400eb33e2db8aa6,,24724,,,,PDL-PROFIT
9,2021-09-26 04:07:19,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,5464921,500,9343bc97ae8007517af4dfb8569d71c2ece6bce2,,18827,,,,PDL-PROFIT
10,2021-09-25 17:00:28,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5353018,4500,af0d51706ee275fe48c17adaba5d79c9297e7573,,18827,,,,PDL-PROFIT
11,2021-09-25 11:03:03,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,4385481,500,4ba79645f79e7eee76c4e743c5893ae15368642e,,18827,,,,PDL-PROFIT
12,2021-09-25 06:55:44,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,5556195,4500,6036dbc714a45dd7ca6a0c796be9514568a659cc,,22279,,,,PDL-PROFIT
